hypothesis,direction,barrier,horizon,windows,total_trades,mean_WR,median_R,mean_PF,median_PF,total_R,worst_DD
S2_SHORT_CONTINUATION_30,short,1.00R,15,4,1232,0.5355286126803018,0.05623685074506861,1.1630320989277794,1.1260906713681935,73.9625,-13.600000000000001
S2_SHORT_CONTINUATION_30,short,1.00R,5,4,1350,0.5302479986877257,0.05392014567736397,1.1667285838785082,1.1310864537183565,76.9375,-12.4875
S2_SHORT_CONTINUATION_30,short,1.00R,10,4,1258,0.5174381057391175,0.049641328317550915,1.1355306351275887,1.1120761021974288,62.58749999999999,-12.912500000000001
S1_LONG_CONTINUATION_15,long,1.00R,15,4,950,0.5133627946127945,0.03557449494949496,1.072969976296004,1.0824356680675145,28.075000000000003,-15.012499999999996
S1_LONG_CONTINUATION_15,long,1.00R,10,4,973,0.5153121522581635,0.031984106076571824,1.0798765484375288,1.07277602327413,29.949999999999996,-13.225000000000001
S2_LONG_CONTINUATION_30,long,0.75R,15,4,1052,0.5719837939545289,0.0319049935149157,1.0841218434022397,1.0872813563857213,35.7,-15.5375
S2_SHORT_CONTINUATION_30,short,0.75R,15,4,1362,0.5844370409796829,0.031196218916356742,1.110140742823368,1.0803230765665264,42.087500000000006,-19.1
S2_LONG_CONTINUATION_30,long,1.00R,15,4,961,0.505679021992252,0.030061429181147493,1.0528630346593884,1.0732675579575077,28.3875,-14.65
S2_LONG_CONTINUATION_30,long,0.75R,10,4,1085,0.5551804805173969,0.029107412421526816,1.0820198553132472,1.0825999776351778,32.0625,-16.35
S2_SHORT_CONTINUATION_30,short,0.67R,15,4,1417,0.6065766218194276,0.028320824278993233,1.0863247056635184,1.0813032295215816,28.745000000000005,-21.770000000000003
S2_SHORT_CONTINUATION_30,short,0.75R,10,4,1381,0.5747076605743223,0.02394186429512516,1.0955012537869249,1.0611443288864375,37.49999999999999,-17.9625
S2_SHORT_CONTINUATION_30,short,0.50R,15,4,1555,0.6741268038517302,0.022738698288433494,1.093674470295102,1.0886113342796486,17.225,-29.1625
S2_LONG_CONTINUATION_30,long,0.67R,15,4,1094,0.590187988711656,0.022695760122230714,1.0490273804127357,1.06738892217823,26.034999999999997,-16.115000000000002
S2_SHORT_CONTINUATION_30,short,0.67R,10,4,1435,0.5957560310022156,0.02261207511014468,1.0687677819536994,1.064749313304236,22.390000000000008,-19.945000000000007
S2_LONG_CONTINUATION_30,long,1.00R,10,4,1001,0.48984053097522035,0.01980560171721368,1.0278984551770893,1.0529169910380314,16.5625,-16.9875
S1_LONG_CONTINUATION_15,long,0.75R,5,4,1126,0.5494229656718737,0.019241112657552777,1.0463067622832412,1.0501976789496785,14.262499999999996,-15.225000000000001
S1_LONG_CONTINUATION_15,long,0.50R,15,4,1169,0.6554617484065337,0.01814132241215574,1.043513764535576,1.0601897670675893,13.55,-13.875
S2_SHORT_CONTINUATION_30,short,0.50R,10,4,1568,0.6658695530073933,0.017502283590957866,1.0869406985068912,1.0695403817154172,14.112499999999997,-29.249999999999996
S1_LONG_CONTINUATION_15,long,0.67R,5,4,1151,0.5652368195293074,0.017104890588907382,1.0288637719996259,1.0534824854177767,6.625000000000005,-22.1525
S2_SHORT_CONTINUATION_30,short,0.75R,5,4,1448,0.5635229680978926,0.01685797454537858,1.073859032831403,1.0441890416443493,30.71249999999999,-15.749999999999995
