quality_threshold,rr,windows,total_trades,mean_WR,mean_R,total_R,median_PF,worst_DD,worst_streak,positive_windows,consistency,score
0.65,1.25,4,717,0.5124921118097356,0.1522090596378326,100.55,1.3748565549750746,-9.5,7,4,1.0,0.014496100917888818
0.75,1.25,4,612,0.5233759319324466,0.1627818395956681,83.45,1.4380361936814257,-10.75,7,4,1.0,0.013853773582610052
0.65,1.2,4,724,0.5221665220811348,0.14808540621211097,98.33749999999999,1.374790990436821,-9.8,7,4,1.0,0.013711611686306571
0.75,1.2,4,617,0.5325203839340679,0.16112365782211222,82.6875,1.4512470254900385,-11.000000000000002,7,4,1.0,0.013426971485176017
0.75,1.3,4,600,0.5167825962546571,0.16929573902627615,85.67500000000001,1.4528876655475953,-11.699999999999985,7,4,1.0,0.013330373151675304
0.8,1.3,4,539,0.5077310839175052,0.15595807581208193,73.80000000000001,1.3416598364355217,-10.725000000000001,6,4,1.0,0.013301328427469672
0.7,1.25,4,664,0.5111230512410654,0.13802494914125069,83.98750000000001,1.3172143679246902,-9.5,6,4,1.0,0.013145233251547685
0.75,1.35,4,593,0.5015949459099176,0.15691937711535173,76.13750000000002,1.4217367049028953,-11.300000000000008,7,4,1.0,0.01275767293620745
0.8,1.2,4,549,0.5243618194976543,0.14825954582146128,73.05,1.3330363106951366,-10.799999999999999,6,4,1.0,0.012564368289954346
0.7,1.2,4,670,0.5185876734263429,0.13303999140745393,81.12499999999999,1.311937968923001,-9.8375,6,4,1.0,0.012275893094113395
0.65,1.3,4,706,0.5058030095262815,0.15627512551226153,100.475,1.3817035484082256,-11.89999999999998,8,4,1.0,0.012114350814904012
0.65,1.15,4,732,0.5251957162334521,0.13213150646523283,85.53749999999997,1.3293375790366753,-10.100000000000001,7,4,1.0,0.011903739321192146
0.9,1.2,4,403,0.511883994727132,0.1277398244003636,56.974999999999994,1.319124565717121,-9.7375,7,4,1.0,0.011896607627507669
0.7,1.3,4,657,0.5040647545666579,0.14237629632571172,84.0875,1.3356017064906953,-11.487499999999983,7,4,1.0,0.011401505211268221
0.8,1.35,4,532,0.498123832211555,0.1558491923402464,68.9625,1.3711107019804847,-12.724999999999998,6,4,1.0,0.011355132410946918
0.8,1.25,4,548,0.5129528124085401,0.14667626492723748,71.55,1.3234912508389884,-12.25,6,4,1.0,0.01106990678696132
0.6,1.25,4,774,0.4941089239543872,0.1171819092381227,94.775,1.2805173592739223,-9.625,8,4,1.0,0.011028885575352724
0.9,1.15,4,411,0.5173641083835259,0.11755127002851515,50.83749999999999,1.2548322549162814,-9.8375,6,4,1.0,0.010846714650843381
0.65,1.35,4,692,0.4889780524612946,0.13832379608820275,83.51250000000002,1.3495666395647452,-11.86249999999998,8,4,1.0,0.010754036624933176
