model,tail_percent,rr,horizon,probability_threshold,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
xgboost,9.999999999999998,1.35,12,0.56,4,66,0.6799999999999999,0.665,0.5980000000000001,0.5627500000000001,3.150000000000001,3.2625000000000006,37.400000000000006,-4.0,4
xgboost,9.999999999999998,1.35,12,0.58,4,55,0.675,0.6679761904761905,0.5862500000000002,0.5697440476190477,3.0375000000000005,3.028295454545455,29.600000000000005,-4.0,4
xgboost,9.999999999999998,1.35,15,0.6,4,49,0.6458333333333333,0.5229166666666667,0.5177083333333334,0.22885416666666672,2.4750000000000005,2.5875000000000004,28.55,-2.3000000000000007,2
xgboost,9.999999999999998,1.35,12,0.6,4,46,0.6447368421052632,0.6914160401002506,0.5151315789473685,0.624827694235589,3.2062500000000007,inf,22.15,-4.65,4
xgboost,17.500000000000004,1.2,12,0.6,4,82,0.6553030303030303,0.6276515151515152,0.44166666666666654,0.38083333333333325,2.44,2.3654545454545453,21.399999999999995,-5.6,4
xgboost,17.500000000000004,1.35,12,0.6,4,64,0.6111111111111112,0.6309523809523809,0.4361111111111112,0.4827380952380953,2.19375,3.3918749999999998,18.250000000000004,-4.249999999999999,4
xgboost,15.000000000000002,1.35,10,0.58,4,75,0.6057142857142856,0.525079365079365,0.4234285714285715,0.233936507936508,2.1000000000000005,1.8214285714285716,23.700000000000003,-4.65,5
xgboost,9.999999999999998,1.35,15,0.58,4,65,0.6019354838709677,0.5884677419354839,0.41454838709677433,0.3828991935483872,2.368526785714286,2.421763392857143,24.300000000000004,-4.3,3
xgboost,9.999999999999998,1.3,15,0.54,4,113,0.611336032388664,0.6181680161943319,0.40607287449392715,0.42178643724696363,2.1666666666666665,2.3833333333333333,41.10000000000001,-4.7,4
xgboost,9.999999999999998,1.3,15,0.56,4,94,0.6048387096774194,0.6120123780945237,0.39112903225806456,0.4076284696174044,2.2388888888888894,2.404671717171717,32.5,-4.7,4
xgboost,9.999999999999998,1.3,10,0.6,4,54,0.6041666666666666,0.5225378787878787,0.38958333333333334,0.20183712121212125,2.0681818181818183,1.8117694805194806,17.300000000000004,-3.0,4
xgboost,17.500000000000004,1.25,12,0.6,4,72,0.6125,0.5524568965517241,0.378125,0.2430280172413793,1.9791666666666667,1.7096125730994154,11.25,-7.0,4
xgboost,17.500000000000004,1.35,12,0.58,4,82,0.5833333333333333,0.6166666666666667,0.3708333333333334,0.4491666666666667,2.025,2.7,21.400000000000006,-5.25,5
xgboost,17.500000000000004,1.25,15,0.6,4,68,0.6041666666666666,0.6050787250384024,0.359375,0.3614271313364055,1.9886363636363638,3.0411931818181817,8.5,-9.5,6
xgboost,9.999999999999998,1.3,15,0.58,4,77,0.5897435897435896,0.5865384615384615,0.3564102564102564,0.3490384615384615,1.9842105263157896,1.967105263157895,24.2,-4.4,4
xgboost,17.500000000000004,1.35,15,0.56,4,91,0.5755102040816327,0.6002551020408163,0.35244897959183674,0.4105994897959184,1.840909090909091,2.2704545454545455,26.500000000000007,-4.0,4
xgboost,15.000000000000002,1.35,10,0.6,4,60,0.5740740740740741,0.5199915824915824,0.34907407407407415,0.2219802188552189,1.9767857142857144,1.8241071428571431,15.200000000000001,-4.0,4
xgboost,9.999999999999998,1.35,10,0.6,4,47,0.5735294117647058,0.5534313725490196,0.34779411764705886,0.30056372549019617,1.9125,1.85625,14.100000000000003,-3.0,3
xgboost,17.500000000000004,1.25,12,0.58,4,89,0.5981182795698925,0.5535636442894507,0.34576612903225806,0.24551819965126417,1.8645833333333335,1.7265625,12.25,-8.5,6
xgboost,9.999999999999998,1.3,12,0.54,4,107,0.5833333333333333,0.5850597237775289,0.3416666666666667,0.3456373646883166,1.9500000000000002,1.990625,35.6,-4.7,4
xgboost,15.000000000000002,1.35,15,0.58,4,73,0.5692567567567568,0.5068506006006006,0.3377533783783784,0.19109891141141144,1.8375000000000004,1.6901785714285715,16.300000000000004,-4.3,4
xgboost,17.500000000000004,1.35,15,0.58,4,73,0.5677655677655677,0.6018175664914795,0.3342490842490843,0.4142712812549769,1.7735294117647062,2.2674465240641712,23.35,-3.3,3
xgboost,9.999999999999998,1.35,15,0.54,4,99,0.5615942028985507,0.5322676896845695,0.3197463768115943,0.2508290707587384,1.917,1.9131428571428573,27.900000000000006,-6.0,6
xgboost,9.999999999999998,1.3,12,0.56,4,89,0.5714285714285714,0.5600198412698413,0.31428571428571433,0.288045634920635,1.7468750000000002,1.9134375000000001,35.20000000000001,-4.0,4
