feature,horizon_bars,bottom_10_mean_return,top_10_mean_return,bottom_10_reversion,top_10_reversion,symmetric_reversion
half_life_30,1,-3.025639632746591e-06,4.375734467944007e-08,False,False,False
half_life_30,3,-1.850712292595655e-06,2.320182641603946e-07,False,False,False
half_life_30,5,-1.2989778737709769e-06,4.615828363393225e-06,False,False,False
half_life_30,10,5.7118800791546595e-06,2.522059668977017e-05,True,False,False
half_life_30,20,6.318619351028871e-06,3.9676211049031784e-05,True,False,False
half_life_30,30,-6.245331532149577e-06,2.8301210090708254e-05,False,False,False
half_life_30,60,2.3881720533490858e-05,2.7587743169991606e-05,True,False,False
half_life_60,1,-9.839972829355705e-07,7.916496658673447e-06,False,False,False
half_life_60,3,-2.0912519653503548e-06,1.82628705413213e-05,False,False,False
half_life_60,5,-3.470005431875036e-06,3.3008794937786075e-05,False,False,False
half_life_60,10,-7.013501557376087e-06,6.0005903130629444e-05,False,False,False
half_life_60,20,1.18001354850673e-05,0.00010172129261269213,True,False,False
half_life_60,30,3.495235193446458e-05,0.00012097757360092303,True,False,False
half_life_60,60,0.00016756931859053815,6.221235703513183e-05,True,False,False
normalized_ou_residual_30,1,4.166264956720935e-06,-2.0316646447092643e-06,True,True,True
normalized_ou_residual_30,3,1.5199688261686643e-05,-1.2675144878129026e-05,True,True,True
normalized_ou_residual_30,5,2.7072564483009358e-05,-2.3492176631272757e-05,True,True,True
normalized_ou_residual_30,10,3.414069835296107e-05,-2.3730829308676664e-05,True,True,True
normalized_ou_residual_30,20,4.6783719197969946e-05,2.7653950579876163e-06,True,False,False
normalized_ou_residual_30,30,3.7568944667080546e-05,7.491986020854253e-06,True,False,False
normalized_ou_residual_30,60,7.68128597864149e-05,7.285031977182336e-05,True,False,False
normalized_vwap_distance,1,1.0830819401351251e-05,1.0304144418423813e-06,True,False,False
normalized_vwap_distance,3,2.8835395991424595e-05,3.6272164124852864e-06,True,False,False
normalized_vwap_distance,5,4.152882743871946e-05,8.474220547187503e-06,True,False,False
normalized_vwap_distance,10,7.205254325322824e-05,1.6357632332564256e-05,True,False,False
normalized_vwap_distance,20,0.00014294865135758048,2.4273143395377528e-05,True,False,False
normalized_vwap_distance,30,0.00022054391219352486,3.49763841677301e-05,True,False,False
normalized_vwap_distance,60,0.0003707263321595829,9.881400733560655e-05,True,False,False
realized_vol_30,1,5.715298595164445e-06,6.696631185425952e-06,True,False,False
realized_vol_30,3,1.6187018223443275e-05,1.806164566877405e-05,True,False,False
realized_vol_30,5,2.5179691799664436e-05,2.9840931203826572e-05,True,False,False
realized_vol_30,10,4.19405004786779e-05,6.491753827670952e-05,True,False,False
realized_vol_30,20,5.997971292025154e-05,0.00014652870019572217,True,False,False
realized_vol_30,30,6.434419789258621e-05,0.0002177352445867876,True,False,False
realized_vol_30,60,-2.8272613061577815e-05,0.00031582265252151723,False,False,False
realized_vol_60,1,1.411081239154396e-06,6.204483966901488e-06,True,False,False
realized_vol_60,3,-2.120875794346531e-07,1.7270112133183563e-05,False,False,False
realized_vol_60,5,-1.9208912173345025e-06,2.9375609310780686e-05,False,False,False
realized_vol_60,10,-1.5940826510592605e-05,6.5323086740377e-05,False,False,False
realized_vol_60,20,-3.976170171887853e-05,0.000128691992645805,False,False,False
realized_vol_60,30,-4.6511808050358026e-05,0.00015929273978001338,False,False,False
realized_vol_60,60,-4.145685808798498e-05,0.0001919879755746971,False,False,False
vol_ratio_30_60,1,5.3985385402125685e-06,7.510657219920438e-07,True,False,False
vol_ratio_30_60,3,2.0438643560211645e-05,3.1512755527383515e-06,True,False,False
vol_ratio_30_60,5,3.500783190802072e-05,5.736233199002627e-06,True,False,False
vol_ratio_30_60,10,8.016799046936907e-05,1.8582822135898242e-05,True,False,False
vol_ratio_30_60,20,0.000152367888211616,4.029588774643963e-05,True,False,False
vol_ratio_30_60,30,0.0001982406861517439,5.6679374719218664e-05,True,False,False
vol_ratio_30_60,60,0.00011911892489753694,6.130755915945985e-05,True,False,False
vol_ratio_5_30,1,3.4944020249752044e-06,-1.1579419738546641e-06,True,True,True
vol_ratio_5_30,3,8.710157548074819e-06,-1.4588194599422152e-06,True,True,True
vol_ratio_5_30,5,7.025165775799394e-06,1.6483625399790919e-06,True,False,False
vol_ratio_5_30,10,1.764581374205317e-05,-3.0178764446934325e-06,True,True,True
vol_ratio_5_30,20,2.6044678877293113e-05,5.404325426544101e-06,True,False,False
vol_ratio_5_30,30,7.884480564427417e-05,-1.2945995716473871e-05,True,True,True
vol_ratio_5_30,60,0.00013181200221705827,4.287055711276882e-05,True,False,False
vol_ratio_5_60,1,2.4679402412976464e-06,-1.9606654445105175e-06,True,True,True
vol_ratio_5_60,3,9.719661745614827e-06,-4.316659628533267e-06,True,True,True
vol_ratio_5_60,5,1.772463058587478e-05,-4.082080638581669e-06,True,True,True
vol_ratio_5_60,10,4.0346947903087575e-05,-2.229265830827448e-06,True,True,True
vol_ratio_5_60,20,8.02734973183509e-05,-6.403757400385174e-06,True,True,True
vol_ratio_5_60,30,9.842010728022544e-05,-2.449246080707965e-05,True,True,True
vol_ratio_5_60,60,8.642180881430144e-05,4.7684896794960605e-05,True,False,False
