condition,condition_value,horizon_bars,mean_window_return,median_window_return,min_window_return,max_window_return,positive_window_ratio
zscore_30,-1.0:0,1,2.4369976694232103e-06,2.459889436932087e-06,-1.6826176857226927e-05,1.4907860858051788e-05,0.5454545454545454
zscore_30,-1.0:0,3,2.5094965053057207e-06,-1.0599435930595052e-07,-3.5311516676311694e-05,3.336244706499533e-05,0.5
zscore_30,-1.0:0,5,1.195395957965289e-06,1.102831289800062e-06,-5.779542058234143e-05,4.930460115093555e-05,0.5
zscore_30,-1.0:0,10,6.05319901858169e-06,3.781939434746085e-06,-0.0001195451912164,8.76674498920127e-05,0.5454545454545454
zscore_30,-1.0:0,20,2.2043556329288896e-05,1.312720688345546e-05,-0.0001484475314771,0.0001852878751983,0.5454545454545454
zscore_30,-1.0:0,30,5.0166412325399485e-05,3.9719721298401084e-05,-0.0001831781395546,0.0002693793685569,0.5909090909090909
zscore_30,-1.0:0,60,7.616271578414084e-05,9.791491366748057e-05,-0.0003941384465406,0.0005445071544107,0.6363636363636364
zscore_30,-1.5:-1.0,1,-4.9866183008555496e-08,-4.566321665639491e-07,-2.3570628766986688e-05,2.784029880756495e-05,0.45454545454545453
zscore_30,-1.5:-1.0,3,5.382760539810591e-06,7.382089515940316e-06,-5.102189855778005e-05,4.55888740871733e-05,0.6818181818181818
zscore_30,-1.5:-1.0,5,1.016522895027556e-05,1.188703113623548e-05,-7.484587926526282e-05,8.158804779778082e-05,0.6363636363636364
zscore_30,-1.5:-1.0,10,1.8982838241669194e-05,3.548739481574568e-05,-0.0001399892882777,0.0001405610127443,0.5909090909090909
zscore_30,-1.5:-1.0,20,3.6007816521090334e-05,5.9388135077184065e-05,-0.000200822212352,0.000193977345156,0.6363636363636364
zscore_30,-1.5:-1.0,30,7.393392801667932e-05,7.916351378014553e-05,-0.0002886951546511,0.0003578960156738,0.6818181818181818
zscore_30,-1.5:-1.0,60,0.00010934368336821712,0.0001547086512185,-0.0004547828209472,0.0005318533290741,0.6363636363636364
zscore_30,-2.0:-1.5,1,1.3723166703160474e-07,9.488392114475853e-06,-3.082495311990083e-05,2.623803526797123e-05,0.5909090909090909
zscore_30,-2.0:-1.5,3,1.1224368458210646e-06,1.6984042903279182e-06,-6.20889347385139e-05,6.705912640048197e-05,0.5
zscore_30,-2.0:-1.5,5,5.13508943769036e-06,7.815744151168002e-06,-9.274690647289342e-05,7.711034006030721e-05,0.5454545454545454
zscore_30,-2.0:-1.5,10,1.3573555989174204e-05,8.435573275143905e-06,-0.0001482721192454,0.0001545777212141,0.5909090909090909
zscore_30,-2.0:-1.5,20,2.1133447657644764e-05,2.3963578549174938e-05,-0.0002035518278327,0.000299292602145,0.6363636363636364
zscore_30,-2.0:-1.5,30,4.0509189545686677e-05,2.9427134728990498e-05,-0.0003027787251782,0.0003607371944592,0.5909090909090909
