feature_a,feature_a_value,feature_b,feature_b_value,horizon_bars,total_observations,pooled_mean_future_points,pooled_positive_probability,pooled_cost_covered_probability,median_window_mean_points,positive_window_ratio,cost_positive_window_ratio,windows_observed
half_life_bucket,<=5,vol_ratio_bucket,0.5:0.75,1,11358,-0.01943564007747843,0.5107413276985385,0.44999119563303397,-0.1124139554516527,0.4090909090909091,0.045454545454545456,22
half_life_bucket,<=5,vol_ratio_bucket,0.5:0.75,3,11358,-0.2541160415566121,0.5105652403592181,0.4715618946997711,-0.5755192629815745,0.3181818181818182,0.18181818181818182,22
half_life_bucket,<=5,vol_ratio_bucket,0.5:0.75,5,11358,-0.45467952104243703,0.5117098080648002,0.4801021306568058,-0.8553740926856505,0.3181818181818182,0.2727272727272727,22
half_life_bucket,<=5,vol_ratio_bucket,0.5:0.75,10,11358,-0.6382945941186828,0.5169043845747491,0.4943652051417503,-0.7438908829863604,0.4090909090909091,0.3181818181818182,22
half_life_bucket,<=5,vol_ratio_bucket,0.5:0.75,20,11358,-0.7605652403592181,0.5136467687973235,0.5,0.10081896551724137,0.5,0.2727272727272727,22
half_life_bucket,<=5,vol_ratio_bucket,0.5:0.75,30,11358,-1.010411163937313,0.5200739566825145,0.5072195809121324,-0.36741769547325104,0.45454545454545453,0.36363636363636365,22
half_life_bucket,<=5,vol_ratio_bucket,0.5:0.75,60,11358,-1.0415566120795914,0.525620707871104,0.5187533016376122,-1.0498222222222222,0.45454545454545453,0.45454545454545453,22
half_life_bucket,<=5,vol_ratio_bucket,0.75:1.0,1,2393,0.1771834517342248,0.5190137902214793,0.4809862097785207,0.38524590163934425,0.6666666666666666,0.2857142857142857,21
half_life_bucket,<=5,vol_ratio_bucket,0.75:1.0,3,2393,1.1246343501880485,0.5265357292101964,0.5014625992478061,0.6057692307692307,0.6666666666666666,0.38095238095238093,21
half_life_bucket,<=5,vol_ratio_bucket,0.75:1.0,5,2393,1.986418721270372,0.5382365231926453,0.5177601337233598,1.768796992481203,0.7142857142857143,0.6666666666666666,21
half_life_bucket,<=5,vol_ratio_bucket,0.75:1.0,10,2393,2.5158796489761803,0.5290430422064354,0.5165064772252402,2.9324324324324325,0.6666666666666666,0.5714285714285714,21
half_life_bucket,<=5,vol_ratio_bucket,0.75:1.0,20,2393,0.540639364814041,0.535311324697033,0.5236105307145842,0.9894736842105263,0.5714285714285714,0.42857142857142855,21
half_life_bucket,<=5,vol_ratio_bucket,0.75:1.0,30,2393,-3.266297534475554,0.5068951107396573,0.4981195152528207,-0.3739495798319328,0.47619047619047616,0.47619047619047616,21
half_life_bucket,<=5,vol_ratio_bucket,0.75:1.0,60,2393,-2.3096531550355204,0.5064772252402842,0.5002089427496866,-2.4236842105263157,0.42857142857142855,0.42857142857142855,21
half_life_bucket,<=5,vol_ratio_bucket,<=0.5,1,19813,-0.08722808257204866,0.5028516630495129,0.4353707161964367,0.021155835638938282,0.5,0.0,22
half_life_bucket,<=5,vol_ratio_bucket,<=0.5,3,19813,-0.19947761570685912,0.5107757532932923,0.4697420885277343,-0.1015001499660946,0.5,0.09090909090909091,22
half_life_bucket,<=5,vol_ratio_bucket,<=0.5,5,19813,-0.2697345177408772,0.5151668096704184,0.4815020441124514,0.18338195510451608,0.5454545454545454,0.18181818181818182,22
half_life_bucket,<=5,vol_ratio_bucket,<=0.5,10,19813,-0.5257911472265684,0.5093120678342502,0.48685206682481197,-0.34167839903459374,0.4090909090909091,0.3181818181818182,22
half_life_bucket,<=5,vol_ratio_bucket,<=0.5,20,19813,0.07736082370161006,0.5103719779942462,0.49573512340382575,-0.43208645768627796,0.4090909090909091,0.36363636363636365,22
half_life_bucket,<=5,vol_ratio_bucket,<=0.5,30,19813,-0.4180209963155504,0.5077474385504467,0.49482662898097207,-0.17199095151377192,0.5,0.36363636363636365,22
half_life_bucket,<=5,vol_ratio_bucket,<=0.5,60,19813,-0.38801544440518854,0.515065865845657,0.5071922475142583,-0.7017990565008726,0.45454545454545453,0.4090909090909091,22
ou_residual_bucket,-2:-1,half_life_bucket,<=5,1,18321,-0.07726106653566946,0.4976256754543966,0.4302166912286447,-0.06037474221209161,0.45454545454545453,0.045454545454545456,22
ou_residual_bucket,-2:-1,half_life_bucket,<=5,3,18321,-0.34670596583155944,0.5028109819333005,0.46040063315321217,-0.11516700958539494,0.45454545454545453,0.09090909090909091,22
ou_residual_bucket,-2:-1,half_life_bucket,<=5,5,18321,-0.48303858959663776,0.5111620544730091,0.4769390317122428,-0.08036268880573272,0.5,0.2727272727272727,22
ou_residual_bucket,-2:-1,half_life_bucket,<=5,10,18321,-0.5752005894874734,0.5084875279733639,0.4852901042519513,-0.21822221628258834,0.45454545454545453,0.3181818181818182,22
ou_residual_bucket,-2:-1,half_life_bucket,<=5,20,18321,-0.27347033458872333,0.5131815948911086,0.49860815457671526,0.6982312188785451,0.5454545454545454,0.4090909090909091,22
ou_residual_bucket,-2:-1,half_life_bucket,<=5,30,18321,-0.42024179902843734,0.511489547513782,0.49817149718901804,0.5842203403950856,0.5,0.5,22
ou_residual_bucket,-2:-1,half_life_bucket,<=5,60,18321,0.006140494514491617,0.5184760657169368,0.5117078762076306,0.21641655476710844,0.5,0.45454545454545453,22
ou_residual_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,1,10106,0.024614090639224224,0.4980209776370473,0.427073025925193,-0.018249178386738195,0.45454545454545453,0.045454545454545456,22
ou_residual_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,3,10106,-0.14963882841876114,0.5038590936077577,0.4617059172768652,-0.27266593137656125,0.4090909090909091,0.18181818181818182,22
ou_residual_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,5,10106,-0.2846576291312092,0.5097961606966158,0.4776370472986345,-0.22007341822885354,0.36363636363636365,0.2727272727272727,22
ou_residual_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,10,10106,-0.16158717593508806,0.5167227389669503,0.4951513952107659,0.5827783813509309,0.5454545454545454,0.4090909090909091,22
ou_residual_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,20,10106,-0.5193696813773996,0.5127646942410449,0.498911537700376,-0.2575195662182209,0.5,0.3181818181818182,22
