window,probability_decile,observations,mean_probability,realized_positive_rate,mean_future_points,median_future_points
1,0,124,0.43941924,0.5241935483870968,3.5201612903225805,1.375
1,1,124,0.48524293,0.5725806451612904,4.125,1.75
1,2,124,0.5055249,0.6290322580645161,6.600806451612903,5.625
1,3,124,0.5231563,0.5806451612903226,1.159274193548387,1.875
1,4,124,0.5389337,0.6129032258064516,2.1068548387096775,2.5
1,5,123,0.5540002,0.6097560975609756,3.0833333333333335,2.75
1,6,124,0.5677594,0.5564516129032258,1.1048387096774193,3.25
1,7,124,0.58326846,0.5403225806451613,-0.32661290322580644,0.5
1,8,124,0.6016987,0.5967741935483871,1.3084677419354838,3.5
1,9,124,0.647524,0.5241935483870968,2.6774193548387095,0.75
2,0,99,0.45592928,0.4444444444444444,-2.419191919191919,-2.75
2,1,99,0.5045664,0.5353535353535354,3.8484848484848486,2.75
2,2,99,0.52483666,0.6060606060606061,2.79040404040404,2.25
2,3,99,0.53871715,0.5555555555555556,1.404040404040404,1.25
2,4,99,0.5511484,0.5858585858585859,2.4116161616161618,2.5
2,5,99,0.564638,0.5656565656565656,1.5606060606060606,1.25
2,6,99,0.57977915,0.5757575757575758,0.7424242424242424,3.25
2,7,99,0.5994744,0.6262626262626263,4.108585858585859,3.0
2,8,99,0.6251254,0.6363636363636364,3.4242424242424243,2.5
2,9,99,0.68344164,0.494949494949495,0.6085858585858586,0.0
3,0,147,0.40011305,0.5170068027210885,1.5289115646258504,0.5
3,1,147,0.46455747,0.5306122448979592,-0.05782312925170068,2.25
3,2,147,0.49363646,0.46938775510204084,-5.341836734693878,-1.75
3,3,146,0.51487803,0.5547945205479452,0.136986301369863,3.625
3,4,147,0.5334443,0.5714285714285714,-0.95578231292517,4.75
3,5,147,0.551437,0.5170068027210885,-3.295918367346939,1.0
3,6,146,0.570708,0.589041095890411,2.893835616438356,3.125
3,7,147,0.591622,0.5850340136054422,4.590136054421769,5.5
3,8,147,0.62193096,0.4965986394557823,-1.0272108843537415,-0.5
3,9,147,0.6940463,0.5034013605442177,-7.799319727891157,0.5
4,0,174,0.39454213,0.5114942528735632,-0.28160919540229884,0.625
4,1,174,0.44187078,0.3563218390804598,-8.780172413793103,-8.5
4,2,174,0.46679783,0.42528735632183906,-5.844827586206897,-6.375
4,3,174,0.4880744,0.4367816091954023,-0.8807471264367817,-3.625
4,4,174,0.50676787,0.43103448275862066,-2.5402298850574714,-5.5
4,5,173,0.5240238,0.5606936416184971,3.086705202312139,4.0
4,6,174,0.54117626,0.4942528735632184,0.20689655172413793,-0.75
4,7,174,0.5610362,0.5517241379310345,3.060344827586207,3.75
