window,observations,accuracy,brier_score,mean_probability,mean_future_points,median_future_points
1,1239,0.552865213882163,0.2489477272699145,0.5446452372154947,2.535512510088781,2.25
2,990,0.5757575757575758,0.24785882365508766,0.5627656383947892,1.847979797979798,1.5
3,1468,0.5299727520435967,0.2552352107990874,0.5436385091627651,-0.9361376021798365,1.75
4,1739,0.5290396779758482,0.2531641947899545,0.5157627559140059,-1.5491661874640599,-1.5
5,1352,0.5155325443786982,0.2514060073867353,0.5313838023317636,3.8234097633136095,1.25
6,1369,0.5273922571219869,0.25225515048102976,0.5262006198820013,-1.2047114682249818,0.5
7,1207,0.48135874067937034,0.2634686726185154,0.5312918231150485,-2.041217895608948,0.0
8,1306,0.47549770290964777,0.2548716174065242,0.5125211616478872,-2.4088820826952526,-0.125
9,1008,0.47619047619047616,0.2596472970131033,0.5234865408154235,0.07738095238095238,1.0
10,897,0.5217391304347826,0.2521908618067024,0.5060040854424271,-0.6588628762541806,-0.75
11,1085,0.5244239631336406,0.25119635509659155,0.4923226547131341,0.5214285714285715,1.25
12,1208,0.5422185430463576,0.246902551732478,0.5007369139706654,-1.8990066225165563,-0.5
13,1287,0.5314685314685315,0.2512859063387736,0.507214980288217,-1.4998057498057498,0.25
14,1246,0.514446227929374,0.25924913958063506,0.4905398762627934,5.044341894060995,3.25
15,1000,0.525,0.25205246059417036,0.5268128607571125,-0.34075,1.75
16,1131,0.4880636604774536,0.26601693558450257,0.5315790758472327,-6.878647214854111,-3.0
17,998,0.49599198396793587,0.2546535492717301,0.5217805790877295,0.12324649298597194,3.75
18,891,0.5117845117845118,0.25594329527820325,0.5428481333785586,10.730078563411897,3.75
19,1090,0.4834862385321101,0.2566587581248357,0.5294637265008524,-0.8176605504587156,-1.0
20,1058,0.5103969754253308,0.2579211581476736,0.5333647561771884,4.223534971644613,2.25
21,1144,0.506993006993007,0.2558189120381879,0.5271786049373083,-6.256118881118881,-2.75
22,235,0.4723404255319149,0.26140582295598835,0.5458323403875879,8.280851063829788,1.75
