target_points,horizon_bars,window,baseline_probability,observations
1.0,5,1,0.9218872870249017,3815
1.0,5,2,0.9247173689619733,3892
1.0,5,3,0.958934793429567,4018
1.0,5,4,0.9490697674418604,4300
1.0,5,5,0.9444582814445828,4015
1.0,5,6,0.9484367708819412,4286
1.0,5,7,0.9342032204330927,3602
1.0,5,8,0.9268929503916449,3830
1.0,5,9,0.9256349829798377,3819
1.0,5,10,0.943081452404318,4076
1.0,5,11,0.9184782608695652,3496
1.0,5,12,0.9476439790575916,3820
1.0,5,13,0.9510435454779695,3881
1.0,5,14,0.9628992628992629,4070
1.0,5,15,0.9673502428494334,3706
1.0,5,16,0.9656415185007208,4162
1.0,5,17,0.9469502819067145,3902
1.0,5,18,0.9567581563956499,3862
1.0,5,19,0.9568345323741008,4031
1.0,5,20,0.9665525414801159,3797
1.0,5,21,0.9768059917854555,4139
1.0,5,22,0.9662162162162162,1036
1.0,10,1,0.944954128440367,3815
1.0,10,2,0.9506680369989723,3892
1.0,10,3,0.9701343952215032,4018
1.0,10,4,0.9611627906976744,4300
1.0,10,5,0.9596513075965131,4015
1.0,10,6,0.9629024731684555,4286
1.0,10,7,0.9505830094392005,3602
1.0,10,8,0.9443864229765013,3830
1.0,10,9,0.9468447237496727,3819
1.0,10,10,0.9587831207065751,4076
1.0,10,11,0.9402173913043478,3496
1.0,10,12,0.9594240837696335,3820
1.0,10,13,0.9649574851842309,3881
1.0,10,14,0.9737100737100737,4070
1.0,10,15,0.9762547220723151,3706
1.0,10,16,0.9754925516578568,4162
1.0,10,17,0.9659149154279857,3902
1.0,10,18,0.972035214914552,3862
1.0,10,19,0.969238402381543,4031
1.0,10,20,0.977350539899921,3797
1.0,10,21,0.9852621406136748,4139
1.0,10,22,0.9777992277992278,1036
1.0,20,1,0.9617300131061599,3815
1.0,20,2,0.9630010277492291,3892
1.0,20,3,0.9778496764559482,4018
1.0,20,4,0.9709302325581395,4300
1.0,20,5,0.9676214196762142,4015
1.0,20,6,0.9717685487634158,4286
1.0,20,7,0.963353692393115,3602
1.0,20,8,0.9613577023498695,3830
1.0,20,9,0.9617700968840011,3819
1.0,20,10,0.9698233562315997,4076
1.0,20,11,0.9565217391304348,3496
1.0,20,12,0.9709424083769633,3820
1.0,20,13,0.9783560937902602,3881
1.0,20,14,0.9800982800982802,4070
1.0,20,15,0.9843497031840259,3706
1.0,20,16,0.9819798173954829,4162
1.0,20,17,0.9756535110199898,3902
1.0,20,18,0.9821336095287416,3862
1.0,20,19,0.9794095757876458,4031
1.0,20,20,0.9841980510929681,3797
