target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,5,1,0,124,0.8493583,0.9274193548387096,9.96975806451613
1.0,5,1,1,124,0.8938451,0.9274193548387096,8.935483870967742
1.0,5,1,2,124,0.9090778,0.8870967741935484,7.44758064516129
1.0,5,1,3,124,0.9203522,0.8951612903225806,7.084677419354839
1.0,5,1,4,124,0.9286523,0.9032258064516129,9.945564516129032
1.0,5,1,5,123,0.9359414,0.959349593495935,9.146341463414634
1.0,5,1,6,124,0.9426249,0.9435483870967742,9.683467741935484
1.0,5,1,7,124,0.9505458,0.9758064516129032,12.745967741935484
1.0,5,1,8,124,0.9591221,0.9274193548387096,13.991935483870968
1.0,5,1,9,124,0.9725544,0.967741935483871,14.61491935483871
1.0,5,2,0,99,0.83110756,0.8888888888888888,7.361111111111111
1.0,5,2,1,99,0.8880326,0.9292929292929293,10.159090909090908
1.0,5,2,2,99,0.909154,0.9494949494949495,8.017676767676768
1.0,5,2,3,99,0.9218123,0.9393939393939394,7.648989898989899
1.0,5,2,4,99,0.9303939,0.8686868686868687,7.5606060606060606
1.0,5,2,5,99,0.93837905,0.9191919191919192,8.207070707070708
1.0,5,2,6,99,0.9455845,0.9494949494949495,10.618686868686869
1.0,5,2,7,99,0.9524347,0.9393939393939394,10.702020202020202
1.0,5,2,8,99,0.96021104,0.9595959595959596,10.527777777777779
1.0,5,2,9,99,0.97358286,0.98989898989899,15.553030303030303
1.0,5,3,0,147,0.9023965,0.9115646258503401,10.835034013605442
1.0,5,3,1,147,0.9375469,0.9659863945578231,12.491496598639456
1.0,5,3,2,147,0.950267,0.9251700680272109,13.77721088435374
1.0,5,3,3,146,0.95862174,0.9794520547945206,17.13527397260274
1.0,5,3,4,147,0.96619844,0.9387755102040817,16.039115646258505
1.0,5,3,5,147,0.9726386,0.9659863945578231,18.551020408163264
1.0,5,3,6,146,0.97742015,0.952054794520548,21.63527397260274
1.0,5,3,7,147,0.9822168,0.9727891156462585,22.18027210884354
1.0,5,3,8,147,0.98555976,0.9863945578231292,23.178571428571427
1.0,5,3,9,147,0.98985064,0.9863945578231292,23.202380952380953
1.0,5,4,0,174,0.9192552,0.9310344827586207,13.800287356321839
1.0,5,4,1,174,0.9464969,0.9137931034482759,12.406609195402298
1.0,5,4,2,174,0.95637476,0.9540229885057471,16.211206896551722
1.0,5,4,3,174,0.9632656,0.9482758620689655,15.324712643678161
