target_points,horizon_bars,window,observations,mean_realized_probability,mean_model_probability,baseline_probability,probability_lift,top_decile_lift,mean_future_mfe,median_future_mfe
5.0,5,1,1243,0.3845534995977474,0.3007107338939635,0.4250814332247557,-0.1243706993307922,0.2229185667752443,4.992156074014481,3.75
5.0,5,2,1638,0.6684981684981685,0.676300554454977,0.4046944556859571,0.27160609876902,0.4611592028506283,13.238858363858364,7.5
5.0,5,3,1892,0.7552854122621564,0.7363358753483278,0.5098564127524945,0.2264794625958333,0.37435411356329495,13.344080338266386,9.5
5.0,5,4,1862,0.748657357679914,0.8377390028758797,0.5872354607565405,0.2505035421193391,0.2630319189226038,12.679914070891515,9.75
5.0,5,5,1943,0.7200205867215645,0.7066694633365137,0.6254610199669337,0.08120844336958,0.2053082108022971,12.969763252702007,8.75
5.0,5,6,1234,0.6312803889789304,0.6504094246623968,0.6441974301448093,0.006211994517587471,0.21870579566164228,9.772487844408428,7.25
5.0,5,7,1320,0.7522727272727273,0.7183099184919036,0.6427536231884058,0.07555629530349783,0.22088274044795786,14.448295454545455,10.25
5.0,5,8,1884,0.8248407643312102,0.849529997589988,0.6544498381877023,0.19508015940228574,0.2714760877382236,18.72213375796178,13.75
5.0,5,9,1357,0.7641857037582903,0.8098043687065121,0.676986801460264,0.13281756724624805,0.1318367279515007,15.857774502579218,11.75
5.0,5,10,1376,0.7667151162790697,0.7927005149012561,0.6845715018268059,0.10812901307445022,0.17774733875290427,15.082848837209303,11.25
5.0,5,11,1154,0.729636048526863,0.7613492548930583,0.6912293102432703,0.07011994464978799,0.1104948276877642,12.600086655112651,10.0
5.0,5,12,926,0.712742980561555,0.7319761564106264,0.6936738183222105,0.03830233808841588,0.19879929995735934,12.208963282937365,9.25
5.0,5,13,960,0.6895833333333333,0.7000652984774206,0.6946004092984205,0.005464889179000121,0.09706625736824614,12.032552083333334,9.125
5.0,5,14,1289,0.7284716834755625,0.7253831850366249,0.6943597941749513,0.031023390861673605,0.15060144613512616,13.668347556245152,10.0
5.0,5,15,1326,0.7812971342383107,0.7679690932110513,0.6964235426640383,0.07154555054701306,0.23590728440363085,17.648378582202113,11.5
5.0,5,16,1032,0.8333333333333334,0.7523374540601359,0.7013962530929657,0.05094120096717014,0.20244990075318814,19.001211240310077,14.25
5.0,5,17,1149,0.8363794604003482,0.8809916863786956,0.7071501014198783,0.1738415849588173,0.22328468118881728,26.86248912097476,18.0
5.0,5,18,841,0.8323424494649228,0.8078032363999046,0.7131342441462136,0.09466899225369096,0.14568928526555103,19.580558858501785,14.25
5.0,5,19,935,0.8213903743315508,0.8489452701201413,0.7170421766586107,0.13190309346153062,0.21912803610734677,23.616844919786097,14.25
5.0,5,20,1189,0.8502943650126157,0.8544805666621339,0.7207115724547746,0.13376899420735933,0.17844809141077167,24.5067283431455,18.0
5.0,5,21,1061,0.8727615457115928,0.877355332761076,0.7262581899344805,0.15109714282659548,0.24570442688794936,30.466305372290293,20.25
5.0,10,1,1243,0.5229283990345938,0.41664298412248446,0.5529315960912052,-0.13628861196872077,0.1270684039087948,6.819790828640386,5.25
