probability_decile,mean_probability,realized_probability,mean_future_mfe,observations,target_points,horizon_bars
0,0.27982235650670534,0.40839971035481537,5.926412020275163,2762,5.0,5
1,0.580862826236302,0.6309308221658819,9.302245563201739,2761,5.0,5
2,0.6824242411338519,0.7077145961608113,11.181455994204999,2761,5.0,5
3,0.7425983564571297,0.7457442955450924,12.022274538210793,2761,5.0,5
4,0.7882339948979205,0.7747193045997827,14.107388627308946,2761,5.0,5
5,0.8262011138091524,0.7895689967403114,15.457986236870699,2761,5.0,5
6,0.8589373218197185,0.8283230713509598,17.696758420862007,2761,5.0,5
7,0.8869994670012342,0.8243390076059399,18.848967765302426,2761,5.0,5
8,0.9143338839630423,0.8551249547265484,22.53368344802608,2761,5.0,5
9,0.9509136789046263,0.8880840275262586,32.11236870699022,2761,5.0,5
0,0.4200315552601452,0.5640839971035482,8.733797972483707,2762,5.0,10
1,0.7093805253656823,0.7729083665338645,14.869340818544005,2761,5.0,10
2,0.7864604534251411,0.7837739949293734,16.2610467222021,2761,5.0,10
3,0.8308695573299012,0.8145599420499819,18.54246649764578,2761,5.0,10
4,0.8630150245912089,0.8337558855487143,19.454817095255343,2761,5.0,10
5,0.8877921317289463,0.8446215139442231,21.87658457080768,2761,5.0,10
6,0.9091995458635719,0.8609199565374864,23.792557044549078,2761,5.0,10
7,0.9283161776862858,0.877942774357117,26.193951466859833,2761,5.0,10
8,0.9478490356948228,0.8866352770735241,30.411082940963418,2761,5.0,10
9,0.971620075234638,0.9141615356754799,40.02037305324158,2761,5.0,10
0,0.5341400122495906,0.6976828385228095,13.709811730629978,2762,5.0,20
1,0.7884410473368644,0.8250633828323072,20.416334661354583,2761,5.0,20
2,0.8488387857300351,0.8460702643969576,23.66724013038754,2761,5.0,20
3,0.8830996293470679,0.8732343353857298,25.327236508511408,2761,5.0,20
4,0.9069315348574754,0.86526620789569,26.268743208982254,2761,5.0,20
5,0.9250252970704477,0.890619340818544,30.44440420137631,2761,5.0,20
6,0.9400027633058727,0.896414342629482,32.87078956899674,2761,5.0,20
7,0.9534845185081235,0.8978630930822166,35.36010503440782,2761,5.0,20
8,0.9666554297238578,0.9054690329590728,40.82035494386092,2761,5.0,20
9,0.982200869785103,0.9402390438247012,53.269377037305325,2761,5.0,20
0,0.5798320315449831,0.7635771180304127,17.572863866763214,2762,5.0,30
1,0.8162986549593667,0.8612821441506701,24.684172401303876,2761,5.0,30
2,0.8735594824577146,0.8670771459616081,27.927562477363274,2761,5.0,30
3,0.9039549734962888,0.8859109018471568,31.663165519739223,2761,5.0,30
4,0.9240292285888448,0.8982252806954002,33.140347700108656,2761,5.0,30
5,0.9393766751456891,0.9076421586381745,37.1614451285766,2761,5.0,30
6,0.9522448605232073,0.8975009054690329,39.99094530967041,2761,5.0,30
7,0.9634103145084706,0.9105396595436436,44.33493299529156,2761,5.0,30
8,0.9742724680028416,0.9311843534951104,49.756972111553786,2761,5.0,30
9,0.9868127288312335,0.9482071713147411,61.08122057225643,2761,5.0,30
0,0.732743007282657,0.8638667632150615,31.316799420709632,2762,5.0,60
1,0.8885349402691911,0.9029337196667874,40.235965229989134,2761,5.0,60
2,0.9230126204027813,0.9199565374864179,45.43118435349511,2761,5.0,60
3,0.9420560311899804,0.9214052879391524,45.954364360738865,2761,5.0,60
4,0.9544882127790509,0.9166968489677653,48.487504527345166,2761,5.0,60
5,0.964186089771116,0.9221296631655197,54.86218761318363,2761,5.0,60
6,0.9720866318976953,0.9377037305324158,54.61798261499457,2761,5.0,60
7,0.9789196028172495,0.942795076031861,60.63224112961622,2762,5.0,60
8,0.9852237840277561,0.9478260869565217,63.682789855072464,2760,5.0,60
9,0.9925539979292232,0.9427743571169866,72.06926838102137,2761,5.0,60
0,0.7989726449449929,0.9178131788559015,51.96904417089066,2762,5.0,120
1,0.930802070157591,0.9445852951829048,65.11925027164071,2761,5.0,120
2,0.9543853985231365,0.949293734154292,70.33285041651575,2761,5.0,120
3,0.9663190039462346,0.9438609199565375,73.28042375950743,2761,5.0,120
4,0.9738606683631946,0.9529156102861283,77.56537486417965,2761,5.0,120
5,0.9797337338441698,0.9536399855124955,80.07008330315104,2761,5.0,120
6,0.9846279843697208,0.945309670409272,84.48859109018471,2761,5.0,120
7,0.9887056217509653,0.9568996740311482,85.82325244476638,2761,5.0,120
8,0.9923311161502726,0.9565374864179645,85.98569358927925,2761,5.0,120
9,0.9963457943390608,0.9554509235784137,87.45635639261137,2761,5.0,120
0,0.035593205873659016,0.11875452570601014,5.430847212165098,2762,10.0,5
1,0.19415322294521487,0.3122057225642883,8.532234697573344,2761,10.0,5
2,0.3338518764220559,0.42955450923578414,10.54382470119522,2761,10.0,5
3,0.43618351864408905,0.4737413980441869,12.047899311843535,2761,10.0,5
4,0.5184702766908765,0.5269829771821803,13.146052155016298,2761,10.0,5
5,0.5912942171571739,0.5787758058674394,15.117077145961607,2761,10.0,5
6,0.6580131403435318,0.6233248822890257,17.071984788120247,2761,10.0,5
7,0.7241146788783628,0.6707714596160811,19.51946758420862,2761,10.0,5
8,0.7932687372627659,0.72654835204636,23.860105034407823,2761,10.0,5
9,0.8874019269967416,0.7942774357116986,33.920228178196304,2761,10.0,5
0,0.10927970469739819,0.24583635047067343,7.808472121650977,2762,10.0,10
1,0.3777532297841279,0.5005432814197754,13.18824701195219,2761,10.0,10
2,0.5205774070429914,0.579137993480623,15.141886997464686,2761,10.0,10
3,0.6101584195097647,0.6110105034407823,16.94268381021369,2761,10.0,10
4,0.6758795006471197,0.6638898949655921,19.524628757696487,2761,10.0,10
5,0.7309441050296674,0.6769286490402028,21.26367258239768,2761,10.0,10
6,0.7774201446752192,0.7327055414704817,24.169413256066644,2761,10.0,10
7,0.822285325252591,0.7453821079319087,26.731890619340817,2761,10.0,10
8,0.8698264889335425,0.7834118073161898,31.77055414704817,2761,10.0,10
9,0.932785771412074,0.8355668236146324,43.61490402028251,2761,10.0,10
0,0.20714688580512702,0.4341057204923968,12.516202027516293,2762,10.0,20
1,0.5055356054839687,0.6066642520825788,17.99221296631655,2761,10.0,20
2,0.6396995270567414,0.68163708801159,22.289025715320538,2761,10.0,20
3,0.7185009380951605,0.7229264759145237,25.250181093806592,2761,10.0,20
4,0.7735405954620365,0.7634914885910902,27.26177109742847,2761,10.0,20
5,0.8158367515387461,0.7576964867801521,30.422582397682,2761,10.0,20
6,0.8515382531284207,0.7674755523361101,30.975552336110106,2761,10.0,20
7,0.8835691026223392,0.8022455632017385,36.402028250633826,2761,10.0,20
