target_points,horizon_bars,feature,gain_normalized
5.0,5,atr_15,0.07995517875644423
5.0,5,atr_5,0.050967397390022165
5.0,5,atr_30,0.029409002423996015
5.0,5,ou_residual_30,0.01307616267530691
5.0,5,mean_distance_15,0.011795428448489733
5.0,5,variance_60,0.01118475149962164
5.0,5,realized_vol_30,0.01013636595702597
5.0,5,true_range,0.010022972688256275
5.0,5,rth_progress,0.009717957892765602
5.0,5,atr_60,0.009672789147034996
5.0,5,minutes_until_rth_close,0.009606621449901945
5.0,5,variance_30,0.00950695283799654
5.0,5,realized_vol_60,0.009257380030162278
5.0,5,realized_vol_15,0.009145475680097229
5.0,5,rolling_range_30,0.00888452171126292
5.0,5,rolling_mean_60,0.008863087433079878
5.0,5,minutes_since_rth_open,0.008851581873993078
5.0,5,vwap,0.008780078696353095
5.0,5,mean_distance_5,0.008773441337758587
5.0,5,rolling_mean_30,0.00870520073831791
5.0,5,typical_price,0.008607322704933938
5.0,5,close,0.008581211945662895
5.0,5,low,0.008524640551989987
5.0,5,mean_distance_30,0.008439858732301565
5.0,5,rolling_mean_5,0.008428486751481182
5.0,5,vwap_distance_pct,0.008382213568048818
5.0,5,log_return_1,0.008267093649400132
5.0,5,vwap_distance,0.008240531597818648
5.0,5,rolling_range_15,0.00820371373334811
5.0,5,rolling_std_30,0.008178082937818198
5.0,5,abs_zscore_15,0.008123167369159915
5.0,5,ou_residual_60,0.008117757538067443
5.0,5,rolling_std_60,0.008093636682523149
5.0,5,log_zscore_5,0.008076704062876246
5.0,5,rolling_mean_15,0.008059157014247916
5.0,5,high,0.008043615613132715
5.0,5,mean_distance_60,0.007981643368977876
5.0,5,ar1_coefficient_120,0.007962901189568498
5.0,5,rolling_range_60,0.007933177652635745
5.0,5,log_zscore_15,0.00790761566410462
5.0,5,half_life_60,0.007879476927753006
5.0,5,vol_ratio_15_60,0.007871410255098627
5.0,5,displacement_60,0.007839216429385402
5.0,5,normalized_vwap_distance,0.007801938225470838
5.0,5,displacement_15,0.007752400667717059
5.0,5,half_life_30,0.00774838642350265
5.0,5,log_return_60,0.007698183590989737
5.0,5,rolling_range_5,0.007613563422291051
5.0,5,mean_reversion_speed_120,0.007592943430479083
5.0,5,ou_residual_120,0.007584700006104651
5.0,5,displacement_30,0.007513737017732291
5.0,5,mean_reversion_speed_60,0.007512128091461602
5.0,5,log_return_15,0.007501832919106597
5.0,5,return_30,0.007501406794680017
5.0,5,vol_ratio_15_30,0.007492371346978914
5.0,5,return_60,0.007481682801707869
5.0,5,mean_reversion_speed_30,0.007480857672081107
5.0,5,log_price,0.007477093155362776
5.0,5,normalized_ou_residual_120,0.007462842589510339
5.0,5,variance_5,0.007448687484221799
5.0,5,rolling_std_5,0.007433187793053332
5.0,5,zscore_60,0.0074246168092247985
5.0,5,volume,0.00739521850343971
5.0,5,vol_ratio_30_60,0.007390468869180907
5.0,5,displacement_10,0.007381648423948458
5.0,5,abs_zscore_5,0.007345706002698058
5.0,5,return_15,0.007324682216026953
5.0,5,log_zscore_30,0.007302453852302972
5.0,5,log_return_5,0.00729451365103679
5.0,5,past_return_30,0.00727900762909225
