side,zscore_threshold,stop_points,target_points,horizon_bars,window,trades,wins,losses,timeouts,win_rate,total_points,mean_result_points,profit_factor,mean_mfe,median_mfe,mean_mae,median_mae,mean_holding_bars
LONG,1.5,5.0,5.0,10,1,5266,2219,2322,725,0.42138245347512343,-309.75,-0.05882073566317558,0.9744830710931708,7.957842826843262,5.5,8.342906951904297,5.5,4.2007216103304215
LONG,1.5,5.0,5.0,10,2,4922,1772,1850,1300,0.36001625355546524,27.25,0.005536367185413837,1.002706662362494,6.017929553985596,4.25,6.495378017425537,4.0,5.382161722876879
LONG,1.5,5.0,5.0,10,3,5211,2295,2736,180,0.44041450777202074,-2068.5,-0.39694875478744507,0.8497330282227308,18.674821853637695,11.0,20.664363861083984,12.25,2.0813663404336977
LONG,1.5,5.0,5.0,10,4,5002,2326,2644,32,0.4650139944022391,-1563.5,-0.31257498264312744,0.8818461770984867,17.667133331298828,13.0,18.734155654907227,12.75,1.5479808076769292
LONG,1.5,5.0,5.0,10,5,5313,2383,2908,22,0.4485224920007529,-2615.5,-0.49228307604789734,0.8202374611247616,17.65062141418457,12.5,17.573545455932617,12.5,1.5810276679841897
LONG,1.5,5.0,5.0,10,6,5490,2457,2992,41,0.44754098360655736,-2638.0,-0.48051002621650696,0.823830909728367,19.24171257019043,13.25,19.137203216552734,13.125,1.5903460837887067
LONG,1.5,5.0,5.0,10,7,4930,2247,2389,294,0.4557809330628803,-616.75,-0.12510141730308533,0.949142409499464,11.989198684692383,8.25,11.137170791625977,7.25,2.7941176470588234
LONG,1.5,5.0,5.0,10,8,5121,2337,2699,85,0.45635618043350906,-1778.25,-0.34724661707878113,0.8686984291067505,18.850566864013672,13.5,19.648212432861328,12.75,1.6309314586994728
LONG,1.5,5.0,5.0,10,9,5751,2004,3732,15,0.34846113719353156,-8628.0,-1.500260829925537,0.537701097075804,27.179750442504883,18.5,27.784168243408203,21.5,1.1705790297339593
LONG,1.5,5.0,5.0,10,10,5231,2213,2985,33,0.4230548652265341,-3839.5,-0.7339896559715271,0.7430010542345086,20.917415618896484,14.5,20.87349510192871,14.75,1.3657044542152552
LONG,1.5,5.0,5.0,10,11,5317,2318,2925,74,0.4359601278916682,-2985.0,-0.5614067912101746,0.7964576123830143,18.622907638549805,13.75,20.01335334777832,13.75,1.4923829227007712
LONG,1.5,5.0,5.0,10,12,4878,2174,2614,90,0.44567445674456746,-2189.75,-0.44890323281288147,0.8332603605490092,16.566011428833008,12.0,17.207975387573242,11.5,1.7068470684706847
LONG,1.5,5.0,5.0,10,13,5103,2300,2643,160,0.45071526553008034,-1699.75,-0.33308836817741394,0.8726588252921786,15.427444458007812,11.5,15.71644115447998,11.5,1.8138349990201843
LONG,1.5,5.0,5.0,10,14,5048,2348,2542,158,0.46513470681458,-1018.0,-0.2016640305519104,0.9207535419585864,15.675267219543457,11.25,16.325326919555664,10.5,1.87202852614897
LONG,1.5,5.0,5.0,10,15,4933,2146,2705,82,0.43502939387796474,-2749.5,-0.5573687553405762,0.7972008629750512,17.319988250732422,13.0,19.30316162109375,12.75,1.5594972633286033
