side,hmm_state,zscore_threshold,category,count,rate,observations,mean_mfe,median_mfe,mean_mae,median_mae
LONG,0,1.5,FAVORABLE_THEN_ADVERSE,8180,0.21963858980211046,37243,33.59440709046455,33.0,95.25048899755501,70.75
LONG,0,1.5,LARGE_FAVORABLE_MOVE,18616,0.4998523212415756,37243,123.68472013321873,94.75,52.982985066609366,30.0
LONG,0,1.5,NO_EDGE,6276,0.1685148887039175,37243,20.991236456341618,16.75,78.29425589547482,47.0
LONG,0,1.5,NO_FOLLOW_THROUGH,63,0.001691593051043149,37243,6.472222222222222,6.75,5.365079365079365,4.75
LONG,0,1.5,TREND_CONTINUATION,4108,0.11030260720135328,37243,4.8962390457643625,5.0,148.30738802336904,123.75
LONG,0,2.0,FAVORABLE_THEN_ADVERSE,3490,0.21937268212961217,15909,33.43409742120344,33.0,95.67134670487106,70.5
LONG,0,2.0,LARGE_FAVORABLE_MOVE,7965,0.5006600037714501,15909,123.45257376020088,94.25,53.78888888888889,29.75
LONG,0,2.0,NO_EDGE,2672,0.16795524545854548,15909,20.93506736526946,16.75,78.78648952095809,46.75
LONG,0,2.0,NO_FOLLOW_THROUGH,25,0.0015714375510717203,15909,6.83,7.0,5.44,5.25
LONG,0,2.0,TREND_CONTINUATION,1757,0.1104406310893205,15909,4.920176437108708,5.0,151.8272623790552,127.25
LONG,0,2.5,FAVORABLE_THEN_ADVERSE,1157,0.21209899175068744,5455,33.612791702679345,33.25,99.80488331892826,75.5
LONG,0,2.5,LARGE_FAVORABLE_MOVE,2746,0.5033913840513291,5455,122.13792789512017,94.0,54.287053896576836,29.75
LONG,0,2.5,NO_EDGE,882,0.1616865261228231,5455,21.599773242630384,16.75,75.29393424036282,39.875
LONG,0,2.5,NO_FOLLOW_THROUGH,10,0.0018331805682859762,5455,6.85,7.125,5.15,5.0
LONG,0,2.5,TREND_CONTINUATION,660,0.12098991750687443,5455,4.8977272727272725,5.0,153.20530303030304,127.25
LONG,0,3.0,FAVORABLE_THEN_ADVERSE,394,0.2224731789949181,1771,33.7258883248731,33.5,99.875,77.75
LONG,0,3.0,LARGE_FAVORABLE_MOVE,910,0.5138339920948617,1771,123.87225274725274,96.75,57.94285714285714,35.0
LONG,0,3.0,NO_EDGE,260,0.14680971202710333,1771,22.017307692307693,17.25,71.47788461538461,37.625
LONG,0,3.0,TREND_CONTINUATION,207,0.11688311688311688,1771,4.746376811594203,4.75,157.31642512077295,135.25
LONG,1,1.5,FAVORABLE_THEN_ADVERSE,6489,0.23569794050343248,27531,33.33044382801664,32.5,88.3843427338573,64.0
LONG,1,1.5,LARGE_FAVORABLE_MOVE,13137,0.47717118884166937,27531,116.95609728248459,92.0,43.060439978686155,25.25
LONG,1,1.5,NO_EDGE,4772,0.17333188042570194,27531,21.160676865046103,16.75,71.44315800502933,44.625
LONG,1,1.5,NO_FOLLOW_THROUGH,93,0.0033780102429988015,27531,6.029569892473118,7.0,5.462365591397849,5.5
LONG,1,1.5,TREND_CONTINUATION,3040,0.11042097998619738,27531,4.808881578947369,5.0,137.96167763157894,112.25
LONG,1,2.0,FAVORABLE_THEN_ADVERSE,2758,0.23293918918918918,11840,33.399927483683825,32.75,89.32831762146483,64.25
LONG,1,2.0,LARGE_FAVORABLE_MOVE,5719,0.48302364864864866,11840,118.83856443434166,92.5,43.48793495366323,26.0
LONG,1,2.0,NO_EDGE,2034,0.17179054054054055,11840,21.398475909537858,17.25,71.87610619469027,46.5
LONG,1,2.0,NO_FOLLOW_THROUGH,30,0.002533783783783784,11840,5.65,6.75,5.475,5.5
LONG,1,2.0,TREND_CONTINUATION,1299,0.10971283783783783,11840,4.904349499615089,5.0,136.45727482678984,111.0
LONG,1,2.5,FAVORABLE_THEN_ADVERSE,995,0.23769708552317248,4186,33.675628140703516,33.5,92.22311557788944,65.5
LONG,1,2.5,LARGE_FAVORABLE_MOVE,2055,0.49092212135690394,4186,121.01922141119222,92.75,43.513138686131384,27.25
LONG,1,2.5,NO_EDGE,697,0.16650740563784042,4186,21.354375896700144,17.25,78.14239598278336,46.75
LONG,1,2.5,NO_FOLLOW_THROUGH,8,0.0019111323459149545,4186,4.5,4.75,5.4375,5.5
LONG,1,2.5,TREND_CONTINUATION,431,0.10296225513616818,4186,4.852088167053364,4.75,145.6925754060325,126.25
LONG,1,3.0,FAVORABLE_THEN_ADVERSE,341,0.2524056254626203,1351,34.63343108504399,34.5,92.81304985337243,71.0
LONG,1,3.0,LARGE_FAVORABLE_MOVE,685,0.5070318282753515,1351,128.44306569343067,97.25,44.839416058394164,29.25
LONG,1,3.0,NO_EDGE,212,0.15692079940784603,1351,21.3125,17.5,85.90212264150944,47.0
LONG,1,3.0,NO_FOLLOW_THROUGH,2,0.0014803849000740192,1351,6.875,6.875,4.125,4.125
LONG,1,3.0,TREND_CONTINUATION,111,0.08216136195410807,1351,4.36936936936937,4.0,157.03378378378378,137.0
LONG,2,1.5,FAVORABLE_THEN_ADVERSE,6406,0.21201390038060566,30215,33.11360443334374,32.25,89.22713081486107,61.75
LONG,2,1.5,LARGE_FAVORABLE_MOVE,13357,0.4420651994042694,30215,119.92438421801303,91.0,49.324024855880815,28.0
LONG,2,1.5,NO_EDGE,6883,0.22780076121131887,30215,21.512312944936802,17.25,54.75203399680372,20.0
LONG,2,1.5,NO_FOLLOW_THROUGH,133,0.004401787191792156,30215,6.81390977443609,7.25,5.757518796992481,6.0
LONG,2,1.5,TREND_CONTINUATION,3436,0.1137183518120139,30215,4.709764260768336,4.75,130.14893771827707,103.75
LONG,2,2.0,FAVORABLE_THEN_ADVERSE,2750,0.20963561518524165,13118,33.05136363636364,32.0,91.01645454545455,63.5
LONG,2,2.0,LARGE_FAVORABLE_MOVE,5806,0.4425979570056411,13118,119.44535825008612,91.25,50.82375990354805,28.0
LONG,2,2.0,NO_EDGE,3011,0.22953194084464096,13118,21.62163732979077,17.5,55.37769843905679,20.25
LONG,2,2.0,NO_FOLLOW_THROUGH,52,0.003964018905320933,13118,6.394230769230769,6.625,6.028846153846154,6.125
LONG,2,2.0,TREND_CONTINUATION,1499,0.11427046805915536,13118,4.720313542361574,4.75,131.74166110740492,105.25
LONG,2,2.5,FAVORABLE_THEN_ADVERSE,921,0.20340106007067138,4528,33.40200868621064,32.5,94.21199782844734,63.5
LONG,2,2.5,LARGE_FAVORABLE_MOVE,2044,0.45141342756183744,4528,117.54305283757338,92.0,54.343811154598825,30.75
LONG,2,2.5,NO_EDGE,1002,0.22128975265017667,4528,21.70434131736527,17.25,57.26571856287425,19.625
LONG,2,2.5,NO_FOLLOW_THROUGH,27,0.005962897526501767,4528,6.12037037037037,6.25,6.351851851851852,6.25
LONG,2,2.5,TREND_CONTINUATION,534,0.11793286219081273,4528,4.633895131086143,4.5,127.83895131086142,104.625
LONG,2,3.0,FAVORABLE_THEN_ADVERSE,309,0.20836142953472692,1483,33.50161812297735,32.75,107.5088996763754,73.75
LONG,2,3.0,LARGE_FAVORABLE_MOVE,693,0.4672960215778827,1483,117.1403318903319,96.25,57.69047619047619,36.75
LONG,2,3.0,NO_EDGE,308,0.20768712070128117,1483,22.10551948051948,17.875,61.29626623376623,18.75
LONG,2,3.0,NO_FOLLOW_THROUGH,7,0.004720161834120027,1483,5.0,6.0,6.535714285714286,6.25
LONG,2,3.0,TREND_CONTINUATION,166,0.11193526635198921,1483,4.694277108433735,4.625,134.5527108433735,120.125
SHORT,0,1.5,FAVORABLE_THEN_ADVERSE,8808,0.2174546352302185,40505,32.9073853315168,32.0,78.2603315168029,55.5
SHORT,0,1.5,LARGE_FAVORABLE_MOVE,17284,0.426712751512159,40505,130.11979287202035,99.75,49.204452094422585,27.0
SHORT,0,1.5,NO_EDGE,8312,0.20520923342797184,40505,19.678085899903753,16.5,54.712313522617904,29.75
SHORT,0,1.5,NO_FOLLOW_THROUGH,130,0.003209480311072707,40505,6.332692307692308,6.75,6.540384615384616,7.5
SHORT,0,1.5,TREND_CONTINUATION,5971,0.14741389951857795,40505,4.704781443644281,4.75,109.2119410484006,86.0
SHORT,0,2.0,FAVORABLE_THEN_ADVERSE,3276,0.2148055865189168,15251,33.160943223443226,32.25,81.61027167277167,56.25
SHORT,0,2.0,LARGE_FAVORABLE_MOVE,6754,0.4428562061504164,15251,130.93733343204028,99.75,52.96431744151614,29.25
SHORT,0,2.0,NO_EDGE,3039,0.19926562192643105,15251,19.361878907535374,16.5,56.62232642316552,29.25
SHORT,0,2.0,NO_FOLLOW_THROUGH,44,0.002885056717592289,15251,6.073863636363637,6.5,6.5852272727272725,7.375
SHORT,0,2.0,TREND_CONTINUATION,2138,0.1401875286866435,15251,4.732577174929841,4.75,111.31980823199251,87.5
SHORT,0,2.5,FAVORABLE_THEN_ADVERSE,1017,0.21606118546845124,4707,33.0287610619469,32.0,85.36701081612586,59.25
SHORT,0,2.5,LARGE_FAVORABLE_MOVE,2231,0.4739749309538985,4707,135.31600179291797,104.25,59.6674137158225,33.75
SHORT,0,2.5,NO_EDGE,878,0.18653069895899724,4707,18.806662870159453,16.25,57.94760820045558,29.5
SHORT,0,2.5,NO_FOLLOW_THROUGH,10,0.0021244954323348204,4707,5.4,5.625,6.4,5.75
SHORT,0,2.5,TREND_CONTINUATION,571,0.12130868918631825,4707,4.80122591943958,5.0,115.04553415061297,93.5
SHORT,0,3.0,FAVORABLE_THEN_ADVERSE,325,0.21652231845436376,1501,34.08769230769231,34.25,92.69461538461539,67.75
SHORT,0,3.0,LARGE_FAVORABLE_MOVE,760,0.5063291139240507,1501,138.77236842105262,107.375,61.94375,36.875
SHORT,0,3.0,NO_EDGE,244,0.1625582944703531,1501,18.104508196721312,16.0,65.40676229508196,34.125
SHORT,0,3.0,NO_FOLLOW_THROUGH,2,0.0013324450366422385,1501,4.75,4.75,6.75,6.75
SHORT,0,3.0,TREND_CONTINUATION,170,0.11325782811459027,1501,4.686764705882353,4.75,121.51323529411765,104.75
SHORT,1,1.5,FAVORABLE_THEN_ADVERSE,6541,0.2143395484484058,30517,32.69844060541202,31.75,73.15120012230545,55.0
SHORT,1,1.5,LARGE_FAVORABLE_MOVE,12668,0.41511288789854833,30517,118.68296100410483,93.75,40.79156141458794,25.25
SHORT,1,1.5,NO_EDGE,6439,0.21099714912999312,30517,19.543562665010096,16.0,54.27523683801832,33.75
SHORT,1,1.5,NO_FOLLOW_THROUGH,202,0.006619261395287872,30517,5.752475247524752,6.0,5.899752475247524,6.0
SHORT,1,1.5,TREND_CONTINUATION,4667,0.15293115312776484,30517,4.582226269552175,4.5,103.13322262695522,86.25
SHORT,1,2.0,FAVORABLE_THEN_ADVERSE,2460,0.2125086385625432,11576,32.83770325203252,32.125,78.55711382113822,59.0
SHORT,1,2.0,LARGE_FAVORABLE_MOVE,5021,0.43374222529371115,11576,119.30481975702051,94.5,43.43113921529576,26.25
SHORT,1,2.0,NO_EDGE,2245,0.19393572909467865,11576,19.79387527839644,16.25,56.83184855233853,33.75
SHORT,1,2.0,NO_FOLLOW_THROUGH,86,0.007429163787145819,11576,5.662790697674419,6.125,5.915697674418604,6.0
SHORT,1,2.0,TREND_CONTINUATION,1764,0.1523842432619212,11576,4.595521541950113,4.5,106.203089569161,90.75
SHORT,1,2.5,FAVORABLE_THEN_ADVERSE,804,0.2255892255892256,3564,32.97761194029851,32.75,82.89210199004975,63.375
SHORT,1,2.5,LARGE_FAVORABLE_MOVE,1589,0.4458473625140292,3564,121.63215859030836,97.75,46.05994336060415,27.75
SHORT,1,2.5,NO_EDGE,623,0.17480359147025815,3564,19.798555377207062,16.75,60.57704654895666,37.75
SHORT,1,2.5,NO_FOLLOW_THROUGH,26,0.007295173961840628,3564,5.826923076923077,6.25,5.461538461538462,5.625
SHORT,1,2.5,TREND_CONTINUATION,522,0.14646464646464646,3564,4.540708812260537,4.375,115.8022030651341,99.625
SHORT,1,3.0,FAVORABLE_THEN_ADVERSE,265,0.22844827586206898,1160,33.21509433962264,33.25,87.90377358490566,72.75
SHORT,1,3.0,LARGE_FAVORABLE_MOVE,543,0.4681034482758621,1160,124.86187845303867,100.5,48.129834254143645,32.0
SHORT,1,3.0,NO_EDGE,170,0.14655172413793102,1160,20.25,17.5,70.87941176470588,45.125
SHORT,1,3.0,NO_FOLLOW_THROUGH,6,0.005172413793103448,1160,6.458333333333333,6.375,3.625,3.5
SHORT,1,3.0,TREND_CONTINUATION,176,0.15172413793103448,1160,4.458806818181818,4.25,114.73011363636364,106.375
SHORT,2,1.5,FAVORABLE_THEN_ADVERSE,6498,0.1990930816839267,32638,32.59437519236688,31.5,76.24915358571869,54.25
