side,hmm_state,zscore_threshold,stop_points,target_points,horizon_bars,observations,win_rate,stop_rate,timeout_rate,total_points,mean_points,profit_factor,mean_holding_bars
LONG,0,1.5,20.0,20.0,120,37243,0.4953682571221438,0.5046317428778563,0.0,-6900.0,-0.18526971511424967,0.9816430775779504,15.132185914131515
LONG,0,2.0,20.0,20.0,120,15909,0.4971399836570495,0.5028600163429505,0.0,-1820.0,-0.11440065371802124,0.988625,14.587466214092652
LONG,0,2.5,20.0,20.0,120,5455,0.493858845096242,0.506141154903758,0.0,-1340.0,-0.2456461961503208,0.9757334299166969,13.300824931255729
LONG,0,3.0,20.0,20.0,120,1771,0.5076228119706381,0.4923771880293619,0.0,540.0,0.3049124788255223,1.0309633027522935,10.849237718802936
LONG,1,1.5,20.0,20.0,120,27531,0.4941338854382333,0.5058661145617668,0.0,-6460.0,-0.23464458247066944,0.9768076398362893,15.887617594711417
LONG,1,2.0,20.0,20.0,120,11840,0.4951858108108108,0.5048141891891892,0.0,-2280.0,-0.19256756756756757,0.9809268863978584,15.039780405405406
LONG,1,2.5,20.0,20.0,120,4186,0.4978499761108457,0.5021500238891543,0.0,-360.0,-0.08600095556617296,0.9914367269267365,13.65551839464883
LONG,1,3.0,20.0,20.0,120,1351,0.49740932642487046,0.5025906735751295,0.0,-140.0,-0.10362694300518134,0.9896907216494846,11.234641006661732
LONG,2,1.5,20.0,20.0,120,30215,0.4900215124937945,0.5099784875062056,0.0,-12060.0,-0.3991395002482211,0.9608670257641638,20.72814827072646
LONG,2,2.0,20.0,20.0,120,13118,0.49252934898612594,0.5074706510138741,0.0,-3920.0,-0.29882604055496265,0.9705573080967402,20.108171977435585
LONG,2,2.5,20.0,20.0,120,4528,0.4816696113074205,0.5183303886925795,0.0,-3320.0,-0.7332155477031802,0.9292714103110353,18.604240282685513
LONG,2,3.0,20.0,20.0,120,1483,0.4787592717464599,0.5212407282535402,0.0,-1260.0,-0.8496291301416049,0.9184993531694696,15.162508428860418
SHORT,0,1.5,20.0,20.0,120,40505,0.4782372546599185,0.5217627453400815,0.0,-35260.0,-0.8705098136032589,0.9165799186145548,20.98869275398099
SHORT,0,2.0,20.0,20.0,120,15251,0.4785915677660481,0.5214084322339518,0.0,-13060.0,-0.8563372893580748,0.9178822937625755,20.18785653399777
SHORT,0,2.5,20.0,20.0,120,4707,0.48693435309114086,0.5130656469088591,0.0,-2460.0,-0.5226258763543659,0.9490683229813665,17.82409177820268
SHORT,0,3.0,20.0,20.0,120,1501,0.5003331112591606,0.4996668887408394,0.0,20.0,0.013324450366422385,1.0013333333333334,12.936708860759493
SHORT,1,1.5,20.0,20.0,120,30517,0.4661008618147262,0.5338991381852738,0.0,-41380.0,-1.3559655274109512,0.8730129503467747,21.407903791329424
SHORT,1,2.0,20.0,20.0,120,11576,0.46605044920525224,0.5339495507947477,0.0,-15720.0,-1.35798203178991,0.8728361106617052,19.988078783690394
SHORT,1,2.5,20.0,20.0,120,3564,0.462682379349046,0.537317620650954,0.0,-5320.0,-1.4927048260381595,0.8610966057441253,17.560606060606062
SHORT,1,3.0,20.0,20.0,120,1160,0.44396551724137934,0.5560344827586207,0.0,-2600.0,-2.2413793103448274,0.7984496124031008,13.387931034482758
SHORT,2,1.5,20.0,20.0,120,32638,0.46262025859427663,0.5373797414057234,0.0,-48800.0,-1.4951896562289355,0.8608814641655739,26.327991911269073
SHORT,2,2.0,20.0,20.0,120,12485,0.4684821786143372,0.5315178213856628,0.0,-15740.0,-1.260712855426512,0.8814044605183846,25.03171806167401
SHORT,2,2.5,20.0,20.0,120,3872,0.46616735537190085,0.5338326446280992,0.0,-5240.0,-1.353305785123967,0.8732462506047411,22.47623966942149
SHORT,2,3.0,20.0,20.0,120,1238,0.4894991922455573,0.5105008077544426,0.0,-520.0,-0.420032310177706,0.9588607594936709,16.513731825525042
