window,oos_start,oos_end,train_rows,train_valid,oos_rows,oos_valid,status,states_assigned
1,2019-05-06 13:59:00+00:00,2019-09-05 18:29:00+00:00,29,0,33822,33791,SKIPPED_INSUFFICIENT_TRAIN_HISTORY,
2,2019-09-05 18:30:00+00:00,2020-01-09 18:02:00+00:00,33851,33791,33723,33723,OK,33723.0
3,2020-01-09 18:03:00+00:00,2020-05-12 20:13:00+00:00,67574,67514,33693,33693,OK,33693.0
4,2020-05-12 20:14:00+00:00,2020-09-11 19:02:00+00:00,101267,101207,33723,33723,OK,33723.0
5,2020-09-11 19:03:00+00:00,2021-01-15 18:21:00+00:00,134990,134930,33709,33709,OK,33709.0
6,2021-01-15 18:22:00+00:00,2021-05-19 19:40:00+00:00,168699,168639,33709,33709,OK,33709.0
7,2021-05-19 19:41:00+00:00,2021-09-16 19:00:00+00:00,202408,202348,32960,32960,OK,32960.0
8,2021-09-16 19:01:00+00:00,2022-01-14 15:49:00+00:00,235368,235308,32554,32554,OK,32554.0
9,2022-01-14 15:50:00+00:00,2022-05-13 18:23:00+00:00,267922,267862,32614,32614,OK,32614.0
10,2022-05-13 18:24:00+00:00,2022-09-12 14:57:00+00:00,300536,300476,32614,32614,OK,32614.0
11,2022-09-12 14:58:00+00:00,2023-01-10 19:16:00+00:00,333150,333090,32614,32614,OK,32614.0
12,2023-01-10 19:17:00+00:00,2023-05-10 14:20:00+00:00,365764,365704,32554,32554,OK,32554.0
13,2023-05-10 14:21:00+00:00,2023-09-07 14:39:00+00:00,398318,398258,32674,32674,OK,32674.0
14,2023-09-07 14:40:00+00:00,2024-01-05 18:58:00+00:00,430992,430932,32614,32614,OK,32614.0
15,2024-01-05 18:59:00+00:00,2024-05-06 14:02:00+00:00,463606,463546,32554,32554,OK,32554.0
16,2024-05-06 14:03:00+00:00,2024-09-03 14:21:00+00:00,496160,496100,32674,32674,OK,32674.0
17,2024-09-03 14:22:00+00:00,2025-01-02 14:55:00+00:00,528834,528774,32614,32614,OK,32614.0
18,2025-01-02 14:56:00+00:00,2025-05-02 17:30:00+00:00,561448,561388,32615,32615,OK,32615.0
19,2025-05-02 17:31:00+00:00,2025-09-01 13:49:00+00:00,594063,594003,32614,32614,OK,32614.0
20,2025-09-01 13:50:00+00:00,2025-12-30 18:23:00+00:00,626677,626617,32674,32674,OK,32674.0
21,2025-12-30 18:24:00+00:00,2026-04-29 20:56:00+00:00,659351,659291,32556,32556,OK,32556.0
22,2026-04-29 20:57:00+00:00,2026-08-26 20:59:00+00:00,691907,691847,32610,32610,OK,32610.0
