window,hmm_state,observations,window_total,share
1,0,9929,37505,0.2647380349286762
1,1,15239,37505,0.40631915744567393
1,2,12337,37505,0.3289428076256499
2,0,14590,37534,0.3887142324292641
2,1,15518,37534,0.4134384824425854
2,2,7426,37534,0.19784728512815047
3,0,25997,37534,0.692625353013268
3,1,8697,37534,0.23170991634251611
3,2,2840,37534,0.07566473064421592
4,0,20825,37534,0.5548302872062664
4,1,14435,37534,0.38458464325678055
4,2,2274,37534,0.06058506953695316
5,0,20709,37534,0.5517397559546011
5,1,12498,37534,0.3329780998561304
5,2,4327,37534,0.1152821441892684
6,0,19842,37534,0.5286406990994831
6,1,11696,37534,0.3116108062023765
6,2,5996,37534,0.15974849469814034
7,0,18308,37534,0.4877710875472905
7,1,4245,37534,0.11309745830447061
7,2,14981,37534,0.3991314541482389
8,0,20255,37534,0.5396440560558428
8,1,11744,37534,0.31288964672030695
8,2,5535,37534,0.14746629722385038
9,0,11092,37534,0.2955187296850855
9,1,26083,37534,0.6949166089412266
9,2,359,37534,0.009564661373687857
10,0,20103,37534,0.5355943944157298
10,1,16453,37534,0.43834923003143816
10,2,978,37534,0.0260563755528321
11,0,17333,37534,0.46179463952682903
11,1,700,37534,0.01864975755315181
11,2,19501,37534,0.5195556029200192
12,0,22418,37534,0.5972718068950817
12,1,10641,37534,0.28350295731869773
12,2,4475,37534,0.11922523578622049
13,0,25123,37534,0.6693397985826184
13,1,6338,37534,0.1688602333883945
13,2,6073,37534,0.16179996802898705
14,0,6627,37534,0.1765599190067672
14,1,23822,37534,0.6346778920445463
14,2,7085,37534,0.18876218894868652
15,0,22595,37534,0.6019875313049502
15,1,5407,37534,0.14405605584270262
15,2,9532,37534,0.2539564128523472
16,0,20679,37534,0.5509404806308946
16,1,9594,37534,0.2556082485213407
16,2,7261,37534,0.1934512708477647
17,0,23213,37534,0.6184526029733042
17,1,7835,37534,0.20874407204134918
17,2,6486,37534,0.17280332498534662
18,0,16378,37534,0.4363510417221719
18,1,2667,37534,0.07105557627750839
18,2,18489,37534,0.4925933820003197
19,0,21642,37534,0.5765972185218735
19,1,6600,37534,0.17584057121543134
19,2,9292,37534,0.24756221026269515
20,0,9588,37534,0.25544839345659937
20,1,19743,37534,0.5260030905312517
20,2,8203,37534,0.21854851601214897
21,0,20508,37533,0.5463991687315163
21,1,5404,37533,0.14397996429808435
21,2,11621,37533,0.30962086697039937
22,0,19867,37533,0.5293208643060773
22,1,5629,37533,0.14997468894039911
22,2,12037,37533,0.32070444675352355
