window,hmm_state,side,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,prob_mfe_ge_20,prob_mae_ge_20
1,0,LONG,9929,17.758560781548997,10.75,18.910917514351897,11.5,0.290764427434787,0.3013395105247256
1,0,SHORT,9929,18.910917514351897,11.5,17.758560781548997,10.75,0.3013395105247256,0.290764427434787
1,1,LONG,15239,11.711562438480215,8.0,12.034647942778397,8.0,0.1559157425027889,0.16280595839622022
1,1,SHORT,15239,12.034647942778397,8.0,11.711562438480215,8.0,0.16280595839622022,0.1559157425027889
1,2,LONG,12337,11.840783821026182,7.5,12.033192834562698,8.0,0.15319769798168112,0.1729756018480992
1,2,SHORT,12337,12.033192834562698,8.0,11.840783821026182,7.5,0.1729756018480992,0.15319769798168112
2,0,LONG,14590,6.715130226182317,4.75,7.004009595613434,4.5,0.046333104866346814,0.06970527758738862
2,0,SHORT,14590,7.004009595613434,4.5,6.715130226182317,4.75,0.06970527758738862,0.046333104866346814
2,1,LONG,15518,10.67681080036087,7.75,10.51356489238304,6.5,0.13274906560123728,0.1341667740688233
2,1,SHORT,15518,10.51356489238304,6.5,10.67681080036087,7.75,0.1341667740688233,0.13274906560123728
2,2,LONG,7426,15.495926474548883,11.25,14.29012927551845,9.25,0.25976299488284404,0.25585779692970645
2,2,SHORT,7426,14.29012927551845,9.25,15.495926474548883,11.25,0.25585779692970645,0.25976299488284404
3,0,LONG,25997,41.1745393699273,25.5,41.89955571796746,25.0,0.5908374043158826,0.5743739662268723
3,0,SHORT,25997,41.89955571796746,25.0,41.1745393699273,25.5,0.5743739662268723,0.5908374043158826
3,1,LONG,8697,12.929918362653789,9.75,13.401000344946533,8.75,0.18696102104173853,0.19926411406232034
3,1,SHORT,8697,13.401000344946533,8.75,12.929918362653789,9.75,0.19926411406232034,0.18696102104173853
3,2,LONG,2840,7.94225352112676,5.75,9.178609154929578,5.5,0.07535211267605633,0.10528169014084507
3,2,SHORT,2840,9.178609154929578,5.5,7.94225352112676,5.75,0.10528169014084507,0.07535211267605633
4,0,LONG,20825,20.99122448979592,15.75,21.175354141656662,14.75,0.39860744297719086,0.3799759903961585
4,0,SHORT,20825,21.175354141656662,14.75,20.99122448979592,15.75,0.3799759903961585,0.39860744297719086
4,1,LONG,14435,34.367388292345,26.0,39.209421544856255,25.5,0.5995150675441635,0.5839972289573953
4,1,SHORT,14435,39.209421544856255,25.5,34.367388292345,26.0,0.5839972289573953,0.5995150675441635
4,2,LONG,2274,15.251868953386104,11.625,12.845536499560247,8.75,0.2594547053649956,0.1943711521547933
4,2,SHORT,2274,12.845536499560247,8.75,15.251868953386104,11.625,0.1943711521547933,0.2594547053649956
5,0,LONG,20709,22.64232942199044,17.5,24.656176058718433,17.25,0.43990535515959245,0.44420300352503744
5,0,SHORT,20709,24.656176058718433,17.25,22.64232942199044,17.5,0.44420300352503744,0.43990535515959245
5,1,LONG,12498,37.60071611457833,27.75,37.3663986237798,26.25,0.6273003680588894,0.586173787806049
5,1,SHORT,12498,37.3663986237798,26.25,37.60071611457833,27.75,0.586173787806049,0.6273003680588894
5,2,LONG,4327,14.392477467067252,10.75,15.45955627455512,12.0,0.23711578460827362,0.25121331176334644
5,2,SHORT,4327,15.45955627455512,12.0,14.392477467067252,10.75,0.25121331176334644,0.23711578460827362
6,0,LONG,19842,22.9398624130632,17.0,27.032393407922587,18.0,0.4354903739542385,0.46421731680274164
6,0,SHORT,19842,27.032393407922587,18.0,22.9398624130632,17.0,0.46421731680274164,0.4354903739542385
6,1,LONG,11696,43.133998803009575,31.0,44.214453659370726,31.75,0.6504787961696307,0.6415013679890561
6,1,SHORT,11696,44.214453659370726,31.75,43.133998803009575,31.0,0.6415013679890561,0.6504787961696307
6,2,LONG,5996,16.284814876584388,12.5,15.946506004002668,11.0,0.29436290860573716,0.27368245496998
