side,hmm_state,vol_bucket,zscore,observations,windows,wr_5_before_5_h10,wr_10_before_5_h10,wr_15_before_10_h10,wr_20_before_10_h10,wr_30_before_15_h10,wr_5_before_5_h20,wr_10_before_5_h20,wr_15_before_10_h20,wr_20_before_10_h20,wr_30_before_15_h20,wr_5_before_5_h30,wr_10_before_5_h30,wr_15_before_10_h30,wr_20_before_10_h30,wr_30_before_15_h30,wr_5_before_5_h60,wr_10_before_5_h60,wr_15_before_10_h60,wr_20_before_10_h60,wr_30_before_15_h60,wr_5_before_5_h120,wr_10_before_5_h120,wr_15_before_10_h120,wr_20_before_10_h120,wr_30_before_15_h120,mean_path_wr,median_path_wr,paths_wr_ge_50,paths_wr_ge_55,paths_wr_ge_60
SHORT,0,20-40,3.0,175,17,0.4342857142857143,0.32571428571428573,0.37142857142857144,0.3314285714285714,0.26857142857142857,0.44,0.34285714285714286,0.42857142857142855,0.3657142857142857,0.3028571428571429,0.44571428571428573,0.34285714285714286,0.4342857142857143,0.4,0.3485714285714286,0.4514285714285714,0.3485714285714286,0.44,0.4057142857142857,0.37714285714285717,0.4514285714285714,0.35428571428571426,0.44571428571428573,0.4057142857142857,0.3942857142857143,0.38628571428571434,0.3942857142857143,0,0,0
SHORT,1,20-40,3.5,130,17,0.35384615384615387,0.3,0.45384615384615384,0.35384615384615387,0.3153846153846154,0.35384615384615387,0.3,0.45384615384615384,0.36923076923076925,0.3769230769230769,0.35384615384615387,0.3,0.46153846153846156,0.36923076923076925,0.38461538461538464,0.35384615384615387,0.3,0.47692307692307695,0.3769230769230769,0.38461538461538464,0.35384615384615387,0.3,0.47692307692307695,0.3923076923076923,0.38461538461538464,0.37200000000000005,0.36923076923076925,0,0,0
LONG,0,80-100,2.5,922,21,0.44468546637744033,0.3156182212581345,0.34490238611713664,0.28199566160520606,0.21475054229934923,0.4490238611713666,0.33080260303687636,0.37635574837310193,0.3275488069414317,0.2809110629067245,0.4490238611713666,0.3329718004338395,0.39045553145336226,0.3470715835140998,0.3188720173535792,0.4511930585683297,0.3329718004338395,0.39913232104121477,0.35683297180043383,0.3665943600867679,0.4511930585683297,0.3329718004338395,0.403470715835141,0.36225596529284165,0.38177874186550975,0.36173535791757055,0.35683297180043383,0,0,0
LONG,0,40-60,2.0,3057,21,0.4435721295387635,0.319267255479228,0.35852142623487077,0.26561988877984954,0.15799803729146222,0.45142296368989204,0.33104350670592086,0.3961400065423618,0.31665031076218514,0.23912332351979065,0.45305855413804386,0.33496892378148513,0.4075891396794243,0.32940791625776905,0.2741249591102388,0.4533856722276742,0.338567222767419,0.4164213280994439,0.34314687602224403,0.3140333660451423,0.4533856722276742,0.3395485770363101,0.42263657180242065,0.3493621197252208,0.32875368007850836,0.35350997710173376,0.3395485770363101,0,0,0
LONG,1,20-40,3.0,359,20,0.34540389972144847,0.3008356545961003,0.40668523676880225,0.3286908077994429,0.22841225626740946,0.34540389972144847,0.30362116991643456,0.4206128133704735,0.362116991643454,0.3008356545961003,0.34540389972144847,0.30362116991643456,0.4233983286908078,0.37047353760445684,0.33147632311977715,0.34818941504178275,0.3064066852367688,0.43454038997214484,0.37604456824512533,0.37604456824512533,0.34818941504178275,0.3064066852367688,0.4373259052924791,0.3816155988857939,0.38440111420612816,0.3526462395543175,0.34818941504178275,0,0,0
LONG,1,20-40,2.0,2573,21,0.4026428293820443,0.3101438010104936,0.3645549941702293,0.2895452778857365,0.20676253400699574,0.4038087835211815,0.31830547998445397,0.39253789350952195,0.32413525068013993,0.2759424795958026,0.4057520404197435,0.3221919937815779,0.4003109211037699,0.33696074621064903,0.306645938593082,0.40691799455888067,0.3229692965410027,0.40730664593859306,0.34823163622230857,0.3420132141469102,0.40691799455888067,0.3229692965410027,0.4076952973183055,0.3501748931208706,0.35561601243684415,0.34924212980956093,0.34823163622230857,0,0,0
LONG,0,20-40,2.5,877,20,0.4264538198403649,0.30216647662485746,0.338654503990878,0.2588369441277081,0.1847206385404789,0.43557582668187,0.3181299885974915,0.3774230330672748,0.3124287343215507,0.2542759407069555,0.43899657924743446,0.3204104903078677,0.39110604332953247,0.3295324971493729,0.28164196123147095,0.44583808437856326,0.3249714937286203,0.4047890535917902,0.35347776510832385,0.3169897377423033,0.44583808437856326,0.3249714937286203,0.40820980615735464,0.3603192702394527,0.346636259977195,0.3480957810718358,0.338654503990878,0,0,0
LONG,0,80-100,1.5,9442,21,0.4402668926074984,0.3080915060368566,0.33922897691167125,0.25375979665325143,0.15769963990679942,0.4451387417919932,0.3191061215844101,0.3790510485066723,0.30671467909341243,0.25397161618301206,0.44619783944079644,0.32069476805761493,0.38879474687566196,0.32185977547129846,0.2955941537809786,0.44757466638424065,0.32291887312010165,0.39726752806608767,0.3340393984325355,0.33922897691167125,0.44757466638424065,0.3234484219445033,0.39896208430417285,0.33774624020334676,0.3510908705782673,0.3470408811692438,0.33774624020334676,0,0,0
LONG,0,20-40,3.0,236,20,0.3983050847457627,0.3389830508474576,0.3135593220338983,0.25,0.2245762711864407,0.4067796610169492,0.3432203389830508,0.3601694915254237,0.2923728813559322,0.2754237288135593,0.4110169491525424,0.3474576271186441,0.3728813559322034,0.3220338983050847,0.288135593220339,0.4152542372881356,0.3559322033898305,0.3898305084745763,0.3474576271186441,0.3220338983050847,0.4152542372881356,0.3559322033898305,0.3983050847457627,0.3601694915254237,0.3686440677966102,0.34694915254237296,0.3559322033898305,0,0,0
LONG,1,20-40,2.5,946,20,0.3699788583509514,0.2949260042283298,0.379492600422833,0.3033826638477801,0.22304439746300211,0.3699788583509514,0.29809725158562367,0.3964059196617336,0.33403805496828753,0.28752642706131076,0.37209302325581395,0.3023255813953488,0.4059196617336152,0.3498942917547569,0.3276955602536998,0.37315010570824525,0.3033826638477801,0.41226215644820297,0.3583509513742072,0.36257928118393234,0.37315010570824525,0.3033826638477801,0.41331923890063427,0.36046511627906974,0.37103594080338265,0.3458350951374208,0.36046511627906974,0,0,0
