side,hmm_state,vol_bucket,zscore,horizon,observations,window_count,p_5_before_5_wr,p_5_before_5_timeout,p_10_before_5_wr,p_10_before_5_timeout,p_15_before_10_wr,p_15_before_10_timeout,p_20_before_10_wr,p_20_before_10_timeout,p_30_before_15_wr,p_30_before_15_timeout
LONG,0,80-100,1.5,10,47307,21,0.43251527258122474,0.03016466907645803,0.30105481218424335,0.05633415773564166,0.3233348130297842,0.1559811444395121,0.23269283615532585,0.21292831927621705,0.14177605851142536,0.42298179973365463
LONG,0,80-100,1.5,20,47307,21,0.4420276069080686,0.01283108208087598,0.31500623586361426,0.02756463102712072,0.3664573953114761,0.07125795336842328,0.2880546219375568,0.09916080072716511,0.22222926839579765,0.23785063521254782
LONG,0,80-100,1.5,30,47307,21,0.44469106051958485,0.007842391189464561,0.31933963261250975,0.017904327055192678,0.37911936922654155,0.04711776269896633,0.30625488828291797,0.06375377851057983,0.2609550383664151,0.15705920899655443
LONG,0,80-100,1.5,60,47307,21,0.44839030164669075,0.0017544972202845244,0.3243283235039212,0.006870019236053861,0.39102035639545946,0.021476737057940686,0.3221721943898366,0.028325617773268228,0.30680448982180225,0.06457818081890629
LONG,0,80-100,1.5,120,47307,21,0.44910901135138565,0.0003804933730737523,0.32686494599107957,0.002008159469000359,0.3984188386496713,0.007609867461475046,0.33094468049125925,0.01133024710930729,0.32690722303253217,0.02477434629124654
LONG,0,80-100,2.0,10,17576,21,0.43189576695493853,0.030553026854802004,0.3022303140646336,0.05797678652708239,0.3301092398725535,0.15208238507055075,0.24561902594446974,0.20510923987255347,0.15691852526172054,0.40640646335912606
LONG,0,80-100,2.0,20,17576,21,0.4412266727355485,0.013199817933545745,0.31594219390077377,0.028846153846153848,0.3687983614019117,0.07271279016841146,0.29682521620391444,0.09831588529813381,0.2343536640873919,0.23145197997269004
LONG,0,80-100,2.0,30,17576,21,0.4440145653163405,0.007567137005006827,0.32077833409194356,0.017808375056895767,0.38182749203459265,0.047906235776058265,0.31281292671825217,0.06560081929904416,0.2705393718707328,0.15543923532089213
LONG,0,80-100,2.0,60,17576,21,0.44799726900318615,0.0014792899408284023,0.3255575785161584,0.0069981793354574415,0.3936618115612198,0.023384160218479746,0.32760582612653616,0.03220300409649522,0.31133363677742376,0.06929904415111515
LONG,0,80-100,2.0,120,17576,21,0.44845243513882566,0.00028447883477469274,0.32817478379608556,0.0017068730086481567,0.40191169776968594,0.007680928538916705,0.33784706417842514,0.012232589895311789,0.33210059171597633,0.026342740100136548
LONG,0,80-100,2.5,10,4788,21,0.4133249791144528,0.032999164578111945,0.2903091060985798,0.06098579782790309,0.3310359231411863,0.1464076858813701,0.25835421888053467,0.1902673350041771,0.18483709273182958,0.36528822055137844
LONG,0,80-100,2.5,20,4788,21,0.4241854636591479,0.013366750208855471,0.30179615705931495,0.03320802005012531,0.36194653299916457,0.07769423558897243,0.29908103592314117,0.09774436090225563,0.2531328320802005,0.21136173767752714
LONG,0,80-100,2.5,30,4788,21,0.42794486215538846,0.006892230576441102,0.30701754385964913,0.020258980785296574,0.37406015037593987,0.05451127819548872,0.3132832080200501,0.06850459482038429,0.28425229741019215,0.14327485380116958
LONG,0,80-100,2.5,60,4788,21,0.4319131161236424,0.001670843776106934,0.3134920634920635,0.00835421888053467,0.38596491228070173,0.027986633249791143,0.3258145363408521,0.03634085213032581,0.31620718462823727,0.07497911445279866
LONG,0,80-100,2.5,120,4788,21,0.4321219715956558,0.0006265664160401002,0.31641604010025065,0.0018796992481203006,0.39494569757727654,0.01086048454469507,0.3362573099415205,0.015664160401002505,0.33751044277360065,0.03153717627401838
LONG,0,80-100,3.0,10,1256,21,0.3487261146496815,0.03105095541401274,0.25557324840764334,0.052547770700636945,0.31369426751592355,0.12420382165605096,0.25079617834394907,0.1592356687898089,0.20382165605095542,0.3001592356687898
LONG,0,80-100,3.0,20,1256,21,0.35987261146496813,0.01194267515923567,0.2611464968152866,0.03264331210191083,0.3359872611464968,0.06926751592356688,0.2786624203821656,0.08917197452229299,0.2619426751592357,0.17834394904458598
LONG,0,80-100,3.0,30,1256,21,0.3630573248407643,0.007165605095541401,0.2659235668789809,0.022292993630573247,0.3479299363057325,0.04936305732484077,0.2929936305732484,0.06369426751592357,0.28662420382165604,0.125
LONG,0,80-100,3.0,60,1256,21,0.36703821656050956,0.0023885350318471337,0.27388535031847133,0.00875796178343949,0.3590764331210191,0.030254777070063694,0.304140127388535,0.03821656050955414,0.3065286624203822,0.07802547770700637
LONG,0,80-100,3.0,120,1256,21,0.36703821656050956,0.0015923566878980893,0.2786624203821656,0.0015923566878980893,0.36863057324840764,0.012738853503184714,0.3144904458598726,0.01910828025477707,0.3320063694267516,0.03662420382165605
LONG,0,80-100,3.5,10,469,21,0.29637526652452023,0.02771855010660981,0.24946695095948826,0.03624733475479744,0.34754797441364604,0.08742004264392324,0.29637526652452023,0.10660980810234541,0.24733475479744135,0.2068230277185501
LONG,0,80-100,3.5,20,469,21,0.3070362473347548,0.010660980810234541,0.2579957356076759,0.019189765458422176,0.36673773987206826,0.042643923240938165,0.3091684434968017,0.057569296375266525,0.27505330490405117,0.12366737739872068
LONG,0,80-100,3.5,30,469,21,0.3091684434968017,0.008528784648187633,0.2579957356076759,0.017057569296375266,0.373134328358209,0.029850746268656716,0.31343283582089554,0.042643923240938165,0.29637526652452023,0.08315565031982942
LONG,0,80-100,3.5,60,469,21,0.31343283582089554,0.0021321961620469083,0.2622601279317697,0.006396588486140725,0.3752665245202559,0.021321961620469083,0.32196162046908317,0.021321961620469083,0.3091684434968017,0.057569296375266525
LONG,0,80-100,3.5,120,469,21,0.31343283582089554,0.0021321961620469083,0.26652452025586354,0.0021321961620469083,0.3795309168443497,0.014925373134328358,0.326226012793177,0.014925373134328358,0.3390191897654584,0.023454157782515993
LONG,0,80-100,4.0,10,250,21,0.28,0.008,0.264,0.008,0.36,0.032,0.308,0.048,0.272,0.128
LONG,0,80-100,4.0,20,250,21,0.28,0.008,0.264,0.008,0.364,0.02,0.312,0.028,0.284,0.08
LONG,0,80-100,4.0,30,250,21,0.284,0.004,0.264,0.008,0.368,0.016,0.312,0.024,0.304,0.048
LONG,0,80-100,4.0,60,250,21,0.284,0.004,0.264,0.008,0.368,0.012,0.32,0.012,0.308,0.036
LONG,0,80-100,4.0,120,250,21,0.284,0.004,0.268,0.004,0.368,0.012,0.32,0.012,0.328,0.016
LONG,1,80-100,1.5,10,33472,21,0.4004839866156788,0.016790152963671128,0.29272227533460804,0.03994383365200765,0.335862810707457,0.11346797323135756,0.26039674952198855,0.14931883365200765,0.19087595602294455,0.30622609942638623
LONG,1,80-100,1.5,20,33472,21,0.4059213671128107,0.004122848948374761,0.3041945506692161,0.013234942638623327,0.3673219407265774,0.04735301147227534,0.29896630019120457,0.06515893881453155,0.2514639101338432,0.1619562619502868
LONG,1,80-100,1.5,30,33472,21,0.4077437858508604,0.0008962715105162523,0.30819789674952197,0.00546725621414914,0.37771869024856597,0.026111376673040154,0.31226099426386233,0.037523900573613767,0.280682361376673,0.10166706500956023
LONG,1,80-100,1.5,60,33472,21,0.4079529158699809,0.00011950286806883365,0.3103190726577438,0.0011054015296367112,0.3876971797323136,0.007439053537284895,0.325256931166348,0.01224904397705545,0.31324689292543023,0.03725501912045889
LONG,1,80-100,1.5,120,33472,21,0.4079827915869981,8.962715105162524e-05,0.3107970841300191,0.00014937858508604207,0.3903561185468451,0.0025693116634799237,0.32908102294455066,0.005317877629063097,0.326690965583174,0.012936185468451242
LONG,1,80-100,2.0,10,15254,21,0.3996984397535073,0.008915694244132686,0.2991346532057165,0.025304838075258948,0.35000655565753247,0.08837026353743281,0.2737642585551331,0.12344303133604301,0.19837419693195227,0.2820899436213452
LONG,1,80-100,2.0,20,15254,21,0.402255146191163,0.002818932738953717,0.3077225645732267,0.007932345614265111,0.3779336567457716,0.03218827848433198,0.3077225645732267,0.049298544644027796,0.2569162186967353,0.14579782352169923
LONG,1,80-100,2.0,30,15254,21,0.40343516454700407,0.0007866789038940606,0.30975481840828634,0.0035400550675232724,0.3847515405795201,0.016323587255801755,0.318277173200472,0.026025960403828503,0.28418775403172936,0.08679690572964469
LONG,1,80-100,2.0,60,15254,21,0.4037629474236266,0.0001311131506490101,0.31113150649010096,0.0006555657532450505,0.39025829290677855,0.005113412875311394,0.32679952799265766,0.008784581093483677,0.31519601416022025,0.028254883964861675
LONG,1,80-100,2.0,120,15254,21,0.4038285039989511,6.555657532450504e-05,0.31145928936672346,6.555657532450504e-05,0.39196276386521567,0.0017700275337616362,0.3297495738822604,0.0036711682181722826,0.3256195096368166,0.008325685066212141
LONG,1,80-100,2.5,10,5799,21,0.3735126745990688,0.006725297465080186,0.28832557337471976,0.01724435247456458,0.3505776858078979,0.06708053112605622,0.2771167442662528,0.09984480082772892,0.209346439041214,0.24452491808932575
LONG,1,80-100,2.5,20,5799,21,0.3750646663217796,0.0020693222969477496,0.29349887911708916,0.00534574926711502,0.3731677875495775,0.02465942403862735,0.30625969994826696,0.041558889463700635,0.2609070529401621,0.13053974823245387
LONG,1,80-100,2.5,30,5799,21,0.37592688394550783,0.000862217623728229,0.2955682014140369,0.002414209346439041,0.3781686497672012,0.011381272633212623,0.3166063114330057,0.01965856182100362,0.2902224521469219,0.07501293326435593
LONG,1,80-100,2.5,60,5799,21,0.3760993274702535,0.0003448870494912916,0.2966028625625108,0.0006897740989825832,0.3836868425590619,0.00327642697016727,0.32350405242283153,0.00655285394033454,0.3204000689774099,0.02172788411795137
LONG,1,80-100,2.5,120,5799,21,0.37627177099499914,0.0001724435247456458,0.2966028625625108,0.0001724435247456458,0.38420417313329885,0.0012071046732195206,0.3257458182445249,0.002414209346439041,0.3283324711157096,0.006035523366097603
LONG,1,80-100,3.0,10,2047,21,0.35564240351734244,0.004396678065461651,0.29653150952613583,0.01074743527112848,0.3688324377137274,0.04787493893502687,0.29115779189057156,0.08304836345872008,0.22765021983390327,0.20468978993649242
LONG,1,80-100,3.0,20,2047,21,0.35661944308744503,0.002442598925256473,0.30092818759159745,0.0039081582804103565,0.3878847093307279,0.01612115290669272,0.3190034196384954,0.03321934538348803,0.2740595994137763,0.10893991206643869
LONG,1,80-100,3.0,30,2047,21,0.3575964826575476,0.0014655593551538837,0.30190522716170004,0.002442598925256473,0.3903273082559844,0.008304836345872008,0.32730825598436736,0.01612115290669272,0.2940889106008793,0.06546165119687347
LONG,1,80-100,3.0,60,2047,21,0.35808500244259894,0.0,0.30288226673180263,0.0,0.394723986321446,0.002442598925256473,0.3341475329750855,0.004396678065461651,0.31998045920859797,0.019540791402051783
LONG,1,80-100,3.0,120,2047,21,0.35808500244259894,0.0,0.30288226673180263,0.0,0.39521250610649733,0.0004885197850512946,0.33512457254518807,0.0019540791402051783,0.3268197361993161,0.004396678065461651
LONG,1,80-100,3.5,10,775,21,0.3058064516129032,0.003870967741935484,0.2658064516129032,0.01032258064516129,0.3690322580645161,0.03741935483870968,0.29806451612903223,0.05161290322580645,0.25161290322580643,0.1367741935483871
LONG,1,80-100,3.5,20,775,21,0.3058064516129032,0.0025806451612903226,0.2696774193548387,0.0025806451612903226,0.38193548387096776,0.011612903225806452,0.31225806451612903,0.02064516129032258,0.27741935483870966,0.0696774193548387
LONG,1,80-100,3.5,30,775,21,0.30709677419354836,0.0012903225806451613,0.2696774193548387,0.0025806451612903226,0.3858064516129032,0.007741935483870968,0.3161290322580645,0.016774193548387096,0.28903225806451616,0.05032258064516129
LONG,1,80-100,3.5,60,775,21,0.30838709677419357,0.0,0.2709677419354839,0.0,0.39225806451612905,0.0012903225806451613,0.32645161290322583,0.003870967741935484,0.3109677419354839,0.015483870967741935
LONG,1,80-100,3.5,120,775,21,0.30838709677419357,0.0,0.2709677419354839,0.0,0.39225806451612905,0.0012903225806451613,0.327741935483871,0.0025806451612903226,0.3174193548387097,0.005161290322580645
LONG,1,80-100,4.0,10,351,21,0.2706552706552707,0.002849002849002849,0.2564102564102564,0.002849002849002849,0.37037037037037035,0.019943019943019943,0.3162393162393162,0.03133903133903134,0.2792022792022792,0.08262108262108261
LONG,1,80-100,4.0,20,351,21,0.2706552706552707,0.002849002849002849,0.2564102564102564,0.002849002849002849,0.3789173789173789,0.005698005698005698,0.32193732193732194,0.014245014245014245,0.301994301994302,0.042735042735042736
LONG,1,80-100,4.0,30,351,21,0.27350427350427353,0.0,0.2564102564102564,0.002849002849002849,0.3789173789173789,0.005698005698005698,0.3247863247863248,0.011396011396011397,0.31339031339031337,0.02849002849002849
LONG,1,80-100,4.0,60,351,21,0.27350427350427353,0.0,0.2564102564102564,0.0,0.3817663817663818,0.002849002849002849,0.32763532763532766,0.002849002849002849,0.3190883190883191,0.008547008547008548
LONG,1,80-100,4.0,120,351,21,0.27350427350427353,0.0,0.2564102564102564,0.0,0.3817663817663818,0.002849002849002849,0.32763532763532766,0.002849002849002849,0.32193732193732194,0.002849002849002849
LONG,2,80-100,1.5,10,28057,21,0.39466086894536123,0.02772926542395837,0.2662080764158677,0.07787717860070571,0.269700965890865,0.24275581851231423,0.1911822361620986,0.29882025875895496,0.13632961471290586,0.4595288163381687
LONG,2,80-100,1.5,20,28057,21,0.40528210428770006,0.009445058274227466,0.289802901236768,0.029689560537477278,0.32872366967245253,0.12314217485832413,0.24706846776205582,0.17093773389884878,0.183091563602666,0.32266457568521223
LONG,2,80-100,1.5,30,28057,21,0.4084898599280037,0.004562141355098549,0.29735894785614997,0.015254660156110775,0.354243147877535,0.07281605303489325,0.27796984709698114,0.10820829026624372,0.21452756887764193,0.24425277114445593
LONG,2,80-100,1.5,60,28057,21,0.41020066293616564,0.0015682360908151264,0.3034180418433902,0.004811633460455501,0.3840039918736857,0.022383006023452258,0.3170688241793492,0.03877820151833767,0.2749046583740243,0.1220729229782229
LONG,2,80-100,1.5,120,28057,21,0.4105927219588694,0.00014256691734682966,0.3052357700395623,0.0007484763160708558,0.3935203336065866,0.004918558648465623,0.3343194211783156,0.008304522935452828,0.32280714260255905,0.036354563923441566
LONG,2,80-100,2.0,10,13728,21,0.3926282051282051,0.02505827505827506,0.266025641025641,0.07233391608391608,0.27498543123543123,0.23259032634032634,0.19405594405594406,0.2905011655011655,0.1358537296037296,0.4511217948717949
LONG,2,80-100,2.0,20,13728,21,0.40071386946386944,0.009324009324009324,0.2877331002331002,0.027826340326340328,0.33180361305361306,0.11727855477855478,0.24861596736596736,0.1655011655011655,0.18407634032634032,0.3159965034965035
LONG,2,80-100,2.0,30,13728,21,0.4034819347319347,0.004443473193473193,0.295236013986014,0.013694638694638694,0.35613344988344986,0.06891025641025642,0.2784819347319347,0.10416666666666667,0.21612762237762237,0.23710664335664336
LONG,2,80-100,2.0,60,13728,21,0.4050844988344988,0.001893939393939394,0.3000437062937063,0.005171911421911422,0.38286713286713286,0.022727272727272728,0.3151223776223776,0.038461538461538464,0.273455710955711,0.12135780885780886
LONG,2,80-100,2.0,120,13728,21,0.40544871794871795,0.0001456876456876457,0.301791958041958,0.0005827505827505828,0.3925553613053613,0.004953379953379953,0.3321678321678322,0.008377039627039628,0.31971153846153844,0.035912004662004664
LONG,2,80-100,2.5,10,5433,21,0.38137309037364253,0.023927848334253637,0.26559911651021534,0.06350082827167311,0.28326891220320266,0.20725197864899686,0.2048591938155715,0.2600773053561568,0.14927296153138228,0.41560831952880545
LONG,2,80-100,2.5,20,5433,21,0.3887355052457206,0.010307380820909259,0.2838210933186085,0.02613657279587705,0.3331492729615314,0.1056506534143199,0.2538192527148905,0.14835265967237254,0.195472114853672,0.28971102521627096
LONG,2,80-100,2.5,30,5433,21,0.39112829007914596,0.004785569666850727,0.29118350819068656,0.01233204491073072,0.3563408798085772,0.06221240566905945,0.2823486103441929,0.09313454813178723,0.22749861954721148,0.21535063500828272
LONG,2,80-100,2.5,60,5433,21,0.39333701454076936,0.0020246640898214613,0.2950487759985275,0.006073992269464384,0.38063684888643473,0.02263942573163998,0.31345481317872265,0.03754831584759801,0.2788514632799558,0.11080434382477453
