side,window,hmm_state,zscore_threshold,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,mfe_ge_20,mfe_ge_50,mfe_ge_100,mae_ge_10,mae_ge_20,mae_ge_35
LONG,1,0,1.5,770,18.671753246753248,12.125,16.444805194805195,12.25,0.3181818181818182,0.07012987012987013,0.00909090909090909,0.5701298701298702,0.3142857142857143,0.11818181818181818
LONG,2,0,1.5,2342,7.023484201537148,5.5,7.991887275832622,5.125,0.042271562766865924,0.002134927412467976,0.0,0.2702818104184458,0.09649871904355252,0.015798462852263023
LONG,3,0,1.5,4018,38.17546042807367,24.5,41.66189646590343,27.75,0.586112493777999,0.23120955699352913,0.07267297162767546,0.7914385266301642,0.6149825783972126,0.41189646590343454
LONG,4,0,1.5,1972,24.25811359026369,19.5,24.31186612576065,15.75,0.4908722109533469,0.08468559837728194,0.016734279918864097,0.6526369168356998,0.40466531440162273,0.21348884381338742
LONG,5,0,1.5,2124,25.29602165725047,20.25,27.49741054613936,21.0,0.504708097928437,0.10969868173258004,0.008945386064030132,0.7410546139359698,0.5202448210922788,0.288135593220339
LONG,6,0,1.5,2122,26.30325164938737,20.75,30.52509425070688,20.5,0.5226201696512723,0.1286522148916117,0.020263901979264844,0.7544769085768144,0.5122525918944392,0.31385485391140433
LONG,7,0,1.5,1490,24.151006711409394,18.25,21.76006711409396,16.0,0.4570469798657718,0.09865771812080537,0.019463087248322148,0.6671140939597315,0.4174496644295302,0.20268456375838925
LONG,8,0,1.5,2078,28.67240134744947,23.0,30.46655437921078,19.75,0.5644850818094321,0.1554379210779596,0.016361886429258902,0.7064485081809432,0.49903753609239654,0.2959576515880655
LONG,9,0,1.5,1507,32.456536164565364,24.25,38.678666224286665,31.25,0.568679495686795,0.18513603185136032,0.0364963503649635,0.8467153284671532,0.6794956867949569,0.45321831453218314
LONG,10,0,1.5,3109,42.510051463493085,32.0,42.1231103248633,32.0,0.6522997748472178,0.3206818912833709,0.08169829527179158,0.8092634287552267,0.651013187520103,0.4660662592473464
LONG,11,0,1.5,2191,25.01700136923779,20.25,27.506503879507076,19.0,0.505705157462346,0.11455956184390689,0.010497489730716568,0.717480602464628,0.478776814240073,0.25604746691008673
LONG,12,0,1.5,2474,24.227465642683914,18.75,25.102465642683914,18.75,0.47413096200485044,0.10064672594987874,0.014551333872271624,0.7174616006467259,0.4725141471301536,0.23080032336297493
LONG,13,0,1.5,2545,26.48467583497053,21.25,24.95844793713163,18.5,0.5296660117878192,0.13713163064833006,0.009037328094302554,0.7021611001964636,0.4801571709233792,0.2542239685658153
LONG,14,0,1.5,1322,34.537632375189105,23.875,38.52968986384266,28.5,0.5620272314674736,0.22768532526475038,0.046142208774583963,0.7783661119515886,0.6263237518910741,0.4016641452344932
LONG,15,0,1.5,3313,31.47200422577724,24.25,32.14797766374887,23.0,0.5759130697253245,0.17989737398128586,0.027165710836100213,0.7555086024750981,0.5517657712043466,0.3262903712647148
LONG,16,0,1.5,2078,35.47449470644851,25.375,38.401227141482195,27.75,0.5986525505293552,0.20933589990375362,0.04090471607314726,0.7829643888354186,0.615014436958614,0.4128970163618864
LONG,17,0,1.5,2376,36.15004208754209,25.0,34.81828703703704,24.75,0.5925925925925926,0.20875420875420875,0.04377104377104377,0.7988215488215489,0.5921717171717171,0.35648148148148145
LONG,18,0,1.5,1886,41.604718981972425,29.75,45.754374337221634,29.75,0.6474019088016967,0.3022269353128314,0.07211028632025451,0.8213149522799575,0.6447507953340403,0.4427359490986214
LONG,19,0,1.5,2113,35.77318977756744,26.25,41.14943208707998,26.25,0.6142924751538098,0.21344060577378135,0.03786086133459536,0.7851396119261713,0.5929957406530999,0.39375295787979175
LONG,20,0,1.5,1437,25.78757828810021,20.5,26.000695894224076,15.25,0.5093945720250522,0.08698677800974251,0.020180932498260265,0.6409185803757829,0.41684064022268613,0.22477383437717466
LONG,21,0,1.5,2440,50.58483606557377,35.5,43.82592213114754,31.25,0.7184426229508196,0.3598360655737705,0.11147540983606558,0.8229508196721311,0.6565573770491804,0.4540983606557377
LONG,22,0,1.5,2370,50.89715189873418,36.25,54.504957805907175,39.5,0.7025316455696202,0.3594936708860759,0.09620253164556962,0.8670886075949367,0.7244725738396625,0.549789029535865
LONG,1,0,2.0,158,19.204113924050635,13.25,17.4873417721519,11.125,0.31645569620253167,0.0759493670886076,0.006329113924050633,0.5506329113924051,0.31645569620253167,0.17088607594936708
LONG,2,0,2.0,1041,7.36599423631124,5.75,8.567963496637848,5.75,0.04226705091258405,0.002881844380403458,0.0,0.2862632084534102,0.1143131604226705,0.020172910662824207
LONG,3,0,2.0,1700,36.76558823529412,23.5,39.587941176470586,26.625,0.5658823529411765,0.2164705882352941,0.06588235294117648,0.7894117647058824,0.5982352941176471,0.40176470588235297
LONG,4,0,2.0,757,25.33982826948481,19.75,24.57694848084544,14.75,0.49933949801849403,0.10435931307793923,0.017173051519154558,0.6354029062087186,0.39365918097754293,0.19947159841479525
LONG,5,0,2.0,710,27.992605633802818,23.25,26.475352112676056,19.75,0.5746478873239437,0.14366197183098592,0.008450704225352112,0.7352112676056338,0.49859154929577465,0.2887323943661972
LONG,6,0,2.0,712,28.07057584269663,21.0,33.53932584269663,20.25,0.5365168539325843,0.15168539325842698,0.028089887640449437,0.7345505617977528,0.5070224719101124,0.3342696629213483
LONG,7,0,2.0,459,26.825163398692812,19.5,22.5239651416122,16.25,0.49019607843137253,0.13725490196078433,0.032679738562091505,0.6710239651416122,0.4008714596949891,0.19825708061002179
LONG,8,0,2.0,707,31.531471004243283,25.5,29.967468175388966,17.75,0.5926449787835927,0.17963224893917965,0.02263083451202263,0.6803394625176803,0.4582743988684583,0.2743988684582744
LONG,9,0,2.0,510,32.04754901960784,23.25,37.50637254901961,31.875,0.5627450980392157,0.19607843137254902,0.03725490196078431,0.8470588235294118,0.6843137254901961,0.4549019607843137
LONG,10,0,2.0,1383,43.79248011569053,31.0,45.149132321041215,33.25,0.64352856109906,0.32465654374548086,0.09689081706435286,0.8083875632682574,0.6637744034707158,0.48083875632682577
LONG,11,0,2.0,785,26.013057324840766,21.5,27.761783439490447,18.25,0.5235668789808917,0.12229299363057325,0.015286624203821656,0.7044585987261146,0.4624203821656051,0.2624203821656051
LONG,12,0,2.0,830,23.960240963855423,18.75,26.577710843373495,20.5,0.4734939759036145,0.10120481927710843,0.01927710843373494,0.7602409638554217,0.5156626506024097,0.24819277108433735
LONG,13,0,2.0,777,27.985199485199484,22.25,24.44047619047619,18.5,0.5598455598455598,0.16602316602316602,0.009009009009009009,0.703989703989704,0.4697554697554698,0.23938223938223938
