side,hmm_state,zscore,volatility_regime,observations,sl_points,tp_points,horizon,wins,losses,timeouts,win_rate,loss_rate,timeout_rate,expectancy_R,profit_factor,median_win_time,median_loss_time,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,window_count
LONG,0,1.5,<20,48077,5.0,20.0,10,7460,40617,5501,0.15516775173159722,0.8448322482684028,0.11442061692701291,-0.22416124134201387,0.7346677499569146,3.0,0.0,9.524013561578302,6.0,8.352549035921543,6.75,1.1402523374144442,22
LONG,0,1.5,<20,48077,5.0,20.0,20,8809,39268,2539,0.18322690683694906,0.8167730931630509,0.0528111155022152,-0.08386546581525467,0.8973209738209229,3.0,0.0,10.177002516795973,6.25,8.788583938265699,7.0,1.1579797824408398,22
LONG,0,1.5,<20,48077,5.0,20.0,30,9206,38871,1700,0.1914844936248102,0.8085155063751898,0.035359943424090524,-0.042577531875948926,0.9473386329139976,3.0,0.0,10.420096927844915,6.25,8.923518522370363,7.0,1.167711693736364,22
LONG,0,1.5,<20,48077,5.0,20.0,60,9563,38514,739,0.1989100817438692,0.8010899182561307,0.01537117540611935,-0.00544959128065392,0.9931972789115646,4.0,0.0,10.679066913492939,6.5,9.208498866401813,7.0,1.1596968266409469,22
LONG,0,1.5,<20,48077,5.0,20.0,120,9798,38279,286,0.20379807392308172,0.7962019260769183,0.0059487904819352285,0.018990369615408564,1.023851197784686,4.0,0.0,10.763499178401315,6.5,9.242366412213741,7.0,1.164582607780774,22
LONG,0,1.5,<20,48077,5.0,25.0,10,5292,42785,6939,0.11007342388252178,0.8899265761174782,0.14433096907044948,-0.3395594567048692,0.6184410424214094,3.0,1.0,9.990790814734696,6.0,8.504373193002891,6.75,1.1747827368341242,22
LONG,0,1.5,<20,48077,5.0,25.0,20,6839,41238,3343,0.14225097239844417,0.8577490276015558,0.069534288745138,-0.14649416560933493,0.8292109219651778,5.0,0.0,10.819633088587059,6.25,9.020675166919734,7.0,1.1994260837885387,22
LONG,0,1.5,<20,48077,5.0,25.0,30,7412,40665,2168,0.15416935332903467,0.8458306466709653,0.04509432784907544,-0.07498388002579193,0.911348825771548,5.0,0.0,11.200277679555713,6.25,9.215518855169831,7.25,1.2153713595054334,22
LONG,0,1.5,<20,48077,5.0,25.0,60,7901,40176,908,0.1643405370551407,0.8356594629448593,0.01888636978180835,-0.013956777669155707,0.9832984866587017,6.0,0.0,11.576065478295234,6.5,9.646041766333173,7.25,1.2000845278006438,22
LONG,0,1.5,<20,48077,5.0,25.0,120,8171,39906,358,0.16995652806955508,0.8300434719304449,0.007446388085779063,0.019739168417330477,1.023780885079938,6.0,0.0,11.71882604987832,6.5,9.723620442207292,7.25,1.205191638189665,22
LONG,0,1.5,<20,48077,5.0,35.0,10,2719,45358,8949,0.05655510951182478,0.9434448904881753,0.18613890217775653,-0.5475591239054018,0.41961726707526786,4.0,1.0,10.55128231794829,6.0,8.628127794995528,7.0,1.2228936066603264,22
LONG,0,1.5,<20,48077,5.0,35.0,20,4219,43858,4833,0.08775505959190465,0.9122449404080953,0.10052623915801735,-0.2979595232647628,0.6733777190022345,7.0,1.0,11.707822867483411,6.25,9.2415968134451,7.25,1.2668614638598314,22
LONG,0,1.5,<20,48077,5.0,35.0,30,4943,43134,3246,0.10281423549722321,0.8971857645027768,0.06751669197329284,-0.1774861160222143,0.8021746186303148,8.0,1.0,12.239641616573413,6.25,9.481841629053394,7.25,1.2908506696705226,22
LONG,0,1.5,<20,48077,5.0,35.0,60,5771,42306,1337,0.12003660794142729,0.8799633920585727,0.027809555504711193,-0.039707136468581594,0.9548763768732568,10.0,1.0,12.827401876156998,6.5,10.0158703746074,7.5,1.2807076565884372,22
LONG,0,1.5,<20,48077,5.0,35.0,120,6128,41949,539,0.1274621960604863,0.8725378039395137,0.0112111820621087,0.019697568483890482,1.0225750315859734,11.0,1.0,13.086642261372381,6.5,10.165786134742184,7.5,1.287322208820427,22
LONG,0,1.5,<20,48077,5.0,50.0,10,1142,46935,10315,0.023753561994300808,0.9762464380056992,0.21455165671734924,-0.7387108180626911,0.243315223180995,5.0,1.0,10.89468456850469,6.0,8.674568920689726,7.0,1.2559338300396419,22
LONG,0,1.5,<20,48077,5.0,50.0,20,2194,45883,6396,0.04563512698379683,0.9543648730162032,0.13303658714146058,-0.49801360317823495,0.4781727437177168,9.0,1.0,12.377134596584645,6.25,9.343568650290159,7.25,1.3246688775814024,22
LONG,0,1.5,<20,48077,5.0,50.0,30,2878,45199,4626,0.059862304220313245,0.9401376957796868,0.09622064604696633,-0.3415146535765543,0.6367397508794442,12.0,1.0,13.135485783222746,6.25,9.632168188530898,7.5,1.3637101767869126,22
LONG,0,1.5,<20,48077,5.0,50.0,60,3886,44191,2180,0.08082867067412693,0.9191713293258731,0.04534392744971608,-0.11088462258460385,0.8793645764974769,17.0,1.0,14.055951910476944,6.5,10.268558770305967,7.5,1.368833954685359,22
LONG,0,1.5,<20,48077,5.0,50.0,120,4508,43569,821,0.09376624997400004,0.9062337500259999,0.017076772677163718,0.03142874971400056,1.0346806215428401,20.0,1.0,14.517742371612206,6.5,10.498232002828795,7.75,1.3828749800633418,22
LONG,0,1.5,<20,48077,5.0,75.0,10,356,47721,11056,0.007404788152338956,0.9925952118476611,0.2299644320569087,-0.8815233895625767,0.11190042119821463,5.0,1.0,11.063439898496162,6.0,8.68752729995632,7.0,1.273485482865969,22
LONG,0,1.5,<20,48077,5.0,75.0,20,846,47231,7586,0.017596771845165046,0.9824032281548349,0.15778854753832394,-0.7184516504773593,0.2686794689928225,11.0,1.0,12.825633878985794,6.25,9.383769785968342,7.25,1.3667890593569454,22
LONG,0,1.5,<20,48077,5.0,75.0,30,1212,46865,6020,0.025209559664704537,0.9747904403352955,0.12521579965472054,-0.5966470453647275,0.3879227568547957,14.0,1.0,13.793643530170351,6.25,9.693018491170415,7.5,1.423049336255294,22
LONG,0,1.5,<20,48077,5.0,75.0,60,2012,46065,3500,0.041849533040747136,0.9581504669592529,0.07279988352018636,-0.3304074713480458,0.6551611852816672,24.0,1.0,15.170736526821557,6.5,10.399400960958463,7.75,1.458808693286824,22
LONG,0,1.5,<20,48077,5.0,75.0,120,2819,45258,1586,0.0586351061838301,0.94136489381617,0.032988747218004454,-0.06183830105871835,0.9343099562508286,36.0,1.0,16.112600619839007,6.5,10.850162239740417,7.75,1.485010109878734,22
LONG,0,1.5,<20,48077,5.0,100.0,10,188,47889,11215,0.00391039374337001,0.99608960625663,0.23327162676539717,-0.9178817313892298,0.07851489903735723,5.0,1.0,11.110785822742683,6.0,8.69104249433201,7.0,1.27841807585094,22
LONG,0,1.5,<20,48077,5.0,100.0,20,420,47657,7978,0.008735986022422364,0.9912640139775777,0.16594213449258483,-0.8165442935291304,0.17625952116163418,10.0,1.0,12.976074838280258,6.25,9.396483765625975,7.25,1.3809500619528627,22
LONG,0,1.5,<20,48077,5.0,100.0,30,614,47463,6547,0.012771179566112694,0.9872288204338873,0.13617738211618863,-0.7318052291116334,0.25872785116827846,14.0,1.0,14.04305593111051,6.25,9.71880004991992,7.5,1.4449372205395068,22
LONG,0,1.5,<20,48077,5.0,100.0,60,1135,46942,4179,0.023607962227260436,0.9763920377727395,0.08692306092310252,-0.5042327932275308,0.48357547611946655,27.0,1.0,15.674740520415167,6.5,10.458420866526614,7.75,1.4987674258342372,22
