side,hmm_state,vol_bucket,zscore,observations,path_relationships,paths_wr_50,paths_wr_55,paths_wr_60,paths_positive_expectancy,best_wr,median_wr,mean_wr,best_expectancy,median_expectancy,best_tp,best_sl,best_rr,best_horizon,best_path_wr,best_path_expectancy,passes_wr_50,passes_wr_55,passes_positive_expectancy,candidate
LONG,0,0-20,1.5,11227,25,0,0,0,0,0.4537276209138683,0.3042665004008194,0.31712122561681655,-0.038567738487574554,-0.12407588848312101,5.0,5.0,1.0,120,0.4537276209138683,-0.09254475817226337,False,False,False,False
LONG,0,0-20,2.0,4136,25,0,0,0,0,0.4625241779497098,0.3056092843326886,0.32191489361702125,-0.026233075435203257,-0.12379110251450687,5.0,5.0,1.0,120,0.4625241779497098,-0.07495164410058042,False,False,False,False
LONG,0,0-20,2.5,1085,25,0,0,0,0,0.4608294930875576,0.2995391705069124,0.31576036866359447,-0.026728110599078314,-0.16497695852534566,5.0,5.0,1.0,120,0.4608294930875576,-0.07834101382488479,False,False,False,False
LONG,0,0-20,3.0,253,25,0,0,0,0,0.4189723320158103,0.2885375494071146,0.29881422924901185,-0.05138339920948631,-0.2055335968379446,5.0,5.0,1.0,60,0.4189723320158103,-0.1620553359683794,False,False,False,False
LONG,0,20-40,1.5,8519,25,0,0,0,3,0.4548655945533513,0.329850921469656,0.33871581171499004,0.01889893179950708,-0.08616034745862178,5.0,5.0,1.0,120,0.4548655945533513,-0.09026881089329741,False,False,True,False
LONG,0,20-40,2.0,3191,25,0,0,0,5,0.4481353807583829,0.3290504544030084,0.34267627702914444,0.06612347226574722,-0.07959887182701342,5.0,5.0,1.0,60,0.4481353807583829,-0.10372923848323423,False,False,True,False
LONG,0,20-40,2.5,877,25,0,0,0,5,0.4458380843785632,0.338654503990878,0.34809578107183575,0.08095781071835806,-0.05644241733181299,5.0,5.0,1.0,60,0.4458380843785632,-0.10832383124287359,False,False,True,False
LONG,0,20-40,3.0,236,25,0,0,0,8,0.4152542372881356,0.3559322033898305,0.34694915254237285,0.10593220338983056,-0.06779661016949146,5.0,5.0,1.0,60,0.4152542372881356,-0.1694915254237288,False,False,True,False
LONG,0,40-60,1.5,8453,25,0,0,0,1,0.4539216846090145,0.3314799479474742,0.3410812729208565,0.004672897196261516,-0.06305453685082207,5.0,5.0,1.0,120,0.4539216846090145,-0.092156630781971,False,False,True,False
LONG,0,40-60,2.0,3057,25,0,0,0,8,0.4533856722276742,0.3395485770363101,0.35350997710173365,0.05659142950605145,-0.042198233562316,5.0,5.0,1.0,60,0.4533856722276742,-0.0932286555446517,False,False,True,False
LONG,0,40-60,2.5,792,25,0,0,0,5,0.4154040404040404,0.3358585858585858,0.34560606060606053,0.045454545454545525,-0.053030303030303316,5.0,5.0,1.0,30,0.4154040404040404,-0.16919191919191917,False,False,True,False
LONG,0,40-60,3.0,199,25,0,0,0,4,0.4070351758793969,0.3366834170854271,0.335678391959799,0.0703517587939696,-0.1105527638190954,15.0,10.0,1.5,120,0.4070351758793969,0.01758793969849226,False,False,True,False
LONG,0,60-80,1.5,9666,25,0,0,0,3,0.43596110076557,0.3290916614938961,0.34039726877715704,0.009466170080695169,-0.057003931305607214,5.0,5.0,1.0,120,0.43596110076557,-0.12807779846886008,False,False,True,False
LONG,0,60-80,2.0,3715,25,0,0,0,3,0.4304172274562584,0.3332436069986541,0.34359084791386274,0.019919246298788607,-0.05114401076716024,5.0,5.0,1.0,120,0.4304172274562584,-0.1391655450874833,False,False,True,False
LONG,0,60-80,2.5,1112,25,0,0,0,0,0.3893884892086331,0.3156474820143884,0.3206474820143885,-0.004496402877697814,-0.15287769784172656,5.0,5.0,1.0,60,0.3893884892086331,-0.22122302158273377,False,False,False,False
LONG,0,60-80,3.0,312,25,0,0,0,0,0.3301282051282051,0.2724358974358974,0.26666666666666666,-0.09615384615384637,-0.25,15.0,10.0,1.5,30,0.3301282051282051,-0.17467948717948723,False,False,False,False
LONG,0,60-80,3.5,136,25,0,0,0,0,0.3602941176470588,0.2941176470588235,0.28235294117647053,-0.07352941176470584,-0.13602941176470607,15.0,10.0,1.5,30,0.3602941176470588,-0.09926470588235292,False,False,False,False
LONG,0,80-100,1.5,9442,25,0,0,0,4,0.4475746663842406,0.3377462402033467,0.34704088116924375,0.05327261173480202,-0.052372378733319236,5.0,5.0,1.0,60,0.4475746663842406,-0.10485066723151881,False,False,True,False
LONG,0,80-100,2.0,3477,25,0,0,0,3,0.4469370146678171,0.3304572907679033,0.34506758700028756,0.05780845556514225,-0.06902502157031953,5.0,5.0,1.0,60,0.4469370146678171,-0.1061259706643658,False,False,True,False
LONG,0,80-100,2.5,922,25,0,0,0,6,0.4511930585683297,0.3568329718004338,0.36173535791757044,0.14533622559652903,-0.02386117136659449,5.0,5.0,1.0,60,0.4511930585683297,-0.0976138828633406,False,False,True,False
LONG,0,80-100,3.0,256,25,0,0,0,2,0.37109375,0.3203125,0.3096875,0.078125,-0.2265625,5.0,5.0,1.0,60,0.37109375,-0.2578125,False,False,True,False
LONG,0,80-100,3.5,116,25,0,0,0,0,0.3620689655172414,0.3103448275862069,0.30137931034482757,-0.017241379310344862,-0.19827586206896564,15.0,10.0,1.5,60,0.3620689655172414,-0.09482758620689657,False,False,False,False
LONG,1,0-20,1.5,7283,25,0,0,0,0,0.4098585747631471,0.3038583001510366,0.3159577097349993,-0.051558423726486446,-0.156803515035013,5.0,5.0,1.0,60,0.4098585747631471,-0.1802828504737058,False,False,False,False
LONG,1,0-20,2.0,3468,25,0,0,0,0,0.3930219146482122,0.2949826989619377,0.31241061130334485,-0.07179930795847755,-0.1522491349480969,5.0,5.0,1.0,60,0.3930219146482122,-0.2139561707035757,False,False,False,False
LONG,1,0-20,2.5,1369,25,0,0,0,0,0.3805697589481373,0.3024105186267348,0.3131044558071585,-0.06428049671292912,-0.14755295836376925,5.0,5.0,1.0,30,0.3805697589481373,-0.2388604821037253,False,False,False,False
LONG,1,0-20,3.0,452,25,0,0,0,0,0.3982300884955752,0.3230088495575221,0.32876106194690263,-0.004424778761062065,-0.09070796460176977,15.0,10.0,1.5,60,0.3982300884955752,-0.004424778761062065,False,False,False,False
LONG,1,0-20,3.5,172,25,0,0,0,2,0.4011627906976744,0.3197674418604651,0.3218604651162791,0.0029069767441860517,-0.12790697674418616,15.0,10.0,1.5,60,0.4011627906976744,0.0029069767441860517,False,False,True,False
LONG,1,20-40,1.5,5554,25,0,0,0,6,0.4186172128195894,0.3433561397191214,0.34535830032409076,0.06301764494058315,-0.053384947785380055,5.0,5.0,1.0,60,0.4186172128195894,-0.16276557436082117,False,False,True,False
