side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,breakeven_wr,wr_edge_vs_breakeven,wr_ge_50,positive_expectancy,sufficient_sample,candidate,research_score
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,60,0.4769230769230769,0.19230769230769218,0.4,0.07692307692307687,False,True,True,False,0.31730769230769224
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,120,0.4769230769230769,0.19230769230769218,0.4,0.07692307692307687,False,True,True,False,0.31730769230769224
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,30,0.4615384615384615,0.15384615384615374,0.4,0.061538461538461486,False,True,True,False,0.29384615384615376
SHORT,0,20-40,3.0,175,20.0,10.0,2.0,60,0.4057142857142857,0.21714285714285708,0.3333333333333333,0.07238095238095238,False,True,True,False,0.28971428571428565
SHORT,0,20-40,3.0,175,20.0,10.0,2.0,120,0.4057142857142857,0.21714285714285708,0.3333333333333333,0.07238095238095238,False,True,True,False,0.28971428571428565
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,10,0.4538461538461538,0.13461538461538447,0.4,0.053846153846153766,False,True,True,False,0.28211538461538455
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,20,0.4538461538461538,0.13461538461538447,0.4,0.053846153846153766,False,True,True,False,0.28211538461538455
SHORT,0,20-40,3.0,175,20.0,10.0,2.0,30,0.4,0.20000000000000007,0.3333333333333333,0.06666666666666671,False,True,True,False,0.28
LONG,2,60-80,3.5,101,20.0,10.0,2.0,120,0.396039603960396,0.18811881188118795,0.3333333333333333,0.06270627062706269,False,True,True,False,0.2732673267326732
SHORT,0,20-40,3.0,175,30.0,15.0,2.0,120,0.3942857142857143,0.18285714285714294,0.3333333333333333,0.06095238095238098,False,True,True,False,0.27028571428571435
SHORT,0,20-40,3.0,175,15.0,10.0,1.5,120,0.4457142857142857,0.11428571428571421,0.4,0.04571428571428565,False,True,True,False,0.26971428571428563
LONG,2,60-80,3.5,101,15.0,10.0,1.5,120,0.4455445544554455,0.11386138613861374,0.4,0.045544554455445474,False,True,True,False,0.26945544554455436
SHORT,1,20-40,3.5,130,20.0,10.0,2.0,120,0.3923076923076923,0.17692307692307685,0.3333333333333333,0.05897435897435899,False,True,True,False,0.2669230769230769
SHORT,0,20-40,3.0,175,15.0,10.0,1.5,60,0.44,0.09999999999999998,0.4,0.03999999999999998,False,True,True,False,0.261
LONG,1,20-40,3.0,359,15.0,10.0,1.5,120,0.4373259052924791,0.0933147632311978,0.4,0.03732590529247909,False,True,True,False,0.2569220055710306
LONG,2,60-80,3.5,101,20.0,10.0,2.0,60,0.3861386138613861,0.15841584158415822,0.3333333333333333,0.05280528052805278,False,True,True,False,0.25643564356435633
LONG,2,60-80,3.5,101,15.0,10.0,1.5,20,0.4356435643564356,0.08910891089108897,0.4,0.035643564356435564,False,True,True,False,0.25435643564356425
LONG,2,60-80,3.5,101,15.0,10.0,1.5,30,0.4356435643564356,0.08910891089108897,0.4,0.035643564356435564,False,True,True,False,0.25435643564356425
LONG,2,60-80,3.5,101,15.0,10.0,1.5,60,0.4356435643564356,0.08910891089108897,0.4,0.035643564356435564,False,True,True,False,0.25435643564356425
SHORT,1,20-40,3.5,130,30.0,15.0,2.0,30,0.3846153846153846,0.15384615384615374,0.3333333333333333,0.051282051282051266,False,True,True,False,0.2538461538461538
SHORT,1,20-40,3.5,130,30.0,15.0,2.0,60,0.3846153846153846,0.15384615384615374,0.3333333333333333,0.051282051282051266,False,True,True,False,0.2538461538461538
SHORT,1,20-40,3.5,130,30.0,15.0,2.0,120,0.3846153846153846,0.15384615384615374,0.3333333333333333,0.051282051282051266,False,True,True,False,0.2538461538461538
LONG,1,20-40,3.0,359,30.0,15.0,2.0,120,0.3844011142061281,0.1532033426183843,0.3333333333333333,0.05106778087279479,False,True,True,False,0.2534818941504178
LONG,1,20-40,3.0,359,15.0,10.0,1.5,60,0.4345403899721448,0.08635097493036192,0.4,0.03454038997214476,False,True,True,False,0.2526740947075208
SHORT,0,20-40,3.0,175,15.0,10.0,1.5,30,0.4342857142857143,0.08571428571428574,0.4,0.03428571428571425,False,True,True,False,0.2522857142857143
LONG,0,80-100,2.5,922,30.0,15.0,2.0,120,0.3817787418655097,0.14533622559652903,0.3333333333333333,0.04844540853217638,False,True,True,False,0.24902386117136646
