side,hmm_state,vol_bucket,zscore,observations,wins,losses,unresolved,win_rate,loss_rate,tp,sl,rr,horizon,breakeven_win_rate,wr_edge_vs_breakeven,expectancy_r,wr_ge_50,positive_expectancy,candidate,research_score
LONG,2,60-80,3.5,154,78,76,0,0.5064935064935064,0.4935064935064935,7.5,2.5,3.0,10,0.25,0.25649350649350644,1.0259740259740258,True,True,True,5.208023322371072
LONG,0,20-40,2.0,3267,1687,1580,0,0.5163758800122437,0.48362411998775634,40.0,15.0,2.6666666666666665,5,0.27272727272727276,0.2436486072849709,0.8933782267115601,True,True,True,7.3475409718388045
LONG,0,20-40,2.5,861,440,421,0,0.5110336817653891,0.4889663182346109,40.0,15.0,2.6666666666666665,5,0.27272727272727276,0.23830640903811634,0.8737901664730934,True,True,True,5.971337597116259
LONG,0,40-60,2.0,5154,2598,2556,0,0.5040745052386496,0.4959254947613504,40.0,15.0,2.6666666666666665,5,0.27272727272727276,0.23134723251137684,0.8482731858750484,True,True,True,7.280347146910654
LONG,1,20-40,3.0,372,192,180,0,0.5161290322580645,0.4838709677419355,40.0,17.5,2.2857142857142856,5,0.30434782608695654,0.21178120617110796,0.695852534562212,True,True,True,4.187005760819951
LONG,1,20-40,2.5,840,428,412,0,0.5095238095238095,0.49047619047619045,40.0,17.5,2.2857142857142856,5,0.30434782608695654,0.20517598343685295,0.6741496598639454,True,True,True,4.583361940482787
LONG,0,80-100,2.5,580,294,286,0,0.506896551724138,0.49310344827586206,5.0,2.5,2.0,105,0.3333333333333333,0.17356321839080463,0.5206896551724138,True,True,True,3.3369154622011235
SHORT,2,80-100,2.0,2255,1132,1123,0,0.5019955654101995,0.4980044345898004,27.5,20.0,1.375,5,0.42105263157894735,0.08094293383125217,0.1922394678492239,True,True,True,1.4873100617904818
SHORT,0,20-40,3.0,247,125,122,0,0.5060728744939271,0.4939271255060729,25.0,20.0,1.25,5,0.4444444444444444,0.06162843004948271,0.13866396761133604,True,True,True,0.7691567020800772
SHORT,1,20-40,3.5,226,114,112,0,0.504424778761062,0.49557522123893805,17.5,17.5,1.0,50,0.5,0.004424778761061954,0.008849557522123908,True,True,True,0.048220833815031734
