observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
3267,1684,1583,0.5154576063666972,50.0,12.5,4.0,3,1.5772880318334863,0.2,0.31545760636669723,A1,LONG,0,20-40,2.0,True,12.960600013249815
5154,2588,2566,0.5021342646488165,50.0,12.5,4.0,3,1.5106713232440825,0.2,0.3021342646488165,C1,LONG,0,40-60,2.0,True,12.940358434013396
3267,1656,1611,0.5068870523415978,50.0,12.5,4.0,4,1.534435261707989,0.2,0.3068870523415978,A1,LONG,0,20-40,2.0,True,12.502061446436436
3267,1684,1583,0.5154576063666972,47.5,12.5,3.8,3,1.4741965105601467,0.20833333333333334,0.30712427303336387,A1,LONG,0,20-40,2.0,True,12.113495397596303
5154,2588,2566,0.5021342646488165,47.5,12.5,3.8,3,1.410244470314319,0.20833333333333334,0.2938009313154831,C1,LONG,0,40-60,2.0,True,12.08010547672527
3267,1656,1611,0.5068870523415978,47.5,12.5,3.8,4,1.4330578512396694,0.20833333333333334,0.29855371900826444,A1,LONG,0,20-40,2.0,True,11.676072467569538
3267,1684,1583,0.5154576063666972,45.0,12.5,3.6,3,1.3711049892868075,0.2173913043478261,0.29806630201887113,A1,LONG,0,20-40,2.0,True,11.266390781942796
5154,2588,2566,0.5021342646488165,45.0,12.5,3.6,3,1.309817617384556,0.2173913043478261,0.2847429603009904,C1,LONG,0,40-60,2.0,True,11.219852519437147
3267,1656,1611,0.5068870523415978,45.0,12.5,3.6,4,1.33168044077135,0.2173913043478261,0.2894957479937717,A1,LONG,0,20-40,2.0,True,10.850083488702644
5154,2666,2488,0.5172681412495149,50.0,15.0,3.3333333333333335,3,1.2414952787478981,0.23076923076923073,0.2864989104802842,C1,LONG,0,40-60,2.0,True,10.795205771638344
3267,1727,1540,0.5286195286195287,50.0,15.0,3.3333333333333335,3,1.2906846240179575,0.23076923076923073,0.29785029785029793,A1,LONG,0,20-40,2.0,True,10.743040284710691
3267,1707,1560,0.5224977043158862,50.0,15.0,3.3333333333333335,4,1.2641567187021736,0.23076923076923073,0.29172847354665543,A1,LONG,0,20-40,2.0,True,10.459611683058938
3267,1684,1583,0.5154576063666972,42.5,12.5,3.4,3,1.2680134680134678,0.22727272727272727,0.28818487909396995,A1,LONG,0,20-40,2.0,True,10.419286166289284
5154,2588,2566,0.5021342646488165,42.5,12.5,3.4,3,1.2093907644547925,0.22727272727272727,0.2748615373760892,C1,LONG,0,40-60,2.0,True,10.359599562149024
