candidate,event_id,window,timestamp,side,zscore,tp,sl,rr,horizon,first_tp_bar,first_sl_bar,tp_hit,sl_hit,outcome,resolution,terminal_favorable,terminal_adverse
C1,622,1,2019-05-07 13:06:00-04:00,LONG,-2.0004406,50.0,12.5,4.0,3,,3.0,False,True,LOSS,SL_ONLY,0.0,14.25
C1,839,1,2019-05-08 09:30:00-04:00,LONG,-4.831598,50.0,12.5,4.0,3,,3.0,False,True,LOSS,SL_ONLY,0.0,23.75
C1,840,1,2019-05-08 09:31:00-04:00,LONG,-3.3724763,50.0,12.5,4.0,3,,2.0,False,True,LOSS,SL_ONLY,0.0,21.5
C1,904,1,2019-05-08 10:35:00-04:00,LONG,-2.106095,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.5,3.5
C1,1989,1,2019-05-10 14:17:00-04:00,LONG,-2.5617025,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.0,0.0
C1,3983,1,2019-05-17 11:25:00-04:00,LONG,-2.0070567,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.0,3.75
C1,5773,1,2019-05-23 12:21:00-04:00,LONG,-2.0747755,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.25,1.75
C1,5774,1,2019-05-23 12:22:00-04:00,LONG,-2.0744648,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.25,0.0
C1,6695,1,2019-05-28 10:14:00-04:00,LONG,-2.5328035,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,10.25
C1,6696,1,2019-05-28 10:15:00-04:00,LONG,-2.2986095,50.0,12.5,4.0,3,,3.0,False,True,LOSS,SL_ONLY,0.0,13.5
C1,8528,1,2019-06-03 11:54:00-04:00,LONG,-2.3328888,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,7.75
C1,8529,1,2019-06-03 11:55:00-04:00,LONG,-2.2976146,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,4.0
