candidate,window,observations,wins,losses,conflicts,unresolved,resolved,win_rate_resolved,expectancy_r
A1,1,12,0,0,0,12,0,,
A1,2,314,0,9,0,305,9,0.0,-1.0
A1,3,17,0,2,0,15,2,0.0,-1.0
A1,4,62,0,5,0,57,5,0.0,-1.0
A1,5,84,1,13,0,70,14,0.07142857142857142,-0.6428571428571429
A1,6,146,0,17,0,129,17,0.0,-1.0
A1,7,130,1,15,0,114,16,0.0625,-0.6875
A1,8,134,0,20,0,114,20,0.0,-1.0
A1,9,16,0,3,0,13,3,0.0,-1.0
A1,10,26,0,5,0,21,5,0.0,-1.0
A1,11,35,0,7,0,28,7,0.0,-1.0
A1,12,181,0,27,1,153,27,0.0,-1.0
A1,13,208,0,47,0,161,47,0.0,-1.0
A1,14,138,0,49,0,89,49,0.0,-1.0
A1,15,544,2,152,0,390,154,0.012987012987012988,-0.935064935064935
A1,16,176,0,57,0,119,57,0.0,-1.0
A1,17,227,0,53,0,174,53,0.0,-1.0
A1,18,104,0,42,0,62,42,0.0,-1.0
A1,19,158,1,48,0,109,49,0.02040816326530612,-0.8979591836734694
A1,20,156,0,52,0,104,52,0.0,-1.0
A1,21,241,0,87,0,154,87,0.0,-1.0
A1,22,158,2,65,0,91,67,0.029850746268656716,-0.8507462686567164
A2_H3,2,116,0,8,0,108,8,0.0,-1.0
A2_H3,3,10,0,0,0,10,0,,
A2_H3,4,11,0,1,0,10,1,0.0,-1.0
A2_H3,5,8,0,2,0,6,2,0.0,-1.0
A2_H3,6,24,0,4,0,20,4,0.0,-1.0
A2_H3,7,18,1,5,0,12,6,0.16666666666666666,-0.16666666666666674
A2_H3,8,21,0,3,0,18,3,0.0,-1.0
A2_H3,9,4,0,1,0,3,1,0.0,-1.0
A2_H3,10,9,0,2,0,7,2,0.0,-1.0
A2_H3,11,5,0,3,0,2,3,0.0,-1.0
A2_H3,12,24,0,2,1,21,2,0.0,-1.0
A2_H3,13,32,0,11,0,21,11,0.0,-1.0
A2_H3,14,83,0,40,0,43,40,0.0,-1.0
A2_H3,15,221,2,72,0,147,74,0.02702702702702703,-0.8648648648648649
A2_H3,16,46,0,19,0,27,19,0.0,-1.0
A2_H3,17,37,0,8,0,29,8,0.0,-1.0
A2_H3,18,23,0,12,0,11,12,0.0,-1.0
A2_H3,19,38,1,12,0,25,13,0.07692307692307693,-0.6153846153846154
A2_H3,20,65,0,25,0,40,25,0.0,-1.0
A2_H3,21,42,0,15,0,27,15,0.0,-1.0
A2_H3,22,24,1,9,0,14,10,0.1,-0.5
A2_H4,2,116,0,10,0,106,10,0.0,-1.0
A2_H4,3,10,0,1,0,9,1,0.0,-1.0
A2_H4,4,11,0,2,0,9,2,0.0,-1.0
A2_H4,5,8,0,2,0,6,2,0.0,-1.0
A2_H4,6,24,0,6,0,18,6,0.0,-1.0
A2_H4,7,18,1,5,0,12,6,0.16666666666666666,-0.16666666666666674
A2_H4,8,21,0,3,0,18,3,0.0,-1.0
A2_H4,9,4,0,2,0,2,2,0.0,-1.0
A2_H4,10,9,0,2,0,7,2,0.0,-1.0
A2_H4,11,5,0,3,0,2,3,0.0,-1.0
A2_H4,12,24,0,4,1,19,4,0.0,-1.0
A2_H4,13,32,0,15,0,17,15,0.0,-1.0
A2_H4,14,83,0,42,0,41,42,0.0,-1.0
A2_H4,15,221,2,83,0,136,85,0.023529411764705882,-0.8823529411764706
A2_H4,16,46,0,24,0,22,24,0.0,-1.0
A2_H4,17,37,0,9,0,28,9,0.0,-1.0
A2_H4,18,23,0,13,0,10,13,0.0,-1.0
A2_H4,19,38,1,13,0,24,14,0.07142857142857142,-0.6428571428571429
A2_H4,20,65,0,26,0,39,26,0.0,-1.0
A2_H4,21,42,0,18,0,24,18,0.0,-1.0
A2_H4,22,24,1,10,0,13,11,0.09090909090909091,-0.5454545454545454
C1,1,34,0,4,0,30,4,0.0,-1.0
C1,2,75,0,3,0,72,3,0.0,-1.0
C1,3,107,0,12,0,95,12,0.0,-1.0
C1,4,297,0,38,0,259,38,0.0,-1.0
C1,5,232,2,34,0,196,36,0.05555555555555555,-0.7222222222222222
C1,6,247,0,57,0,190,57,0.0,-1.0
C1,7,170,0,28,0,142,28,0.0,-1.0
C1,8,243,1,50,0,192,51,0.0196078431372549,-0.9019607843137254
C1,9,173,1,47,0,125,48,0.020833333333333332,-0.8958333333333333
C1,10,149,0,50,0,99,50,0.0,-1.0
C1,11,380,0,71,0,309,71,0.0,-1.0
C1,12,391,1,108,0,282,109,0.009174311926605505,-0.9541284403669725
C1,13,312,0,65,0,247,65,0.0,-1.0
C1,14,236,4,83,0,149,87,0.04597701149425287,-0.7701149425287357
C1,15,546,2,202,0,342,204,0.00980392156862745,-0.9509803921568628
C1,16,201,2,82,0,117,84,0.023809523809523808,-0.8809523809523809
C1,17,310,1,127,0,182,128,0.0078125,-0.9609375
C1,18,229,1,106,0,122,107,0.009345794392523364,-0.9532710280373832
C1,19,236,0,101,0,135,101,0.0,-1.0
C1,20,5,0,2,0,3,2,0.0,-1.0
C1,21,230,5,88,0,137,93,0.053763440860215055,-0.7311827956989247
C1,22,351,12,184,0,155,196,0.061224489795918366,-0.6938775510204083
