candidate,event_id,window,timestamp,side,entry,zscore,tp,sl,rr,horizon,tp_level,sl_level,first_tp_bar,first_sl_bar,tp_hit,sl_hit,outcome,resolution,max_favorable_raw,max_adverse_raw
C1,622,1,2019-05-07 17:06:00+00:00,LONG,7650.25,-2.0004406,50.0,12.5,4.0,3,7700.25,7637.75,,3.0,False,True,LOSS,SL_ONLY,-0.75,13.0
C1,839,1,2019-05-08 13:30:00+00:00,LONG,7638.25,-4.831598,50.0,12.5,4.0,3,7688.25,7625.75,,3.0,False,True,LOSS,SL_ONLY,2.25,16.0
C1,840,1,2019-05-08 13:31:00+00:00,LONG,7640.5,-3.3724763,50.0,12.5,4.0,3,7690.5,7628.0,,2.0,False,True,LOSS,SL_ONLY,-8.0,19.5
C1,904,1,2019-05-08 14:35:00+00:00,LONG,7621.75,-2.106095,50.0,12.5,4.0,3,7671.75,7609.25,,,False,False,UNRESOLVED,NEITHER,-0.75,4.25
C1,1989,1,2019-05-10 18:17:00+00:00,LONG,7556.0,-2.5617025,50.0,12.5,4.0,3,7606.0,7543.5,,,False,False,UNRESOLVED,NEITHER,4.5,2.75
C1,3983,1,2019-05-17 15:25:00+00:00,LONG,7600.25,-2.0070567,50.0,12.5,4.0,3,7650.25,7587.75,,,False,False,UNRESOLVED,NEITHER,-1.25,3.0
C1,5773,1,2019-05-23 16:21:00+00:00,LONG,7277.0,-2.0747755,50.0,12.5,4.0,3,7327.0,7264.5,,,False,False,UNRESOLVED,NEITHER,4.5,0.5
C1,5774,1,2019-05-23 16:22:00+00:00,LONG,7276.5,-2.0744648,50.0,12.5,4.0,3,7326.5,7264.0,,,False,False,UNRESOLVED,NEITHER,6.25,-1.25
C1,6695,1,2019-05-28 14:14:00+00:00,LONG,7340.75,-2.5328035,50.0,12.5,4.0,3,7390.75,7328.25,,,False,False,UNRESOLVED,NEITHER,-0.5,7.75
C1,6696,1,2019-05-28 14:15:00+00:00,LONG,7340.25,-2.2986095,50.0,12.5,4.0,3,7390.25,7327.75,,,False,False,UNRESOLVED,NEITHER,-7.0,10.25
C1,8528,1,2019-06-03 15:54:00+00:00,LONG,7063.25,-2.3328888,50.0,12.5,4.0,3,7113.25,7050.75,,,False,False,UNRESOLVED,NEITHER,-2.0,5.25
C1,8529,1,2019-06-03 15:55:00+00:00,LONG,7061.25,-2.2976146,50.0,12.5,4.0,3,7111.25,7048.75,,,False,False,UNRESOLVED,NEITHER,-2.25,3.25
C1,9745,1,2019-06-06 14:29:00+00:00,LONG,7210.0,-2.6570497,50.0,12.5,4.0,3,7260.0,7197.5,,,False,False,UNRESOLVED,NEITHER,1.5,3.25
C1,9746,1,2019-06-06 14:30:00+00:00,LONG,7207.5,-2.9194107,50.0,12.5,4.0,3,7257.5,7195.0,,,False,False,UNRESOLVED,NEITHER,7.25,0.75
C1,9747,1,2019-06-06 14:31:00+00:00,LONG,7206.75,-2.6197991,50.0,12.5,4.0,3,7256.75,7194.25,,,False,False,UNRESOLVED,NEITHER,11.5,-4.75
C1,11113,1,2019-06-11 15:32:00+00:00,LONG,7529.75,-2.2590668,50.0,12.5,4.0,3,7579.75,7517.25,,,False,False,UNRESOLVED,NEITHER,-2.5,3.75
C1,11114,1,2019-06-11 15:33:00+00:00,LONG,7526.75,-2.4138777,50.0,12.5,4.0,3,7576.75,7514.25,,,False,False,UNRESOLVED,NEITHER,0.5,1.25
C1,11115,1,2019-06-11 15:34:00+00:00,LONG,7526.0,-2.2192833,50.0,12.5,4.0,3,7576.0,7513.5,,,False,False,UNRESOLVED,NEITHER,1.25,6.0
C1,11485,1,2019-06-12 14:30:00+00:00,LONG,7467.25,-2.0595958,50.0,12.5,4.0,3,7517.25,7454.75,,,False,False,UNRESOLVED,NEITHER,1.5,2.25
C1,14555,1,2019-06-21 15:52:00+00:00,LONG,7763.0,-2.0493853,50.0,12.5,4.0,3,7813.0,7750.5,,,False,False,UNRESOLVED,NEITHER,0.5,1.0
C1,15329,1,2019-06-25 14:20:00+00:00,LONG,7707.25,-2.0299323,50.0,12.5,4.0,3,7757.25,7694.75,,,False,False,UNRESOLVED,NEITHER,-0.5,3.5
C1,15330,1,2019-06-25 14:21:00+00:00,LONG,7705.75,-2.024512,50.0,12.5,4.0,3,7755.75,7693.25,,,False,False,UNRESOLVED,NEITHER,2.25,2.0
C1,15331,1,2019-06-25 14:22:00+00:00,LONG,7703.75,-2.0604064,50.0,12.5,4.0,3,7753.75,7691.25,,,False,False,UNRESOLVED,NEITHER,8.0,-3.0
C1,15758,1,2019-06-26 14:16:00+00:00,LONG,7683.75,-2.0749154,50.0,12.5,4.0,3,7733.75,7671.25,,,False,False,UNRESOLVED,NEITHER,1.75,0.25
C1,22282,1,2019-07-18 14:39:00+00:00,LONG,7884.0,-2.372634,50.0,12.5,4.0,3,7934.0,7871.5,,,False,False,UNRESOLVED,NEITHER,4.0,-2.0
C1,26714,1,2019-08-01 16:01:00+00:00,LONG,7994.25,-2.242838,50.0,12.5,4.0,3,8044.25,7981.75,,,False,False,UNRESOLVED,NEITHER,2.25,-2.0
C1,29442,1,2019-08-09 18:00:00+00:00,LONG,7667.25,-2.473831,50.0,12.5,4.0,3,7717.25,7654.75,,,False,False,UNRESOLVED,NEITHER,-1.0,2.0
C1,29443,1,2019-08-09 18:01:00+00:00,LONG,7665.5,-2.430184,50.0,12.5,4.0,3,7715.5,7653.0,,,False,False,UNRESOLVED,NEITHER,2.0,0.25
C1,29444,1,2019-08-09 18:02:00+00:00,LONG,7665.25,-2.1919937,50.0,12.5,4.0,3,7715.25,7652.75,,,False,False,UNRESOLVED,NEITHER,9.25,-1.0
C1,34086,1,2019-08-26 15:43:00+00:00,LONG,7547.75,-2.2865922,50.0,12.5,4.0,3,7597.75,7535.25,,,False,False,UNRESOLVED,NEITHER,-5.5,7.75
C1,34180,1,2019-08-26 17:17:00+00:00,LONG,7558.75,-2.0996988,50.0,12.5,4.0,3,7608.75,7546.25,,,False,False,UNRESOLVED,NEITHER,2.0,-0.5
C1,34984,1,2019-08-28 16:11:00+00:00,LONG,7584.5,-2.4022279,50.0,12.5,4.0,3,7634.5,7572.0,,,False,False,UNRESOLVED,NEITHER,-1.0,1.5
C1,34985,1,2019-08-28 16:12:00+00:00,LONG,7583.0,-2.4782417,50.0,12.5,4.0,3,7633.0,7570.5,,,False,False,UNRESOLVED,NEITHER,3.25,-0.25
C1,34986,1,2019-08-28 16:13:00+00:00,LONG,7583.5,-2.0955296,50.0,12.5,4.0,3,7633.5,7571.0,,,False,False,UNRESOLVED,NEITHER,5.25,0.25
C1,38781,2,2019-09-10 18:01:00+00:00,LONG,7782.75,-2.324049,50.0,12.5,4.0,3,7832.75,7770.25,,,False,False,UNRESOLVED,NEITHER,-4.25,6.0
C1,38782,2,2019-09-10 18:02:00+00:00,LONG,7778.5,-2.7362163,50.0,12.5,4.0,3,7828.5,7766.0,,,False,False,UNRESOLVED,NEITHER,0.75,1.75
C1,38783,2,2019-09-10 18:03:00+00:00,LONG,7777.0,-2.5691783,50.0,12.5,4.0,3,7827.0,7764.5,,,False,False,UNRESOLVED,NEITHER,2.25,2.75
C1,38784,2,2019-09-10 18:04:00+00:00,LONG,7776.75,-2.275844,50.0,12.5,4.0,3,7826.75,7764.25,,,False,False,UNRESOLVED,NEITHER,5.5,2.5
C1,38786,2,2019-09-10 18:06:00+00:00,LONG,7774.25,-2.171705,50.0,12.5,4.0,3,7824.25,7761.75,,,False,False,UNRESOLVED,NEITHER,8.0,-3.25
C1,38817,2,2019-09-10 18:37:00+00:00,LONG,7767.75,-2.3431911,50.0,12.5,4.0,3,7817.75,7755.25,,,False,False,UNRESOLVED,NEITHER,1.25,5.75
C1,38819,2,2019-09-10 18:39:00+00:00,LONG,7767.25,-2.1671038,50.0,12.5,4.0,3,7817.25,7754.75,,,False,False,UNRESOLVED,NEITHER,-2.25,5.5
C1,38863,2,2019-09-10 19:23:00+00:00,LONG,7768.0,-2.1777499,50.0,12.5,4.0,3,7818.0,7755.5,,,False,False,UNRESOLVED,NEITHER,4.25,-0.5
C1,42028,2,2019-09-20 14:15:00+00:00,LONG,7924.5,-2.2400343,50.0,12.5,4.0,3,7974.5,7912.0,,,False,False,UNRESOLVED,NEITHER,7.0,-4.0
C1,42052,2,2019-09-20 14:39:00+00:00,LONG,7918.75,-3.1912658,50.0,12.5,4.0,3,7968.75,7906.25,,,False,False,UNRESOLVED,NEITHER,0.75,1.5
C1,42053,2,2019-09-20 14:40:00+00:00,LONG,7917.25,-3.0260062,50.0,12.5,4.0,3,7967.25,7904.75,,,False,False,UNRESOLVED,NEITHER,2.25,-1.5
C1,42054,2,2019-09-20 14:41:00+00:00,LONG,7919.5,-2.2262821,50.0,12.5,4.0,3,7969.5,7907.0,,,False,False,UNRESOLVED,NEITHER,0.0,1.5
C1,42055,2,2019-09-20 14:42:00+00:00,LONG,7918.75,-2.163221,50.0,12.5,4.0,3,7968.75,7906.25,,,False,False,UNRESOLVED,NEITHER,1.0,0.75
C1,42116,2,2019-09-20 15:43:00+00:00,LONG,7885.0,-2.3434653,50.0,12.5,4.0,3,7935.0,7872.5,,,False,False,UNRESOLVED,NEITHER,5.25,-3.0
C1,42359,2,2019-09-20 19:46:00+00:00,LONG,7842.0,-2.8194716,50.0,12.5,4.0,3,7892.0,7829.5,,,False,False,UNRESOLVED,NEITHER,-0.25,2.25
C1,42360,2,2019-09-20 19:47:00+00:00,LONG,7841.75,-2.5001552,50.0,12.5,4.0,3,7891.75,7829.25,,,False,False,UNRESOLVED,NEITHER,4.0,2.0
C1,42361,2,2019-09-20 19:48:00+00:00,LONG,7839.75,-2.4755168,50.0,12.5,4.0,3,7889.75,7827.25,,,False,False,UNRESOLVED,NEITHER,6.0,-0.25
C1,42362,2,2019-09-20 19:49:00+00:00,LONG,7840.0,-2.192288,50.0,12.5,4.0,3,7890.0,7827.5,,,False,False,UNRESOLVED,NEITHER,7.25,-4.75
C1,43677,2,2019-09-25 19:59:00+00:00,LONG,7823.0,-2.1558127,50.0,12.5,4.0,3,7873.0,7810.5,,,False,False,UNRESOLVED,NEITHER,1.0,0.0
C1,43725,2,2019-09-26 13:32:00+00:00,LONG,7806.0,-3.3500974,50.0,12.5,4.0,3,7856.0,7793.5,,2.0,False,True,LOSS,SL_ONLY,-9.0,20.0
C1,44051,2,2019-09-26 18:58:00+00:00,LONG,7782.75,-2.5370278,50.0,12.5,4.0,3,7832.75,7770.25,,,False,False,UNRESOLVED,NEITHER,8.0,-0.5
C1,44052,2,2019-09-26 18:59:00+00:00,LONG,7783.25,-2.124228,50.0,12.5,4.0,3,7833.25,7770.75,,,False,False,UNRESOLVED,NEITHER,8.0,-7.5
C1,45658,2,2019-10-02 16:46:00+00:00,LONG,7533.5,-2.192878,50.0,12.5,4.0,3,7583.5,7521.0,,,False,False,UNRESOLVED,NEITHER,1.75,1.25
C1,47072,2,2019-10-07 18:35:00+00:00,LONG,7756.75,-2.223928,50.0,12.5,4.0,3,7806.75,7744.25,,,False,False,UNRESOLVED,NEITHER,-2.25,3.75
C1,47073,2,2019-10-07 18:36:00+00:00,LONG,7754.0,-2.583613,50.0,12.5,4.0,3,7804.0,7741.5,,,False,False,UNRESOLVED,NEITHER,2.75,1.0
C1,47074,2,2019-10-07 18:37:00+00:00,LONG,7753.0,-2.4563015,50.0,12.5,4.0,3,7803.0,7740.5,,,False,False,UNRESOLVED,NEITHER,3.75,-1.5
C1,47472,2,2019-10-08 18:01:00+00:00,LONG,7673.5,-2.558374,50.0,12.5,4.0,3,7723.5,7661.0,,,False,False,UNRESOLVED,NEITHER,2.5,0.5
C1,47473,2,2019-10-08 18:02:00+00:00,LONG,7674.5,-2.096604,50.0,12.5,4.0,3,7724.5,7662.0,,,False,False,UNRESOLVED,NEITHER,2.0,1.5
C1,50712,2,2019-10-18 14:03:00+00:00,LONG,7939.75,-2.8200345,50.0,12.5,4.0,3,7989.75,7927.25,,,False,False,UNRESOLVED,NEITHER,-0.5,2.5
C1,50713,2,2019-10-18 14:04:00+00:00,LONG,7938.5,-2.663035,50.0,12.5,4.0,3,7988.5,7926.0,,,False,False,UNRESOLVED,NEITHER,0.75,2.0
C1,50714,2,2019-10-18 14:05:00+00:00,LONG,7939.25,-2.173736,50.0,12.5,4.0,3,7989.25,7926.75,,,False,False,UNRESOLVED,NEITHER,-1.75,2.75
C1,50715,2,2019-10-18 14:06:00+00:00,LONG,7937.25,-2.2993937,50.0,12.5,4.0,3,7987.25,7924.75,,,False,False,UNRESOLVED,NEITHER,4.25,0.75
