candidate,window,observations,wins,losses,conflicts,unresolved,resolved,win_rate_resolved
A1,1,12,0,0,0,12,0,
A1,2,314,0,3,0,311,3,0.0
A1,3,17,0,2,0,15,2,0.0
A1,4,62,0,3,0,59,3,0.0
A1,5,84,0,7,0,77,7,0.0
A1,6,146,0,13,0,133,13,0.0
A1,7,130,1,5,0,124,6,0.16666666666666666
A1,8,134,0,7,0,127,7,0.0
A1,9,16,0,1,0,15,1,0.0
A1,10,26,0,5,0,21,5,0.0
A1,11,35,0,4,0,31,4,0.0
A1,12,181,1,18,0,162,19,0.05263157894736842
A1,13,208,0,32,0,176,32,0.0
A1,14,138,0,35,0,103,35,0.0
A1,15,544,0,86,0,458,86,0.0
A1,16,176,0,32,0,144,32,0.0
A1,17,227,0,29,0,198,29,0.0
A1,18,104,1,24,0,79,25,0.04
A1,19,158,0,25,0,133,25,0.0
A1,20,156,0,32,0,124,32,0.0
A1,21,241,0,45,0,196,45,0.0
A1,22,158,1,34,0,123,35,0.02857142857142857
A2_H3,2,116,0,3,0,113,3,0.0
A2_H3,3,10,0,0,0,10,0,
A2_H3,4,11,0,1,0,10,1,0.0
A2_H3,5,8,0,1,0,7,1,0.0
A2_H3,6,24,0,3,0,21,3,0.0
A2_H3,7,18,1,2,0,15,3,0.3333333333333333
A2_H3,8,21,0,2,0,19,2,0.0
A2_H3,9,4,0,0,0,4,0,
A2_H3,10,9,0,2,0,7,2,0.0
A2_H3,11,5,0,0,0,5,0,
A2_H3,12,24,1,1,0,22,2,0.5
A2_H3,13,32,0,8,0,24,8,0.0
A2_H3,14,83,0,29,0,54,29,0.0
A2_H3,15,221,0,43,0,178,43,0.0
A2_H3,16,46,0,7,0,39,7,0.0
A2_H3,17,37,0,5,0,32,5,0.0
A2_H3,18,23,1,6,0,16,7,0.14285714285714285
A2_H3,19,38,0,6,0,32,6,0.0
A2_H3,20,65,0,13,0,52,13,0.0
A2_H3,21,42,0,9,0,33,9,0.0
A2_H3,22,24,1,3,0,20,4,0.25
A2_H4,2,116,0,4,0,112,4,0.0
A2_H4,3,10,0,1,0,9,1,0.0
A2_H4,4,11,0,1,0,10,1,0.0
A2_H4,5,8,0,2,0,6,2,0.0
A2_H4,6,24,0,5,0,19,5,0.0
A2_H4,7,18,1,2,0,15,3,0.3333333333333333
A2_H4,8,21,0,2,0,19,2,0.0
A2_H4,9,4,0,2,0,2,2,0.0
A2_H4,10,9,0,2,0,7,2,0.0
A2_H4,11,5,0,0,0,5,0,
A2_H4,12,24,1,3,0,20,4,0.25
A2_H4,13,32,0,12,0,20,12,0.0
A2_H4,14,83,0,31,0,52,31,0.0
A2_H4,15,221,0,50,0,171,50,0.0
A2_H4,16,46,0,15,0,31,15,0.0
A2_H4,17,37,0,6,0,31,6,0.0
A2_H4,18,23,1,7,0,15,8,0.125
A2_H4,19,38,0,6,0,32,6,0.0
A2_H4,20,65,0,15,0,50,15,0.0
A2_H4,21,42,0,13,0,29,13,0.0
A2_H4,22,24,1,5,0,18,6,0.16666666666666666
C1,1,34,0,3,0,31,3,0.0
C1,2,75,0,3,0,72,3,0.0
C1,3,107,0,7,0,100,7,0.0
C1,4,297,0,24,0,273,24,0.0
C1,5,232,2,21,0,209,23,0.08695652173913043
C1,6,247,0,30,0,217,30,0.0
C1,7,170,0,11,0,159,11,0.0
C1,8,243,0,39,0,204,39,0.0
C1,9,173,0,23,0,150,23,0.0
C1,10,149,0,34,0,115,34,0.0
C1,11,380,0,46,0,334,46,0.0
C1,12,391,1,64,0,326,65,0.015384615384615385
C1,13,312,0,34,0,278,34,0.0
C1,14,236,1,56,0,179,57,0.017543859649122806
C1,15,546,1,118,0,427,119,0.008403361344537815
C1,16,201,2,44,0,155,46,0.043478260869565216
C1,17,310,0,72,0,238,72,0.0
C1,18,229,1,62,0,166,63,0.015873015873015872
C1,19,236,0,59,0,177,59,0.0
C1,20,5,0,2,0,3,2,0.0
C1,21,230,5,53,0,172,58,0.08620689655172414
C1,22,351,7,110,0,234,117,0.05982905982905983
