side,hmm_state,vol_bucket,zscore,grid_points,best_tp,best_sl,best_rr,best_horizon,best_wr,best_resolved,best_resolution,best_expectancy,best_expectancy_all,best_score
LONG,0,20-40,2.0,40320,5.0,2.0,2.5,13,0.43383947939262474,3227,0.987756351392715,0.5184381778741867,0.5120906029996939,0.2845986984815619
LONG,0,20-40,2.5,40320,5.0,2.0,2.5,53,0.43902439024390244,861,1.0,0.5365853658536586,0.5365853658536586,0.2975609756097561
LONG,0,40-60,2.0,40320,5.0,2.0,2.5,10,0.45227892481495907,5134,0.9961195188203337,0.5829762368523568,0.5807140085370586,0.33069731203739766
LONG,0,80-100,2.5,40320,5.0,2.0,2.5,3,0.46441281138790036,562,0.9689655172413794,0.6254448398576512,0.6060344827586207,0.36103202846975085
LONG,1,20-40,2.5,40320,5.0,2.0,2.5,20,0.48390941597139453,839,0.9988095238095238,0.6936829558998809,0.6928571428571428,0.40977353992848636
LONG,1,20-40,3.0,40320,5.0,2.0,2.5,4,0.4959349593495935,369,0.9919354838709677,0.7357723577235771,0.7298387096774194,0.3778507900113417
LONG,2,60-80,3.5,40320,5.0,2.0,2.5,2,0.5608108108108109,148,0.961038961038961,0.962837837837838,0.9253246753246753,0.32753811414279144
SHORT,0,20-40,3.0,40320,5.0,2.0,2.5,8,0.42213114754098363,244,0.9878542510121457,0.4774590163934427,0.4716599190283401,0.17836438113876998
SHORT,1,20-40,3.5,40320,5.0,2.0,2.5,5,0.37610619469026546,226,1.0,0.3163716814159292,0.3163716814159292,0.09430181259343362
SHORT,2,80-100,2.0,40320,5.0,2.0,2.5,5,0.4818467055132228,2231,0.9893569844789357,0.6864634692962797,0.6791574279379158,0.4046167637830569
