tp,sl,rr,horizon,observations,wins,losses,ambiguous,unresolved,resolved,win_rate_resolved,resolved_rate,ambiguous_rate,expectancy_resolved_r,expectancy_all_r,score,side,hmm_state,vol_bucket,zscore
5.0,2.0833333333333335,2.4,6,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,7,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,8,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,9,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,10,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,11,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,12,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,13,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,14,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,15,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,16,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,17,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,18,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,19,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,20,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,21,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,22,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,23,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,24,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,25,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,26,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,27,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,28,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,29,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,30,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,31,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,32,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,33,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,34,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,35,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,36,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,37,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,38,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,39,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,40,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,41,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,42,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
