volatility,selected,A_trades,A_WR,A_mean_R,A_PF,B_trades,B_WR,B_mean_R,B_PF,window
0-20,OFF,0,,,,0,,,,1
20-40,OFF,16,0.5,-0.09768749999999995,0.6954106986261329,13,0.46153846153846156,-0.17280769230769225,0.5690994533422846,1
40-60,OFF,82,0.45121951219512196,-0.13720731707317066,0.6885320783445223,50,0.34,-0.3554999999999999,0.3692670723701719,1
60-80,OFF,211,0.4028436018957346,-0.11414928909952599,0.7697767114645667,176,0.3977272727272727,-0.10940624999999997,0.7817344041350934,1
80-100,OFF,818,0.44987775061124696,-0.04880684596577009,0.9122453016815033,695,0.45179856115107914,-0.03490647482014385,0.9376342399847817,1
0-20,OFF,90,0.4111111111111111,-0.05938888888888881,0.8379885728142101,74,0.3918918918918919,-0.06580405405405401,0.8236327417602317,2
20-40,OFF,193,0.40932642487046633,-0.09818134715025899,0.8031824838746535,156,0.3974358974358974,-0.13995512820512815,0.7354120969012445,2
40-60,OFF,266,0.46616541353383456,-0.04431578947368413,0.9061229528106176,222,0.47297297297297297,-0.04136711711711709,0.9130296845923283,2
60-80,B,334,0.47604790419161674,0.03604191616766476,1.0735369578497251,286,0.479020979020979,0.0523234265734266,1.1071901838733018,2
80-100,B,259,0.5019305019305019,0.06684555984555994,1.1311124069460117,222,0.509009009009009,0.10959009009009013,1.2203973293956714,2
0-20,OFF,9,0.1111111111111111,-0.24161111111111108,0.18907327988066383,6,0.16666666666666666,-0.31383333333333335,0.15465768799102134,3
20-40,OFF,61,0.4426229508196721,-0.12558196721311468,0.7081658698260922,51,0.39215686274509803,-0.16799999999999995,0.6530542001579237,3
40-60,OFF,249,0.46586345381526106,-0.04445582329317261,0.8980535358233217,207,0.45893719806763283,-0.0532053140096618,0.8789272915155114,3
60-80,OFF,500,0.446,-0.04347499999999992,0.9143555637856516,431,0.44547563805104406,-0.031109048723897872,0.9381305819407564,3
80-100,OFF,617,0.46029173419773095,-0.02399675850891401,0.9569632431913937,538,0.44423791821561337,-0.03814405204460965,0.933413801998413,3
0-20,B,244,0.4098360655737705,-0.04335860655737698,0.8691942952169589,196,0.45408163265306123,0.015354591836734705,1.0514215904042647,4
20-40,OFF,376,0.43882978723404253,-0.062481382978723334,0.8613659230322113,307,0.3941368078175896,-0.10549999999999998,0.7732659890232976,4
40-60,OFF,496,0.4495967741935484,-0.06575705645161284,0.8705998575687907,440,0.4409090909090909,-0.07765909090909089,0.8528363563539423,4
60-80,OFF,408,0.43137254901960786,-0.09073284313725483,0.8358821351858786,363,0.41046831955922863,-0.13642286501377407,0.7638482227160447,4
80-100,OFF,14,0.42857142857142855,-0.0912142857142856,0.8487683562292753,11,0.45454545454545453,0.03313636363636366,1.062222601570502,4
