window,architecture,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,worst_day_R,best_day_R,trades_per_day,months,profitable_months,losing_months,mean_monthly_R,median_monthly_R,worst_month_R,best_month_R
1,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
1,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
1,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
2,A_SELECTIVE,104,0.5288461538461539,0.15700000000000008,16.32800000000001,1.3387938457707829,-9.397499999999997,5,40,24,16,0.40820000000000023,0.13900000000000023,-2.1109999999999998,6.111500000000001,2.6,4,3,1,4.0820000000000025,6.373000000000003,-6.230999999999998,9.813000000000004
2,B_SELECTIVE,91,0.5384615384615384,0.20164285714285718,18.349500000000003,1.4431604115345604,-8.261999999999997,6,38,22,16,0.48288157894736833,0.18900000000000006,-2.1109999999999998,6.4115,2.3947368421052633,4,3,1,4.587375000000001,5.797750000000001,-4.058999999999999,10.813
2,AB_SELECTIVE,91,0.5384615384615384,0.20164285714285718,18.349500000000003,1.4431604115345604,-8.261999999999997,6,38,22,16,0.48288157894736833,0.18900000000000006,-2.1109999999999998,6.4115,2.3947368421052633,4,3,1,4.587375000000001,5.797750000000001,-4.058999999999999,10.813
3,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
3,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
3,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
4,A_SELECTIVE,22,0.4090909090909091,0.0643863636363637,1.4165000000000014,1.1697118552686756,-6.293999999999999,8,13,4,9,0.10896153846153843,-0.45549999999999996,-1.4109999999999998,5.9725,1.6923076923076923,4,2,2,0.35412500000000047,-0.26149999999999973,-3.7024999999999997,5.642
4,B_SELECTIVE,12,0.3333333333333333,0.003875000000000022,0.04650000000000026,1.0116061400224634,-1.4845,4,9,3,6,0.00516666666666669,-0.33049999999999996,-0.843,1.139,1.3333333333333333,3,1,2,0.015500000000000033,-0.18299999999999994,-0.536,0.7655000000000001
4,AB_SELECTIVE,12,0.3333333333333333,0.003875000000000022,0.04650000000000026,1.0116061400224634,-1.4845,4,9,3,6,0.00516666666666669,-0.33049999999999996,-0.843,1.139,1.3333333333333333,3,1,2,0.015500000000000033,-0.18299999999999994,-0.536,0.7655000000000001
