quantile,rr,horizon,windows,positive_windows,median_R,median_PF,total_trades,worst_DD,worst_streak,all_positive
0.8,0.5,5,4,2,-0.0015803485247244927,1.0001943782963933,1689,-21.9375,5,False
0.8,0.5,10,4,2,0.014386368348632498,1.0596672228212787,1627,-21.875,5,False
0.8,0.5,15,4,2,0.012409348880996847,1.0483651276088004,1616,-22.1625,5,False
0.8,0.67,5,4,3,0.013435688079405124,1.0384153731655676,1560,-15.054999999999936,8,False
0.8,0.67,10,4,3,0.020259025971062123,1.0583847732719303,1484,-17.13499999999996,8,False
0.8,0.67,15,4,3,0.010403134370314853,1.0277220664969144,1466,-18.62249999999996,8,False
0.8,0.75,5,4,3,0.026307368491203124,1.0763648835292168,1511,-14.625,8,False
0.8,0.75,10,4,3,0.03924057124622647,1.111116218091293,1425,-17.8125,8,False
0.8,0.75,15,4,3,0.03337341645065898,1.0879507552454593,1406,-18.6125,8,False
0.8,1.0,5,4,3,0.04834219156107862,1.1318023437374238,1406,-13.962499999999999,7,False
0.8,1.0,10,4,3,0.06016039589842781,1.1484739779797344,1292,-16.262499999999996,11,False
0.8,1.0,15,4,4,0.055045828065739565,1.124508368490487,1269,-14.5,11,True
0.8,1.1,5,4,3,0.0463869962541979,1.120964927409105,1370,-15.750000000000002,9,False
0.8,1.1,10,4,3,0.04739311235212877,1.1094607593289474,1247,-16.51250000000001,12,False
0.8,1.1,15,4,4,0.0437454660384269,1.0930851016571483,1221,-17.975000000000012,15,True
0.8,1.2,5,4,3,0.05061404558816979,1.1289245755166644,1345,-15.912500000000005,9,False
0.8,1.2,10,4,3,0.056522836038285465,1.128257572131328,1220,-19.900000000000016,12,False
0.8,1.2,15,4,4,0.05733445480674232,1.1199241751010174,1187,-18.51250000000001,15,True
0.8,1.3,5,4,3,0.04834119695827989,1.1245015340739744,1324,-17.90000000000003,9,False
0.8,1.3,10,4,3,0.06185658924709034,1.1387926179934151,1184,-17.899999999999995,12,False
0.8,1.3,15,4,3,0.07293789783640489,1.1510343968563497,1150,-17.21249999999999,15,False
0.8,1.5,5,4,3,0.02691053447534844,1.0721443732654667,1284,-22.787499999999998,9,False
0.8,1.5,10,4,3,0.0421923019377588,1.0900306963437334,1133,-18.7125,12,False
0.8,1.5,15,4,3,0.035554820204855286,1.0672860001248634,1083,-19.950000000000003,15,False
0.8,1.75,5,4,2,0.020546284249442853,1.0616504567372211,1254,-21.25,11,False
0.8,1.75,10,4,3,0.04122664571328794,1.090310090003229,1091,-27.612499999999997,12,False
0.8,1.75,15,4,3,0.029598768800349222,1.054673432975823,1037,-25.2375,15,False
0.8,2.0,5,4,3,0.019794004125124297,1.0566003599797549,1228,-18.837500000000006,11,False
0.8,2.0,10,4,3,0.014977681576062926,1.0307679297441565,1050,-21.6,12,False
0.8,2.0,15,4,3,0.008706621615593909,1.015376694379477,988,-22.2375,15,False
0.825,0.5,5,4,3,0.0038101910955078613,1.0137424758307811,1404,-16.375,6,False
0.825,0.5,10,4,3,0.023958156047229017,1.0853700871688763,1363,-16.95,6,False
0.825,0.5,15,4,3,0.026449108489549664,1.0920092736231368,1357,-16.1125,6,False
0.825,0.67,5,4,3,0.029374358435983586,1.086411918864279,1304,-15.825000000000001,6,False
0.825,0.67,10,4,3,0.03375533925533926,1.0966979649447426,1253,-19.320000000000007,6,False
0.825,0.67,15,4,3,0.027673906048906058,1.0755720627235275,1243,-16.1575,6,False
0.825,0.75,5,4,3,0.027863900778760393,1.0784789778156947,1266,-15.999999999999998,6,False
0.825,0.75,10,4,3,0.04469090709338096,1.1286690127894752,1206,-17.625,6,False
0.825,0.75,15,4,3,0.039923415296815146,1.1086440312075236,1194,-16.799999999999997,6,False
0.825,1.0,5,4,3,0.07033996199853176,1.1882497118758817,1181,-13.075,8,False
0.825,1.0,10,4,4,0.07716791396780742,1.1903801318208493,1100,-13.787499999999998,9,True
0.825,1.0,15,4,4,0.07505908613445378,1.1746516004515466,1079,-14.1125,9,True
0.825,1.1,5,4,3,0.07217801852235817,1.187854131393224,1148,-18.8625,8,False
0.825,1.1,10,4,4,0.06960781301212719,1.1656305046113147,1059,-15.924999999999919,10,True
0.825,1.1,15,4,4,0.07231528190629269,1.1625052693036229,1035,-15.912499999999927,13,True
0.825,1.2,5,4,3,0.08856975205821171,1.2282117415005902,1124,-17.850000000000005,9,False
0.825,1.2,10,4,4,0.0953752668115301,1.2203614860649616,1030,-13.0875,10,True
0.825,1.2,15,4,4,0.09605025532444886,1.2083985646672226,1003,-13.199999999999996,13,True
0.825,1.3,5,4,3,0.08461871108035982,1.21353462205883,1106,-20.2375,9,False
0.825,1.3,10,4,3,0.10269484249055721,1.213863993579181,1001,-11.8875,10,False
0.825,1.3,15,4,3,0.09431489563068511,1.1886377835848712,971,-12.600000000000001,13,False
0.825,1.5,5,4,3,0.06076308828775528,1.1478851727612545,1078,-20.700000000000003,9,False
0.825,1.5,10,4,3,0.08422309417040359,1.172844062157381,962,-13.3625,10,False
0.825,1.5,15,4,3,0.07628971058129533,1.1499639066331138,927,-14.8125,13,False
0.825,1.75,5,4,3,0.05448329137102312,1.1334725740641116,1050,-21.287499999999998,9,False
0.825,1.75,10,4,3,0.06974232923414099,1.1306614600131943,927,-17.375,10,False
0.825,1.75,15,4,3,0.06659862808759869,1.1172808993201557,887,-21.2875,13,False
0.825,2.0,5,4,3,0.04540761288334105,1.1057497690063574,1023,-19.8625,9,False
0.825,2.0,10,4,3,0.04851769571264276,1.1069092920441324,890,-16.737499999999997,10,False
0.825,2.0,15,4,3,0.030015953882238273,1.052966386694831,844,-20.112499999999997,13,False
0.85,0.5,5,4,3,0.021073149087221098,1.074007156464023,1149,-15.0625,7,False
0.85,0.5,10,4,3,0.034391891891891894,1.1222736544067655,1120,-15.95,6,False
0.85,0.5,15,4,3,0.028901755584123417,1.0978076558363297,1113,-16.5,6,False
0.85,0.67,5,4,3,0.029443439790393627,1.0860504769045771,1073,-13.967499999999838,7,False
0.85,0.67,10,4,3,0.04434827310370788,1.1276112604560402,1030,-14.167499999999833,6,False
0.85,0.67,15,4,3,0.037241198537899194,1.1027669251153642,1023,-14.767499999999847,6,False
0.85,0.75,5,4,3,0.04044055707779465,1.115134066398178,1040,-13.787500000000005,7,False
0.85,0.75,10,4,3,0.061587955498226384,1.1649829026366256,997,-14.487499999999997,6,False
0.85,0.75,15,4,3,0.06133592909432291,1.1643270898240214,987,-15.087499999999999,6,False
0.85,1.0,5,4,4,0.07358894485683988,1.2003112899035826,974,-11.1375,7,True
0.85,1.0,10,4,4,0.09567597428686218,1.2492616969087558,914,-14.05,7,True
0.85,1.0,15,4,4,0.08630309826424501,1.20616233072574,895,-14.0,7,True
0.85,1.1,5,4,3,0.058265331080179686,1.1463886515946524,956,-11.05,7,False
0.85,1.1,10,4,3,0.07937143377048755,1.1932573783973237,885,-14.062499999999998,7,False
0.85,1.1,15,4,3,0.09221138057344956,1.2124703718116527,862,-14.662499999999998,9,False
0.85,1.2,5,4,3,0.08855133869691373,1.2254547521538885,940,-11.0,7,False
0.85,1.2,10,4,3,0.12048421245665511,1.264460040404814,863,-11.7375,7,False
0.85,1.2,15,4,4,0.12844282146371,1.282361264059388,840,-12.7625,9,True
0.85,1.3,5,4,3,0.0841526565936015,1.2064943237709593,926,-11.537499999999998,7,False
0.85,1.3,10,4,3,0.12793824788574235,1.2725547890272297,841,-12.875,7,False
0.85,1.3,15,4,4,0.13238569361063465,1.275484003019053,818,-12.587499999999999,9,True
0.85,1.5,5,4,3,0.07201467702422318,1.1702479651195017,900,-12.299999999999999,9,False
0.85,1.5,10,4,3,0.11058528530509176,1.2208080652139048,810,-13.787500000000001,8,False
0.85,1.5,15,4,3,0.10382649661495816,1.2098130488617835,780,-13.2125,9,False
0.85,1.75,5,4,3,0.061337978435585264,1.140854314732193,874,-13.537500000000001,10,False
0.85,1.75,10,4,3,0.09869809144295301,1.186623808860704,776,-16.362499999999997,9,False
0.85,1.75,15,4,3,0.08749253582802548,1.1547271610589531,744,-18.362499999999997,9,False
0.85,2.0,5,4,3,0.06028716735081399,1.132437757694684,855,-13.537500000000001,10,False
