volatility_bucket,setup_quality_bucket,trades,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
00-20%,20-40%,4,0.5,0.09062500000000001,0.031249999999999997,0.36250000000000004,1.353658536585366,-0.025000000000000022,1
00-20%,40-60%,10,0.4,-0.02125,-0.1375,-0.21250000000000002,0.9343629343629344,-2.1500000000000004,3
00-20%,60-80%,14,0.6428571428571429,0.4857142857142857,0.95,6.8,3.1501976284584985,-1.2999999999999998,2
00-20%,80-100%,6,0.16666666666666666,-0.18333333333333335,-0.35,-1.1,0.5416666666666667,-2.4000000000000004,5
20-40%,00-20%,1,0.0,-1.0,-1.0,-1.0,0.0,0.0,1
20-40%,20-40%,28,0.42857142857142855,-0.0794642857142857,-0.73125,-2.2249999999999996,0.8496621621621623,-7.1625,5
20-40%,40-60%,35,0.5428571428571428,0.19571428571428573,0.3625,6.8500000000000005,1.5626283367556468,-3.25,2
20-40%,60-80%,16,0.5,0.12265625000000002,-0.012500000000000004,1.9625000000000004,1.3398268398268398,-2.0,4
20-40%,80-100%,20,0.3,-0.198125,-0.8875,-3.9625,0.658405172413793,-4.574999999999999,5
40-60%,00-20%,1,1.0,1.3,1.3,1.3,inf,0.0,0
40-60%,20-40%,21,0.5714285714285714,0.3261904761904762,0.375,6.85,2.1115618661257614,-2.2375,2
40-60%,40-60%,41,0.3902439024390244,-0.11890243902439027,-1.0,-4.875000000000001,0.781021897810219,-6.487500000000002,4
40-60%,60-80%,25,0.48,0.17850000000000002,0.0,4.4625,1.4200000000000004,-2.0875000000000004,3
40-60%,80-100%,47,0.425531914893617,-0.04547872340425532,-1.0,-2.1375,0.9208333333333335,-5.4,5
60-80%,00-20%,4,0.75,0.675,0.75,2.7,28.0,0.0,1
60-80%,20-40%,34,0.29411764705882354,-0.2665441176470588,-1.0,-9.0625,0.5892351274787536,-9.924999999999999,10
60-80%,40-60%,42,0.42857142857142855,-0.07767857142857143,-1.0,-3.2625,0.8607257203842049,-7.9375,4
60-80%,60-80%,48,0.5,0.15625000000000003,-0.125,7.500000000000001,1.3346346904629114,-5.725000000000001,5
60-80%,80-100%,103,0.5728155339805825,0.30060679611650487,1.3,30.962500000000002,1.7227896119054564,-8.0,8
80-100%,00-20%,6,0.5,0.15000000000000002,0.15000000000000002,0.9000000000000001,1.3,-2.0,2
80-100%,20-40%,50,0.46,0.054500000000000035,-1.0,2.725000000000002,1.100925925925926,-7.7,7
80-100%,40-60%,96,0.5,0.11549479166666664,-0.46875,11.087499999999997,1.2309895833333333,-6.7,6
80-100%,60-80%,120,0.425,-0.028541666666666656,-1.0,-3.424999999999999,0.9499543378995432,-16.487499999999997,8
80-100%,80-100%,199,0.5025125628140703,0.15552763819095478,0.075,30.95,1.3205592957017092,-8.4,5
