quantile,barrier,horizon,windows,positive_windows,median_R,median_PF,total_trades,worst_DD,all_positive
0.7,0.50R,5,4,2,0.003380612941444167,1.0127657021016065,2834,-41.38749999999999,False
0.7,0.50R,10,4,3,0.008851871855368261,1.0296726483383045,2693,-44.46249999999999,False
0.7,0.50R,15,4,3,0.007217181139755766,1.0233593160094068,2649,-39.8875,False
0.7,0.67R,5,4,3,0.006038657871818294,1.0199197859366902,2607,-27.78749999999988,False
0.7,0.67R,10,4,3,0.008982199144503272,1.0256520077703914,2423,-32.482499999999774,False
0.7,0.67R,15,4,4,0.011505368291606234,1.0311295472412003,2370,-28.3874999999998,True
0.7,0.75R,5,4,3,0.004683967932109191,1.0140244348067113,2528,-36.650000000000006,False
0.7,0.75R,10,4,3,0.010386652542372879,1.0278747749209587,2329,-42.22499999999999,False
0.7,0.75R,15,4,3,0.004717284765346088,1.0120972778187858,2270,-38.17499999999999,False
0.7,1.00R,5,4,4,0.02372601948323605,1.065030192365747,2363,-30.525000000000002,True
0.7,1.00R,10,4,4,0.02816091954022988,1.0677768198456132,2124,-38.23749999999998,True
0.7,1.00R,15,4,4,0.019779250781492348,1.0431249530264441,2062,-34.9375,True
0.75,0.50R,5,4,2,0.005777972083659829,1.0276604085503767,2230,-24.975,False
0.75,0.50R,10,4,2,-0.0009278360095153152,0.9993541308017051,2136,-28.112499999999986,False
0.75,0.50R,15,4,2,0.003121086021582925,1.0116737016829391,2105,-25.0625,False
0.75,0.67R,5,4,3,0.006156225772744129,1.0167434751309865,2067,-19.727500000000003,False
0.75,0.67R,10,4,2,-0.004941120087635224,0.9865260131975011,1943,-21.012500000000006,False
0.75,0.67R,15,4,3,0.0026681131785066905,1.0067715037202487,1906,-19.922500000000007,False
0.75,0.75R,5,4,2,0.005432033333571668,1.013929060907449,2006,-18.9,False
0.75,0.75R,10,4,2,-0.00011556772390485491,0.999357019400894,1880,-22.2125,False
0.75,0.75R,15,4,3,0.007987067892491392,1.0199074971250326,1839,-20.6125,False
0.75,1.00R,5,4,3,0.022963219378660554,1.066268923340227,1867,-14.349999999999998,False
0.75,1.00R,10,4,3,0.027658710304723784,1.0638849543683442,1707,-18.875,False
0.75,1.00R,15,4,3,0.030564100640256102,1.0671331057617595,1657,-16.1125,False
0.8,0.50R,5,4,2,-0.0015803485247244927,1.0001943782963933,1689,-21.9375,False
0.8,0.50R,10,4,2,0.014386368348632498,1.0596672228212787,1627,-21.875,False
0.8,0.50R,15,4,2,0.012409348880996847,1.0483651276088004,1616,-22.1625,False
0.8,0.67R,5,4,3,0.013435688079405124,1.0384153731655676,1560,-15.054999999999936,False
0.8,0.67R,10,4,3,0.020259025971062123,1.0583847732719303,1484,-17.13499999999996,False
0.8,0.67R,15,4,3,0.010403134370314853,1.0277220664969144,1466,-18.62249999999996,False
0.8,0.75R,5,4,3,0.026307368491203124,1.0763648835292168,1511,-14.625,False
0.8,0.75R,10,4,3,0.03924057124622647,1.111116218091293,1425,-17.8125,False
0.8,0.75R,15,4,3,0.03337341645065898,1.0879507552454593,1406,-18.6125,False
0.8,1.00R,5,4,3,0.04834219156107862,1.1318023437374238,1406,-13.962499999999999,False
0.8,1.00R,10,4,3,0.06016039589842781,1.1484739779797344,1292,-16.262499999999996,False
0.8,1.00R,15,4,4,0.055045828065739565,1.124508368490487,1269,-14.5,True
0.85,0.50R,5,4,3,0.021073149087221098,1.074007156464023,1149,-15.0625,False
0.85,0.50R,10,4,3,0.034391891891891894,1.1222736544067655,1120,-15.95,False
0.85,0.50R,15,4,3,0.028901755584123417,1.0978076558363297,1113,-16.5,False
0.85,0.67R,5,4,3,0.029443439790393627,1.0860504769045771,1073,-13.967499999999838,False
0.85,0.67R,10,4,3,0.04434827310370788,1.1276112604560402,1030,-14.167499999999833,False
0.85,0.67R,15,4,3,0.037241198537899194,1.1027669251153642,1023,-14.767499999999847,False
0.85,0.75R,5,4,3,0.04044055707779465,1.115134066398178,1040,-13.787500000000005,False
0.85,0.75R,10,4,3,0.061587955498226384,1.1649829026366256,997,-14.487499999999997,False
0.85,0.75R,15,4,3,0.06133592909432291,1.1643270898240214,987,-15.087499999999999,False
0.85,1.00R,5,4,4,0.07358894485683988,1.2003112899035826,974,-11.1375,True
0.85,1.00R,10,4,4,0.09567597428686218,1.2492616969087558,914,-14.05,True
0.85,1.00R,15,4,4,0.08630309826424501,1.20616233072574,895,-14.0,True
