trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
1210,0.6297520661157024,-0.02527892561983471,-30.5875,0.9242930511725759,-41.38749999999999,8,-2.198736788448666,1,0.7,0.50R,5
1182,0.6412859560067682,-0.027686125211505923,-32.725,0.9198702252693437,-44.46249999999999,8,-2.3135997965749415,1,0.7,0.50R,10
1174,0.6473594548551959,-0.02213586030664395,-25.987499999999997,0.9357361441686501,-39.8875,8,-1.8526934610295207,1,0.7,0.50R,15
1121,0.5789473684210527,0.0009656556645851993,1.0825000000000085,1.0025952231112707,-27.78749999999988,8,0.06902646545155151,1,0.7,0.67R,5
1083,0.5937211449676824,-0.003825023084025849,-4.142499999999995,0.990252654489838,-32.482499999999774,8,-0.2585838132905968,1,0.7,0.67R,10
1074,0.5949720670391061,0.0016201117318435773,1.740000000000002,1.0041101957657896,-28.3874999999998,8,0.10977485813845383,1,0.7,0.67R,15
1076,0.5566914498141264,0.0032063197026022264,3.4499999999999957,1.0081920987800896,-36.650000000000006,9,0.19840856993167783,1,0.7,0.75R,5
1032,0.5678294573643411,-0.0038638565891472875,-3.9875000000000007,0.9907156785703891,-42.22499999999999,8,-0.22171173340096775,1,0.7,0.75R,10
1018,0.5667976424361493,-3.4898955587431244e-18,-3.552713678800501e-15,1.0,-38.17499999999999,8,0.0,1,0.7,0.75R,15
994,0.5070422535211268,0.02665995975855131,26.5,1.0625036853588066,-30.525000000000002,12,1.2690450416790628,1,0.7,1.00R,5
932,0.5107296137339056,0.018575643776824035,17.3125,1.0399077942659558,-38.23749999999998,8,0.8238632087416813,1,0.7,1.00R,10
916,0.5120087336244541,0.022721069868995636,20.812500000000004,1.0478063626966807,-34.9375,10,1.0191170862705896,1,0.7,1.00R,15
963,0.6407061266874351,-0.011552440290758052,-11.125000000000004,0.9646306084330167,-24.975,6,-0.9471866983648527,1,0.75,0.50R,5
944,0.652542372881356,-0.012738347457627119,-12.025,0.9621453586746941,-28.112499999999986,6,-0.9876870311953148,1,0.75,0.50R,10
939,0.6560170394036209,-0.010010649627263044,-9.399999999999999,0.9703575229610943,-25.0625,5,-0.7716025780705599,1,0.75,0.50R,15
899,0.5850945494994438,0.009388209121245824,8.439999999999996,1.025295968829612,-16.702499999999965,6,0.597461566427253,1,0.75,0.67R,5
872,0.5963302752293578,0.001181192660550452,1.029999999999994,1.0030308603376614,-21.012500000000006,6,0.07262865133196096,1,0.75,0.67R,10
865,0.6,0.005106936416184974,4.417500000000002,1.0129474262685474,-19.25249999999997,6,0.30917315931026246,1,0.75,0.67R,15
866,0.5681293302540416,0.019803695150115472,17.15,1.0511444121374787,-18.374999999999993,6,1.1218013314795803,1,0.75,0.75R,5
835,0.5748502994011976,0.008772455089820363,7.325000000000003,1.02136580741605,-22.2125,6,0.4715026986752136,1,0.75,0.75R,10
827,0.5767835550181378,0.013104594921402656,10.837499999999997,1.0314986376021797,-20.6125,6,0.6905945974081359,1,0.75,0.75R,15
790,0.5088607594936709,0.03615506329113924,28.5625,1.0845106886604037,-13.65,8,1.9151934349069037,1,0.75,1.00R,5
746,0.5120643431635389,0.026725871313672923,19.9375,1.0574547026403949,-18.875,6,1.2326273667804621,1,0.75,1.00R,10
735,0.5156462585034014,0.03241496598639456,23.825,1.0682420336555674,-16.1125,7,1.496784251392671,1,0.75,1.00R,15
731,0.6388508891928865,-0.017818057455540357,-13.025,0.94614430432086,-21.9375,5,-1.154592996825078,1,0.8,0.50R,5
715,0.6489510489510489,-0.020856643356643355,-14.9125,0.9391729975016572,-21.875,5,-1.2941442721669176,1,0.8,0.50R,10
712,0.648876404494382,-0.020821629213483146,-14.825,0.9396928709447778,-22.1625,5,-1.2822247830378906,1,0.8,0.50R,15
686,0.5947521865889213,0.019708454810495636,13.520000000000007,1.0537067381697207,-15.054999999999936,8,1.1321935976935338,1,0.8,0.67R,5
