window,volatility_bucket,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,trades_per_day,mean_daily_R,profitable_days,losing_days,worst_day_R,daily_sharpe
1,LOW,0,,,0.0,,,0,,0.0,,0,0,,
1,NORMAL,35,0.5142857142857142,0.18392857142857147,6.437500000000002,1.432409739714526,-2.5250000000000004,3,6.885714285714286,1.5909090909090908,0.07152777777777777,12,10,-2.0,1.6669006768091923
1,HIGH,80,0.4625,0.07999999999999999,6.3999999999999995,1.157829839704069,-6.7,7,5.375,2.5806451612903225,0.07111111111111111,15,16,-3.0,0.9675039460245041
1,EXTREME,303,0.47854785478547857,0.09657590759075906,29.262499999999996,1.1852056962025317,-10.537500000000001,10,2.867986798679868,7.575,0.3251388888888889,22,18,-4.1,2.689028776428438
2,LOW,8,0.5,0.15468750000000003,1.2375000000000003,1.4124999999999999,-2.0,2,11.125,1.1428571428571428,0.02171052631578948,4,2,-1.0,1.0940644208889938
2,NORMAL,98,0.4489795918367347,0.04948979591836732,4.849999999999998,1.0991820040899793,-10.575000000000001,7,5.8061224489795915,2.6486486486486487,0.0538888888888889,18,19,-4.6375,0.7479593547456774
2,HIGH,59,0.4915254237288136,0.10529661016949153,6.2125,1.2144089732528038,-4.3375,4,3.542372881355932,2.0344827586206895,0.06980337078651687,18,11,-2.0,1.4647901073053697
2,EXTREME,17,0.5294117647058824,0.21764705882352942,3.7,1.4625000000000001,-3.0,3,2.0588235294117645,1.5454545454545454,0.05692307692307692,8,3,-1.0,2.265780646214557
3,LOW,2,1.0,0.95,1.9,inf,0.0,0,9.0,1.0,0.036538461538461534,2,0,0.0,2.943335431880539
3,NORMAL,90,0.45555555555555555,0.026805555555555576,2.412500000000002,1.058751902587519,-7.500000000000001,6,8.555555555555555,2.3684210526315788,0.02651098901098902,17,21,-2.0,0.4584020490766738
3,HIGH,49,0.3877551020408163,-0.15663265306122448,-7.675,0.7441666666666668,-10.3,9,5.714285714285714,2.130434782608696,-0.08342391304347825,9,14,-6.0,-1.49714148808729
3,EXTREME,13,0.46153846153846156,0.06153846153846158,0.8000000000000005,1.1142857142857143,-2.0,2,3.6153846153846154,1.8571428571428572,0.014035087719298246,3,4,-1.0,0.4771703222919492
4,LOW,41,0.5121951219512195,0.2149390243902439,8.8125,1.7157360406091369,-3.1000000000000005,5,11.170731707317072,2.1578947368421053,0.11908783783783784,10,9,-1.4,1.8529554493439082
4,NORMAL,167,0.48502994011976047,0.10359281437125747,17.299999999999997,1.2207688626575213,-10.999999999999996,8,6.383233532934132,3.630434782608696,0.236986301369863,23,23,-4.0,2.3997258269698145
4,HIGH,9,0.5555555555555556,0.27777777777777785,2.5000000000000004,1.625,-2.0,2,3.0,2.25,0.16666666666666666,4,0,0.0,7.351470441147052
4,EXTREME,0,,,0.0,,,0,,0.0,,0,0,,
