trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,tail_percent,rr,horizon,probability_threshold,model,auc
228,0.4780701754385965,0.0625548245614035,14.2625,1.1238601823708203,-14.262500000000014,6,2.986842105263158,19,18,1.3965339967861197,1,9.999999999999998,1.2,10,0.0,baseline,0.49787595581988103
78,0.5,0.09999999999999999,7.799999999999999,1.2000000000000004,-6.999999999999998,6,2.3974358974358974,18,14,1.3620557280640693,1,9.999999999999998,1.2,10,0.5,xgboost,0.49787595581988103
75,0.5066666666666667,0.11466666666666661,8.599999999999996,1.232432432432433,-6.999999999999998,6,2.4133333333333336,18,14,1.5295101180616753,1,9.999999999999998,1.2,10,0.52,xgboost,0.49787595581988103
64,0.484375,0.06562499999999999,4.199999999999999,1.1272727272727276,-7.999999999999998,7,2.375,16,16,0.7794050712315382,1,9.999999999999998,1.2,10,0.54,xgboost,0.49787595581988103
57,0.5087719298245614,0.11929824561403507,6.799999999999999,1.242857142857143,-6.199999999999998,5,2.43859649122807,15,13,1.3877000046441086,1,9.999999999999998,1.2,10,0.56,xgboost,0.49787595581988103
46,0.4782608695652174,0.05217391304347825,2.3999999999999995,1.0999999999999999,-6.8,5,2.391304347826087,14,13,0.5289954662898246,1,9.999999999999998,1.2,10,0.58,xgboost,0.49787595581988103
39,0.46153846153846156,0.015384615384615347,0.5999999999999985,1.0285714285714285,-7.0,5,2.41025641025641,12,11,0.15557714092808964,1,9.999999999999998,1.2,10,0.6,xgboost,0.49787595581988103
227,0.4933920704845815,0.073568281938326,16.700000000000003,1.1459949732269694,-14.412500000000014,6,3.066079295154185,21,16,1.608652041685472,1,9.999999999999998,1.2,12,0.0,baseline,0.5025700934579439
78,0.5128205128205128,0.1282051282051282,9.999999999999998,1.263157894736842,-8.200000000000001,7,2.5641025641025643,18,13,1.5556893562048593,1,9.999999999999998,1.2,12,0.5,xgboost,0.5025700934579439
73,0.4931506849315068,0.08493150684931505,6.199999999999999,1.1675675675675679,-8.399999999999999,7,2.6301369863013697,17,14,1.084519155860927,1,9.999999999999998,1.2,12,0.52,xgboost,0.5025700934579439
67,0.5074626865671642,0.1164179104477612,7.800000000000001,1.2363636363636366,-6.399999999999999,6,2.671641791044776,18,13,1.4496316995251755,1,9.999999999999998,1.2,12,0.54,xgboost,0.5025700934579439
64,0.5,0.09999999999999999,6.3999999999999995,1.2,-7.599999999999999,7,2.734375,17,13,1.1673635434540313,1,9.999999999999998,1.2,12,0.56,xgboost,0.5025700934579439
