source_index,trade_index,window,entry_timestamp,net_R,outcome,exit_reason,mae_at_1,mae_at_2,mae_at_3,mae_at_4,mae_at_5,mae_at_6,mae_at_7,mae_at_8,mae_at_10,mae_at_12,mae_at_14
0,4,1,2021-05-07 14:01:00-04:00,-1.0444,LOSS,stop,0.42,0.96,0.96,0.96,0.96,0.96,1.09,1.24,1.3,1.35,1.35
1,5,1,2021-05-10 13:55:00-04:00,1.7056,WIN,target,0.23,0.63,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
2,6,1,2021-05-17 13:31:00-04:00,0.1656,WIN,timeout,0.15,0.15,0.26,0.54,0.88,0.88,0.88,0.88,0.88,0.88,0.88
3,27,1,2021-07-08 14:32:00-04:00,0.0556,WIN,timeout,0.36,0.68,0.68,0.75,0.75,0.75,0.75,0.75,0.75,0.84,0.84
4,33,1,2021-07-16 10:11:00-04:00,0.2156,WIN,timeout,0.11,0.5,0.56,0.56,0.56,0.56,0.77,0.77,0.77,0.77,0.77
5,34,1,2021-07-16 11:14:00-04:00,-0.5444,LOSS,timeout,0.27,0.27,0.27,0.69,0.71,0.71,0.77,0.8,0.8,0.8,0.8
6,41,1,2021-07-30 10:33:00-04:00,-1.0444,LOSS,stop,0.18,0.45,0.9,0.9,0.9,0.9,0.9,1.07,1.28,1.36,1.36
7,42,1,2021-08-02 12:07:00-04:00,-1.0444,LOSS,stop,0.04,0.04,0.16,0.25,0.42,0.57,0.61,0.75,0.8,0.87,0.87
8,43,2,2021-09-22 09:36:00-04:00,-1.0444,LOSS,stop,0.55,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
9,44,3,2021-11-08 10:42:00-05:00,-1.0444,LOSS,stop,0.44,0.53,0.78,1.24,1.54,1.54,1.57,1.57,1.57,1.57,1.68
10,47,3,2021-11-10 11:42:00-05:00,-1.0444,LOSS,stop,0.02,0.02,0.23,0.61,0.61,0.7,0.87,0.98,1.17,1.27,1.53
11,49,3,2021-11-15 10:32:00-05:00,-0.8344,LOSS,timeout,0.32,0.43,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
12,52,3,2021-11-17 16:07:00-05:00,-1.0444,LOSS,stop,0.1,0.22,0.35,0.35,0.43,0.74,0.76,0.76,0.76,0.76,1.18
