mae_threshold_R,decision_bar,outcome,trades,pct
0.25,1,LOSS,112,0.8682170542635659
0.25,1,WIN,17,0.13178294573643412
0.25,2,LOSS,140,0.8641975308641975
0.25,2,WIN,22,0.13580246913580246
0.25,3,LOSS,150,0.8620689655172413
0.25,3,WIN,24,0.13793103448275862
0.25,4,LOSS,160,0.8602150537634409
0.25,4,WIN,26,0.13978494623655913
0.25,5,LOSS,166,0.8601036269430051
0.25,5,WIN,27,0.13989637305699482
0.25,6,LOSS,167,0.8608247422680413
0.25,6,WIN,27,0.13917525773195877
0.25,7,LOSS,168,0.8615384615384616
0.25,7,WIN,27,0.13846153846153847
0.25,8,LOSS,168,0.8615384615384616
0.25,8,WIN,27,0.13846153846153847
0.25,10,LOSS,168,0.8615384615384616
0.25,10,WIN,27,0.13846153846153847
0.25,12,LOSS,168,0.8615384615384616
0.25,12,WIN,27,0.13846153846153847
0.25,14,LOSS,168,0.8615384615384616
0.25,14,WIN,27,0.13846153846153847
0.5,1,LOSS,48,0.9056603773584906
0.5,1,WIN,5,0.09433962264150944
0.5,2,LOSS,94,0.8785046728971962
0.5,2,WIN,13,0.12149532710280374
0.5,3,LOSS,116,0.8787878787878788
0.5,3,WIN,16,0.12121212121212122
0.5,4,LOSS,141,0.8650306748466258
0.5,4,WIN,22,0.13496932515337423
0.5,5,LOSS,150,0.8571428571428571
0.5,5,WIN,25,0.14285714285714285
0.5,6,LOSS,160,0.8602150537634409
0.5,6,WIN,26,0.13978494623655913
0.5,7,LOSS,168,0.8615384615384616
0.5,7,WIN,27,0.13846153846153847
0.5,8,LOSS,168,0.8615384615384616
0.5,8,WIN,27,0.13846153846153847
0.5,10,LOSS,168,0.8615384615384616
0.5,10,WIN,27,0.13846153846153847
0.5,12,LOSS,168,0.8615384615384616
0.5,12,WIN,27,0.13846153846153847
0.5,14,LOSS,168,0.8615384615384616
0.5,14,WIN,27,0.13846153846153847
0.6,1,LOSS,31,0.8611111111111112
0.6,1,WIN,5,0.1388888888888889
0.6,2,LOSS,72,0.8780487804878049
0.6,2,WIN,10,0.12195121951219512
0.6,3,LOSS,101,0.8706896551724138
0.6,3,WIN,15,0.12931034482758622
0.6,4,LOSS,128,0.8648648648648649
0.6,4,WIN,20,0.13513513513513514
0.6,5,LOSS,141,0.8545454545454545
0.6,5,WIN,24,0.14545454545454545
0.6,6,LOSS,154,0.8651685393258427
0.6,6,WIN,24,0.1348314606741573
0.6,7,LOSS,164,0.8631578947368421
0.6,7,WIN,26,0.1368421052631579
0.6,8,LOSS,168,0.8615384615384616
0.6,8,WIN,27,0.13846153846153847
0.6,10,LOSS,168,0.8615384615384616
0.6,10,WIN,27,0.13846153846153847
0.6,12,LOSS,168,0.8615384615384616
0.6,12,WIN,27,0.13846153846153847
0.6,14,LOSS,168,0.8615384615384616
0.6,14,WIN,27,0.13846153846153847
0.7,1,LOSS,22,0.9166666666666666
0.7,1,WIN,2,0.08333333333333333
0.7,2,LOSS,55,0.9016393442622951
0.7,2,WIN,6,0.09836065573770492
0.7,3,LOSS,86,0.8775510204081632
0.7,3,WIN,12,0.12244897959183673
0.7,4,LOSS,111,0.8740157480314961
0.7,4,WIN,16,0.12598425196850394
0.7,5,LOSS,131,0.8562091503267973
0.7,5,WIN,22,0.1437908496732026
0.7,6,LOSS,146,0.8690476190476191
0.7,6,WIN,22,0.13095238095238096
0.7,7,LOSS,162,0.8663101604278075
0.7,7,WIN,25,0.13368983957219252
0.7,8,LOSS,168,0.8615384615384616
0.7,8,WIN,27,0.13846153846153847
0.7,10,LOSS,168,0.8615384615384616
0.7,10,WIN,27,0.13846153846153847
0.7,12,LOSS,168,0.8615384615384616
0.7,12,WIN,27,0.13846153846153847
0.7,14,LOSS,168,0.8615384615384616
0.7,14,WIN,27,0.13846153846153847
0.75,1,LOSS,17,0.8947368421052632
0.75,1,WIN,2,0.10526315789473684
0.75,2,LOSS,47,0.9038461538461539
0.75,2,WIN,5,0.09615384615384616
0.75,3,LOSS,77,0.875
0.75,3,WIN,11,0.125
0.75,4,LOSS,104,0.8739495798319328
0.75,4,WIN,15,0.12605042016806722
0.75,5,LOSS,119,0.8439716312056738
0.75,5,WIN,22,0.15602836879432624
0.75,6,LOSS,138,0.8625
0.75,6,WIN,22,0.1375
0.75,7,LOSS,157,0.8626373626373627
0.75,7,WIN,25,0.13736263736263737
0.75,8,LOSS,168,0.8615384615384616
0.75,8,WIN,27,0.13846153846153847
0.75,10,LOSS,168,0.8615384615384616
0.75,10,WIN,27,0.13846153846153847
0.75,12,LOSS,168,0.8615384615384616
0.75,12,WIN,27,0.13846153846153847
0.75,14,LOSS,168,0.8615384615384616
0.75,14,WIN,27,0.13846153846153847
0.8,1,LOSS,13,0.8666666666666667
0.8,1,WIN,2,0.13333333333333333
0.8,2,LOSS,39,0.9069767441860465
0.8,2,WIN,4,0.09302325581395349
0.8,3,LOSS,66,0.9166666666666666
0.8,3,WIN,6,0.08333333333333333
0.8,4,LOSS,91,0.91
0.8,4,WIN,9,0.09
0.8,5,LOSS,107,0.8842975206611571
0.8,5,WIN,14,0.11570247933884298
0.8,6,LOSS,126,0.9
0.8,6,WIN,14,0.1
0.8,7,LOSS,142,0.8987341772151899
0.8,7,WIN,16,0.10126582278481013
0.8,8,LOSS,156,0.896551724137931
0.8,8,WIN,18,0.10344827586206896
0.8,10,LOSS,159,0.8932584269662921
0.8,10,WIN,19,0.10674157303370786
0.8,12,LOSS,162,0.8901098901098901
0.8,12,WIN,20,0.10989010989010989
0.8,14,LOSS,164,0.8913043478260869
0.8,14,WIN,20,0.10869565217391304
0.85,1,LOSS,9,0.9
0.85,1,WIN,1,0.1
0.85,2,LOSS,34,0.918918918918919
0.85,2,WIN,3,0.08108108108108109
0.85,3,LOSS,58,0.9206349206349206
