mae_threshold_R,decision_bar,triggered_trades,later_mae_recovery_below_threshold,recovery_below_threshold_pct,eventual_target_or_win,eventual_target_or_win_pct,eventual_stop_or_loss,eventual_stop_or_loss_pct
0.25,1,129,0,0.0,17,0.13178294573643412,112,0.8682170542635659
0.5,1,53,0,0.0,5,0.09433962264150944,48,0.9056603773584906
0.6,1,36,0,0.0,5,0.1388888888888889,31,0.8611111111111112
0.7,1,24,0,0.0,2,0.08333333333333333,22,0.9166666666666666
0.75,1,19,0,0.0,2,0.10526315789473684,17,0.8947368421052632
0.8,1,15,0,0.0,2,0.13333333333333333,13,0.8666666666666667
0.85,1,10,0,0.0,1,0.1,9,0.9
0.9,1,8,0,0.0,1,0.125,7,0.875
0.95,1,8,0,0.0,1,0.125,7,0.875
1.0,1,4,0,0.0,0,0.0,4,1.0
0.25,2,162,0,0.0,22,0.13580246913580246,140,0.8641975308641975
0.5,2,107,0,0.0,13,0.12149532710280374,94,0.8785046728971962
0.6,2,82,0,0.0,10,0.12195121951219512,72,0.8780487804878049
0.7,2,61,0,0.0,6,0.09836065573770492,55,0.9016393442622951
0.75,2,52,0,0.0,5,0.09615384615384616,47,0.9038461538461539
0.8,2,43,0,0.0,4,0.09302325581395349,39,0.9069767441860465
0.85,2,37,0,0.0,3,0.08108108108108109,34,0.918918918918919
0.9,2,32,0,0.0,2,0.0625,30,0.9375
0.95,2,26,0,0.0,2,0.07692307692307693,24,0.9230769230769231
1.0,2,17,0,0.0,0,0.0,17,1.0
0.25,3,174,0,0.0,24,0.13793103448275862,150,0.8620689655172413
0.5,3,132,0,0.0,16,0.12121212121212122,116,0.8787878787878788
0.6,3,116,0,0.0,15,0.12931034482758622,101,0.8706896551724138
0.7,3,98,0,0.0,12,0.12244897959183673,86,0.8775510204081632
0.75,3,88,0,0.0,11,0.125,77,0.875
0.8,3,72,0,0.0,6,0.08333333333333333,66,0.9166666666666666
0.85,3,63,0,0.0,5,0.07936507936507936,58,0.9206349206349206
0.9,3,52,0,0.0,4,0.07692307692307693,48,0.9230769230769231
0.95,3,45,0,0.0,4,0.08888888888888889,41,0.9111111111111111
1.0,3,34,0,0.0,0,0.0,34,1.0
0.25,4,186,0,0.0,26,0.13978494623655913,160,0.8602150537634409
0.5,4,163,0,0.0,22,0.13496932515337423,141,0.8650306748466258
0.6,4,148,0,0.0,20,0.13513513513513514,128,0.8648648648648649
