sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct
DEVELOPMENT,0.7,2,95,22,-67.49,-56.800000000000004,10.68999999999999,-0.7104210526315788,-0.5978947368421053,0.11252631578947359,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.17812183475618584,-69.04999999999997,-58.639999999999986,10.409999999999982,1,10,0.1
HOLDOUT,0.7,2,100,39,-65.64999999999999,-75.73999999999998,-10.08999999999999,-0.6564999999999999,-0.7573999999999999,-0.10089999999999999,0.27,0.15,-0.12000000000000002,0.3409296255396045,0.18838405486498078,-64.88999999999997,-75.25999999999996,-10.36999999999999,2,10,0.2
DEVELOPMENT,0.7,3,95,46,-67.49,-56.82,10.669999999999995,-0.7104210526315788,-0.5981052631578947,0.11231578947368415,0.21052631578947367,0.12631578947368421,-0.08421052631578946,0.18559189091347894,0.10251145158742693,-69.04999999999997,-56.06,12.989999999999966,0,10,0.0
HOLDOUT,0.7,3,100,52,-65.64999999999999,-74.58999999999999,-8.939999999999998,-0.6564999999999999,-0.7458999999999999,-0.08940000000000003,0.27,0.12,-0.15000000000000002,0.3409296255396045,0.1386836027713626,-64.88999999999997,-74.10999999999997,-9.219999999999999,2,10,0.2
DEVELOPMENT,0.7,4,95,54,-67.49,-53.629999999999995,13.86,-0.7104210526315788,-0.5645263157894737,0.1458947368421052,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.10497329773030709,-69.04999999999997,-52.87000000000002,16.17999999999995,0,10,0.0
HOLDOUT,0.7,4,100,73,-65.64999999999999,-74.30000000000001,-8.65000000000002,-0.6564999999999999,-0.7430000000000001,-0.08650000000000024,0.27,0.08,-0.19,0.3409296255396045,0.08090054428500741,-64.88999999999997,-73.82000000000001,-8.930000000000035,1,10,0.1
DEVELOPMENT,0.7,5,95,69,-67.49,-55.78999999999999,11.700000000000003,-0.7104210526315788,-0.5872631578947367,0.12315789473684213,0.21052631578947367,0.06315789473684211,-0.14736842105263157,0.18559189091347894,0.06282546615152025,-69.04999999999997,-55.03,14.019999999999968,0,10,0.0
HOLDOUT,0.7,5,100,84,-65.64999999999999,-68.71000000000001,-3.0600000000000165,-0.6564999999999999,-0.6871,-0.030600000000000183,0.27,0.05,-0.22000000000000003,0.3409296255396045,0.07461279461279462,-64.88999999999997,-68.23000000000002,-3.340000000000046,1,10,0.1
DEVELOPMENT,0.7,6,95,76,-67.49,-55.609999999999985,11.88000000000001,-0.7104210526315788,-0.5853684210526314,0.12505263157894742,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.05745762711864408,-69.04999999999997,-54.85000000000001,14.19999999999996,0,10,0.0
HOLDOUT,0.7,6,100,92,-65.64999999999999,-66.97000000000001,-1.3200000000000216,-0.6564999999999999,-0.6697000000000002,-0.013200000000000323,0.27,0.03,-0.24000000000000002,0.3409296255396045,0.04750391125017778,-64.88999999999997,-66.49000000000001,-1.600000000000037,1,10,0.1
