sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct,index,window,triggered,crossing_bar
DEVELOPMENT,0.7,2,,,-1.04,-0.76,,,,,,,,,,,,,,,,0,1.0,True,2.0
DEVELOPMENT,0.7,2,,,2.03,2.03,,,,,,,,,,,,,,,,1,1.0,False,
DEVELOPMENT,0.7,2,,,0.21,0.21,,,,,,,,,,,,,,,,2,1.0,False,
DEVELOPMENT,0.7,2,,,0.1,0.1,,,,,,,,,,,,,,,,3,1.0,False,
DEVELOPMENT,0.7,2,,,0.26,0.26,,,,,,,,,,,,,,,,4,1.0,False,
DEVELOPMENT,0.7,2,,,-0.5,-0.5,,,,,,,,,,,,,,,,5,1.0,False,
DEVELOPMENT,0.7,2,,,-0.73,-0.73,,,,,,,,,,,,,,,,6,1.0,False,
DEVELOPMENT,0.7,2,,,-0.71,-0.71,,,,,,,,,,,,,,,,7,1.0,False,
DEVELOPMENT,0.7,2,,,-1.7,-0.29,,,,,,,,,,,,,,,,8,2.0,True,2.0
DEVELOPMENT,0.7,2,,,-1.35,-1.35,,,,,,,,,,,,,,,,9,3.0,False,
DEVELOPMENT,0.7,2,,,-1.25,-1.25,,,,,,,,,,,,,,,,10,3.0,False,
DEVELOPMENT,0.7,2,,,-0.79,-0.79,,,,,,,,,,,,,,,,11,3.0,False,
DEVELOPMENT,0.7,2,,,-0.93,-0.93,,,,,,,,,,,,,,,,12,3.0,False,
DEVELOPMENT,0.7,2,,,-0.74,-0.74,,,,,,,,,,,,,,,,13,3.0,False,
DEVELOPMENT,0.7,2,,,0.78,0.78,,,,,,,,,,,,,,,,14,3.0,False,
DEVELOPMENT,0.7,2,,,0.24,0.24,,,,,,,,,,,,,,,,15,3.0,False,
DEVELOPMENT,0.7,2,,,2.11,-0.7,,,,,,,,,,,,,,,,16,3.0,True,1.0
DEVELOPMENT,0.7,2,,,-1.2,-0.55,,,,,,,,,,,,,,,,17,3.0,True,1.0
DEVELOPMENT,0.7,2,,,-0.46,-0.96,,,,,,,,,,,,,,,,18,3.0,True,2.0
DEVELOPMENT,0.7,2,,,-0.34,-0.34,,,,,,,,,,,,,,,,19,3.0,False,
DEVELOPMENT,0.7,2,,,-0.38,-0.38,,,,,,,,,,,,,,,,20,3.0,False,
DEVELOPMENT,0.7,2,,,-0.35,-0.35,,,,,,,,,,,,,,,,21,3.0,False,
DEVELOPMENT,0.7,2,,,-1.93,-0.27,,,,,,,,,,,,,,,,22,3.0,True,2.0
DEVELOPMENT,0.7,2,,,0.09,0.09,,,,,,,,,,,,,,,,23,4.0,False,
DEVELOPMENT,0.7,2,,,-6.46,-0.69,,,,,,,,,,,,,,,,24,5.0,True,1.0
DEVELOPMENT,0.7,2,,,-0.08,-0.08,,,,,,,,,,,,,,,,25,5.0,False,
DEVELOPMENT,0.7,2,,,-1.35,-1.35,,,,,,,,,,,,,,,,26,5.0,False,
DEVELOPMENT,0.7,2,,,-0.39,-0.39,,,,,,,,,,,,,,,,27,5.0,False,
DEVELOPMENT,0.7,2,,,-1.04,-0.79,,,,,,,,,,,,,,,,28,5.0,True,2.0
DEVELOPMENT,0.7,2,,,-2.71,-0.18,,,,,,,,,,,,,,,,29,5.0,True,1.0
DEVELOPMENT,0.7,2,,,-1.97,-0.83,,,,,,,,,,,,,,,,30,5.0,True,2.0
DEVELOPMENT,0.7,2,,,-0.77,-0.77,,,,,,,,,,,,,,,,31,6.0,False,
DEVELOPMENT,0.7,2,,,-0.83,-0.83,,,,,,,,,,,,,,,,32,6.0,False,
DEVELOPMENT,0.7,2,,,-0.62,-0.62,,,,,,,,,,,,,,,,33,6.0,False,
DEVELOPMENT,0.7,2,,,-1.81,-1.81,,,,,,,,,,,,,,,,34,6.0,False,
DEVELOPMENT,0.7,2,,,-1.56,-1.56,,,,,,,,,,,,,,,,35,6.0,False,
DEVELOPMENT,0.7,2,,,0.35,0.35,,,,,,,,,,,,,,,,36,6.0,False,
DEVELOPMENT,0.7,2,,,1.25,1.25,,,,,,,,,,,,,,,,37,6.0,False,
DEVELOPMENT,0.7,2,,,0.55,0.55,,,,,,,,,,,,,,,,38,6.0,False,
DEVELOPMENT,0.7,2,,,-1.43,-1.43,,,,,,,,,,,,,,,,39,6.0,False,
DEVELOPMENT,0.7,2,,,-2.92,-2.92,,,,,,,,,,,,,,,,40,6.0,False,
DEVELOPMENT,0.7,2,,,-0.47,-0.47,,,,,,,,,,,,,,,,41,6.0,False,
DEVELOPMENT,0.7,2,,,0.1,0.1,,,,,,,,,,,,,,,,42,6.0,False,
DEVELOPMENT,0.7,2,,,-0.61,-0.61,,,,,,,,,,,,,,,,43,6.0,False,
DEVELOPMENT,0.7,2,,,-0.8,-0.8,,,,,,,,,,,,,,,,44,6.0,False,
DEVELOPMENT,0.7,2,,,-0.51,-0.51,,,,,,,,,,,,,,,,45,6.0,False,
DEVELOPMENT,0.7,2,,,-1.25,-0.59,,,,,,,,,,,,,,,,46,6.0,True,2.0
DEVELOPMENT,0.7,2,,,-0.45,-0.45,,,,,,,,,,,,,,,,47,6.0,False,
DEVELOPMENT,0.7,2,,,-0.75,-0.75,,,,,,,,,,,,,,,,48,8.0,False,
DEVELOPMENT,0.7,2,,,-1.75,-1.75,,,,,,,,,,,,,,,,49,9.0,False,
DEVELOPMENT,0.7,2,,,-0.21,-0.21,,,,,,,,,,,,,,,,50,9.0,False,
DEVELOPMENT,0.7,2,,,-0.68,-0.68,,,,,,,,,,,,,,,,51,9.0,False,
DEVELOPMENT,0.7,2,,,-0.94,-0.94,,,,,,,,,,,,,,,,52,9.0,False,
DEVELOPMENT,0.7,2,,,-1.3,-1.3,,,,,,,,,,,,,,,,53,9.0,False,
DEVELOPMENT,0.7,2,,,-0.03,-0.63,,,,,,,,,,,,,,,,54,9.0,True,2.0
DEVELOPMENT,0.7,2,,,-1.13,-1.13,,,,,,,,,,,,,,,,55,9.0,False,
