mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovered_trades,recovery_pct,recovered_win_rate,recovered_mean_R,recovered_total_R,not_recovered_trades,not_recovered_win_rate,not_recovered_mean_R,not_recovered_total_R,win_rate_difference,mean_R_difference
0.7,0.0,1,195,12,0.06153846153846154,0.5833333333333334,0.20666666666666664,2.4799999999999995,183,0.2185792349726776,-0.7410928961748634,-135.62,0.36475409836065575,0.9477595628415301
0.7,0.0,2,195,19,0.09743589743589744,0.5789473684210527,0.1657894736842105,3.1499999999999995,176,0.20454545454545456,-0.7743750000000001,-136.29000000000002,0.37440191387559807,0.9401644736842106
0.7,0.0,3,195,29,0.14871794871794872,0.5172413793103449,-0.004137931034482786,-0.12000000000000077,166,0.1927710843373494,-0.8013253012048192,-133.01999999999998,0.32447029497299545,0.7971873701703364
0.7,0.0,4,195,37,0.18974358974358974,0.4864864864864865,0.09864864864864861,3.6499999999999986,158,0.18354430379746836,-0.865759493670886,-136.79,0.3029421826890182,0.9644081423195346
0.7,0.0,5,195,40,0.20512820512820512,0.5,0.12824999999999998,5.129999999999999,155,0.17419354838709677,-0.8920645161290321,-138.26999999999998,0.3258064516129032,1.0203145161290321
0.7,0.0,6,195,42,0.2153846153846154,0.5,0.029047619047619027,1.219999999999999,153,0.16993464052287582,-0.878169934640523,-134.36,0.3300653594771242,0.9072175536881419
0.7,0.0,7,195,43,0.2205128205128205,0.4883720930232558,0.01604651162790696,0.6899999999999993,152,0.17105263157894737,-0.8804605263157894,-133.82999999999998,0.31731946144430845,0.8965070379436963
0.7,0.0,8,195,43,0.2205128205128205,0.4883720930232558,0.01604651162790696,0.6899999999999993,152,0.17105263157894737,-0.8804605263157894,-133.82999999999998,0.31731946144430845,0.8965070379436963
0.7,0.25,1,195,5,0.02564102564102564,0.8,0.766,3.83,190,0.22631578947368422,-0.7208947368421051,-136.96999999999997,0.5736842105263158,1.486894736842105
0.7,0.25,2,195,9,0.046153846153846156,0.6666666666666666,0.5111111111111111,4.6,186,0.22043010752688172,-0.7405376344086022,-137.74,0.4462365591397849,1.2516487455197134
0.7,0.25,3,195,13,0.06666666666666667,0.6153846153846154,0.4669230769230769,6.069999999999999,182,0.21428571428571427,-0.7648901098901097,-139.20999999999998,0.4010989010989011,1.2318131868131865
0.7,0.25,4,195,20,0.10256410256410256,0.6,0.40700000000000003,8.14,175,0.2,-0.8073142857142855,-141.27999999999997,0.39999999999999997,1.2143142857142855
0.7,0.25,5,195,23,0.11794871794871795,0.6086956521739131,0.46304347826086956,10.65,172,0.19186046511627908,-0.8359883720930232,-143.79,0.416835187057634,1.299031850353893
0.7,0.25,6,195,25,0.1282051282051282,0.6,0.4416,11.04,170,0.18823529411764706,-0.8481176470588235,-144.18,0.4117647058823529,1.2897176470588234
0.7,0.25,7,195,25,0.1282051282051282,0.6,0.4416,11.04,170,0.18823529411764706,-0.8481176470588235,-144.18,0.4117647058823529,1.2897176470588234
0.7,0.25,8,195,25,0.1282051282051282,0.6,0.4416,11.04,170,0.18823529411764706,-0.8481176470588235,-144.18,0.4117647058823529,1.2897176470588234
0.7,0.5,1,195,1,0.005128205128205128,1.0,3.2,3.2,194,0.23711340206185566,-0.7027835051546392,-136.34,0.7628865979381443,3.9027835051546393
