window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
12,19,15,-17.270000000000003,-9.86,7.410000000000004,0.2631578947368421,0.21052631578947367,0.24814976055724858,0.2947067238912732,-17.270000000000003,-9.86
13,1,1,1.46,-0.94,-2.4,1.0,0.0,inf,0.0,0.0,-0.94
14,20,17,-6.62,-12.93,-6.31,0.3,0.15,0.4380305602716469,0.1963952765692977,-8.41,-12.93
15,3,3,-3.53,-2.64,0.8899999999999997,0.0,0.0,0.0,0.0,-3.53,-2.64
16,2,1,1.15,-1.46,-2.61,0.5,0.0,2.4935064935064934,0.0,-0.77,-1.46
18,9,7,-6.6899999999999995,-7.43,-0.7400000000000002,0.2222222222222222,0.0,0.053748231966053744,0.0,-6.6899999999999995,-7.43
19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0,0.8839779005524863,0.0,-3.62,-1.31
20,33,30,-26.269999999999996,-31.670000000000005,-5.400000000000009,0.2727272727272727,0.06060606060606061,0.3101365546218487,0.09565962307253,-27.070000000000004,-31.67
21,1,1,3.94,-0.21,-4.15,1.0,0.0,inf,0.0,0.0,-0.21
22,10,10,-11.400000000000002,-9.21,2.1900000000000013,0.1,0.0,0.03307888040712468,0.0,-11.4,-9.21
