mae_boundary_R,decision_bar,development_trades,triggered_trades,development_WR,development_mean_R,development_R,development_PF,development_DD,benchmark_R,development_delta_R,development_delta_WR,development_delta_DD
0.7,4,95,54,0.10526315789473684,-0.5936842105263159,-56.40000000000001,0.10033498165576646,-55.70000000000005,-67.49,11.089999999999982,-0.10526315789473684,13.349999999999916
0.8,4,95,40,0.1368421052631579,-0.6038947368421053,-57.37,0.1243894993894994,-56.56999999999994,-67.49,10.119999999999997,-0.07368421052631577,12.480000000000025
0.75,4,95,49,0.11578947368421053,-0.6072631578947368,-57.690000000000005,0.12124904798172127,-56.94,-67.49,9.79999999999999,-0.09473684210526315,12.109999999999971
0.7,2,95,22,0.17894736842105263,-0.6090526315789474,-57.86000000000001,0.17543109590993305,-59.760000000000005,-67.49,9.629999999999988,-0.03157894736842104,9.289999999999964
0.7,6,95,76,0.05263157894736842,-0.6155789473684212,-58.48000000000002,0.05479230644900598,-57.78000000000007,-67.49,9.009999999999977,-0.15789473684210525,11.269999999999897
0.85,4,95,31,0.15789473684210525,-0.6173684210526316,-58.65,0.14913680545480923,-60.4,-67.49,8.839999999999996,-0.05263157894736842,8.64999999999997
1.0,6,95,32,0.15789473684210525,-0.6187368421052631,-58.78,0.15980560320182963,-60.339999999999975,-67.49,8.709999999999994,-0.05263157894736842,8.709999999999994
0.7,5,95,69,0.06315789473684211,-0.6188421052631581,-58.79000000000002,0.05981129058052134,-58.09000000000007,-67.49,8.699999999999974,-0.14736842105263157,10.959999999999901
0.9,5,95,33,0.15789473684210525,-0.6225263157894738,-59.14000000000001,0.14808412561221548,-60.83999999999995,-67.49,8.349999999999987,-0.05263157894736842,8.210000000000022
0.8,2,95,15,0.18947368421052632,-0.6245263157894737,-59.33,0.1731010452961673,-61.12999999999997,-67.49,8.159999999999997,-0.02105263157894735,7.920000000000002
1.0,5,95,27,0.16842105263157894,-0.6253684210526317,-59.41000000000001,0.16253171694389626,-60.96999999999998,-67.49,8.079999999999984,-0.04210526315789473,8.079999999999991
0.7,3,95,46,0.12631578947368421,-0.6286315789473685,-59.72000000000001,0.09802144691134271,-59.02000000000003,-67.49,7.769999999999982,-0.08421052631578946,10.029999999999937
0.8,5,95,49,0.10526315789473684,-0.6321052631578947,-60.05,0.08655308792211745,-59.24999999999992,-67.49,7.439999999999998,-0.10526315789473684,9.800000000000047
1.0,3,95,10,0.2,-0.6322105263157894,-60.059999999999995,0.19479823032578095,-61.61999999999998,-67.49,7.43,-0.010526315789473661,7.4299999999999855
0.85,5,95,37,0.1368421052631579,-0.6325263157894737,-60.09,0.13638976717447543,-61.27000000000001,-67.49,7.3999999999999915,-0.07368421052631577,7.7799999999999585
