mae_boundary_R,time_bucket,start_bar,end_bar,trades,finished_positive,finished_negative,failure_pct,survival_pct,mean_final_R,total_final_R,recovery_0R_pct,recovery_0_25R_pct,recovery_0_50R_pct,recovery_0_75R_pct,recovery_1R_pct,mean_crossing_bar
0.7,BAR_1_2,1,2,61,15,46,0.7540983606557377,0.2459016393442623,-0.688688524590164,-42.010000000000005,0.639344262295082,0.4098360655737705,0.29508196721311475,0.22950819672131148,0.18032786885245902,1.6065573770491803
0.7,BAR_3_4,3,4,66,14,52,0.7878787878787878,0.21212121212121213,-0.7466666666666668,-49.28000000000001,0.6060606060606061,0.3484848484848485,0.2878787878787879,0.19696969696969696,0.15151515151515152,3.4393939393939394
0.7,BAR_5_6,5,6,41,10,31,0.7560975609756098,0.24390243902439024,-0.8017073170731707,-32.87,0.4146341463414634,0.2682926829268293,0.21951219512195122,0.14634146341463414,0.12195121951219512,5.365853658536586
0.7,BAR_7_10,7,10,27,8,19,0.7037037037037037,0.2962962962962963,-0.3325925925925926,-8.98,0.6666666666666666,0.4444444444444444,0.2962962962962963,0.2222222222222222,0.18518518518518517,7.296296296296297
0.75,BAR_1_2,1,2,52,14,38,0.7307692307692307,0.2692307692307692,-0.5917307692307692,-30.77,0.6153846153846154,0.4230769230769231,0.3269230769230769,0.2692307692307692,0.21153846153846154,1.6346153846153846
0.75,BAR_3_4,3,4,67,14,53,0.7910447761194029,0.208955223880597,-0.8091044776119403,-54.21,0.6268656716417911,0.3582089552238806,0.26865671641791045,0.1791044776119403,0.13432835820895522,3.462686567164179
0.75,BAR_5_6,5,6,41,11,30,0.7317073170731707,0.2682926829268293,-0.7724390243902439,-31.67,0.4146341463414634,0.2926829268292683,0.2682926829268293,0.17073170731707318,0.14634146341463414,5.463414634146342
0.75,BAR_7_10,7,10,35,8,27,0.7714285714285715,0.22857142857142856,-0.4711428571428572,-16.490000000000002,0.6,0.37142857142857144,0.22857142857142856,0.17142857142857143,0.14285714285714285,7.371428571428571
0.8,BAR_1_2,1,2,43,11,32,0.7441860465116279,0.2558139534883721,-0.6537209302325582,-28.110000000000003,0.6046511627906976,0.46511627906976744,0.3488372093023256,0.3023255813953488,0.23255813953488372,1.6511627906976745
0.8,BAR_3_4,3,4,57,11,46,0.8070175438596491,0.19298245614035087,-0.9573684210526315,-54.57,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.12280701754385964,0.10526315789473684,3.491228070175439
0.8,BAR_5_6,5,6,40,9,31,0.775,0.225,-0.8719999999999999,-34.879999999999995,0.425,0.3,0.225,0.15,0.125,5.475
0.8,BAR_7_10,7,10,38,8,30,0.7894736842105263,0.21052631578947367,-0.39236842105263164,-14.910000000000002,0.5789473684210527,0.34210526315789475,0.23684210526315788,0.15789473684210525,0.13157894736842105,7.7105263157894735
0.8,BAR_11_20,11,20,8,1,7,0.875,0.125,-0.8175,-6.54,0.25,0.125,0.0,0.0,0.0,14.125
0.85,BAR_1_2,1,2,37,10,27,0.7297297297297297,0.2702702702702703,-0.6197297297297298,-22.930000000000003,0.6486486486486487,0.5135135135135135,0.3783783783783784,0.32432432432432434,0.24324324324324326,1.7297297297297298
0.85,BAR_3_4,3,4,46,7,39,0.8478260869565217,0.15217391304347827,-1.1165217391304347,-51.36,0.43478260869565216,0.21739130434782608,0.15217391304347827,0.10869565217391304,0.10869565217391304,3.4347826086956523
0.85,BAR_5_6,5,6,40,12,28,0.7,0.3,-0.7344999999999999,-29.379999999999995,0.4,0.3,0.25,0.175,0.15,5.45
