trade_index,window,crossing_bar,original_R,strategy_R,saved_R
321,12,1.0,-0.76,-0.7,0.06000000000000005
322,12,2.0,-1.45,-0.7,0.75
323,12,2.0,-1.36,-0.7,0.6600000000000001
328,12,3.0,1.04,-0.7,-1.74
330,12,3.0,-1.52,-0.7,0.8200000000000001
333,12,1.0,1.58,-0.7,-2.2800000000000002
335,12,4.0,-1.31,-0.7,0.6100000000000001
347,12,2.0,1.46,-0.7,-2.16
348,12,1.0,-2.49,-0.7,1.7900000000000003
352,12,2.0,1.37,-0.7,-2.0700000000000003
358,12,4.0,-1.29,-0.7,0.5900000000000001
359,12,2.0,-4.12,-0.7,3.42
360,12,3.0,-1.57,-0.7,0.8700000000000001
362,12,4.0,-1.76,-0.7,1.06
363,13,4.0,1.46,-0.7,-2.16
365,14,1.0,-0.77,-0.7,0.07000000000000006
367,14,2.0,0.17,-0.7,-0.87
374,14,3.0,-0.69,-0.7,-0.010000000000000009
378,14,1.0,-1.83,-0.7,1.1300000000000001
381,14,2.0,-0.21,-0.7,-0.49
384,14,1.0,-0.66,-0.7,-0.039999999999999925
388,14,4.0,-0.7,-0.7,0.0
390,14,2.0,-1.59,-0.7,0.8900000000000001
392,14,3.0,-0.86,-0.7,0.16000000000000003
394,14,2.0,-0.92,-0.7,0.22000000000000008
399,14,2.0,-0.26,-0.7,-0.43999999999999995
401,14,2.0,1.49,-0.7,-2.19
403,14,3.0,1.72,-0.7,-2.42
404,14,3.0,-0.28,-0.7,-0.41999999999999993
405,14,4.0,-1.67,-0.7,0.97
407,14,4.0,-0.63,-0.7,-0.06999999999999995
408,15,4.0,-0.66,-0.7,-0.039999999999999925
418,16,4.0,-0.77,-0.7,0.07000000000000006
432,18,2.0,0.02,-0.7,-0.72
440,18,2.0,-0.57,-0.7,-0.13
442,18,1.0,0.36,-0.7,-1.06
444,18,2.0,-0.21,-0.7,-0.49
445,18,4.0,-0.85,-0.7,0.15000000000000002
446,19,3.0,-3.62,-0.7,2.92
447,19,1.0,3.2,-0.7,-3.9000000000000004
449,20,4.0,-2.01,-0.7,1.3099999999999998
450,20,3.0,2.81,-0.7,-3.51
455,20,2.0,-0.83,-0.7,0.13
456,20,4.0,-0.47,-0.7,-0.22999999999999998
458,20,4.0,2.48,-0.7,-3.1799999999999997
464,20,2.0,1.6,-0.7,-2.3
465,20,2.0,-1.01,-0.7,0.31000000000000005
466,20,1.0,-0.53,-0.7,-0.16999999999999993
468,20,3.0,-1.65,-0.7,0.95
472,20,1.0,-2.13,-0.7,1.43
473,20,2.0,0.85,-0.7,-1.5499999999999998
477,20,3.0,-1.62,-0.7,0.9200000000000002
483,20,4.0,0.66,-0.7,-1.3599999999999999
484,20,2.0,-4.76,-0.7,4.06
486,20,1.0,-0.33,-0.7,-0.36999999999999994
493,20,1.0,-0.46,-0.7,-0.23999999999999994
495,20,2.0,-1.05,-0.7,0.3500000000000001
497,20,4.0,-2.57,-0.7,1.8699999999999999
499,20,1.0,0.34,-0.7,-1.04
504,20,2.0,-1.25,-0.7,0.55
511,20,2.0,-0.42,-0.7,-0.27999999999999997
512,20,4.0,0.87,-0.7,-1.5699999999999998
513,20,4.0,-1.73,-0.7,1.03
515,20,4.0,-1.83,-0.7,1.1300000000000001
519,21,1.0,3.94,-0.7,-4.64
520,22,3.0,-2.77,-0.7,2.0700000000000003
523,22,3.0,-1.24,-0.7,0.54
526,22,1.0,-1.29,-0.7,0.5900000000000001
530,22,1.0,-0.96,-0.7,0.26
532,22,4.0,-0.85,-0.7,0.15000000000000002
534,22,4.0,-1.49,-0.7,0.79
535,22,2.0,-1.14,-0.7,0.43999999999999995
536,22,4.0,-0.05,-0.7,-0.6499999999999999
