mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovery_exits,trades,wins,losses,win_rate,mean_R,total_R,delta_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R
0.6,-0.2,2,95,17,95,15,80,0.15789473684210525,-0.6809473684210526,-64.69,2.799999999999997,0.1267548596112311,-65.99,0.1,-14.61,0.09
0.6,-0.2,3,95,28,95,8,87,0.08421052631578947,-0.7067368421052632,-67.14,0.3499999999999943,0.05662498243641983,-66.10000000000001,0.0,-14.61,-0.2
0.6,-0.2,4,95,33,95,7,88,0.07368421052631578,-0.702421052631579,-66.73,0.7599999999999909,0.05239988639591024,-65.69000000000003,0.0,-14.6,-0.2
0.6,-0.2,5,95,37,95,5,90,0.05263157894736842,-0.7057894736842105,-67.05,0.4399999999999977,0.0456874466268147,-66.01000000000003,0.0,-14.629999999999999,-0.2
0.6,-0.2,6,95,39,95,5,90,0.05263157894736842,-0.684,-64.98,2.509999999999991,0.047074351077870655,-63.94000000000003,0.0,-14.629999999999999,-0.2
0.6,-0.2,8,95,42,95,2,93,0.021052631578947368,-0.7218947368421054,-68.58000000000001,-1.0900000000000176,0.0030527692978630622,-67.54000000000002,0.0,-16.5,-0.2
0.6,-0.2,10,95,44,95,1,94,0.010526315789473684,-0.7235789473684211,-68.74000000000001,-1.2500000000000142,0.001452643811737362,-67.70000000000003,0.0,-16.5,-0.2
0.6,-0.2,12,95,45,95,1,94,0.010526315789473684,-0.7185263157894738,-68.26,-0.7700000000000102,0.0014628437682855473,-67.22000000000004,0.0,-16.02,-0.2
0.6,0.0,2,95,4,95,17,78,0.17894736842105263,-0.7289473684210527,-69.25,-1.7600000000000051,0.13610279441117765,-70.54999999999998,0.1,-14.09,0.09
0.6,0.0,3,95,15,95,11,84,0.11578947368421053,-0.7065263157894736,-67.11999999999999,0.37000000000000455,0.09334053761988383,-66.38999999999999,0.0,-14.01,0.0
0.6,0.0,4,95,19,95,9,86,0.09473684210526316,-0.7097894736842104,-67.42999999999999,0.060000000000002274,0.07478046103183315,-66.49,0.0,-14.01,0.0
0.6,0.0,5,95,24,95,8,87,0.08421052631578947,-0.6866315789473683,-65.22999999999999,2.260000000000005,0.07264714245095251,-64.28999999999998,0.0,-14.01,0.0
0.6,0.0,6,95,27,95,7,88,0.07368421052631578,-0.6776842105263158,-64.38,3.1099999999999994,0.07032490974729241,-63.43999999999998,0.0,-13.8,0.0
0.6,0.0,8,95,31,95,4,91,0.042105263157894736,-0.6976842105263157,-66.27999999999999,1.210000000000008,0.014863258026159338,-65.34,0.0,-15.469999999999999,0.0
0.6,0.0,10,95,33,95,2,93,0.021052631578947368,-0.7013684210526315,-66.63,0.8599999999999994,0.00966111771700357,-65.69,0.0,-15.469999999999999,0.0
0.6,0.0,12,95,35,95,2,93,0.021052631578947368,-0.6924210526315789,-65.78,1.7099999999999937,0.009784735812133072,-64.84,0.0,-15.469999999999999,0.0
0.6,0.25,2,95,2,95,21,74,0.22105263157894736,-0.6988421052631579,-66.39,1.0999999999999943,0.17178143712574848,-67.94999999999997,0.1,-12.88,0.09
0.6,0.25,3,95,4,95,21,74,0.22105263157894736,-0.6972631578947368,-66.24,1.25,0.17365269461077845,-67.78999999999996,0.1,-12.88,0.25
