mae_threshold,recovery_level,recovery_horizon,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,triggered_trades,recovery_exits,losses_rescued,winners_damaged,delta_R,mean_delta_R,benchmark_R,benchmark_win_rate,benchmark_profit_factor,benchmark_max_drawdown_R,development_window_positive_pct
0.6,-0.5,2,95,6,89,0.06315789473684211,-0.6930526315789474,-65.84,0.02847867788106832,-64.8,0.0,-16.6,-0.29,95,51,24,15,1.6500000000000001,0.01736842105263158,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.5,3,95,6,89,0.06315789473684211,-0.6871578947368421,-65.28,0.01508750754375377,-64.24000000000001,0.0,-16.17,-0.29,95,57,27,17,2.21,0.023263157894736843,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.5,4,95,4,91,0.042105263157894736,-0.7002105263157896,-66.52000000000001,0.009824352485858884,-65.48000000000002,0.0,-16.17,-0.29,95,60,27,19,0.9700000000000006,0.01021052631578948,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.5,5,95,4,91,0.042105263157894736,-0.6898947368421053,-65.54,0.00996978851963746,-64.50000000000001,0.0,-16.17,-0.29,95,62,29,19,1.9500000000000008,0.020526315789473695,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.5,6,95,4,91,0.042105263157894736,-0.6869473684210526,-65.26,0.010012135922330094,-64.22000000000001,0.0,-15.89,-0.29,95,63,30,19,2.2300000000000013,0.02347368421052633,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.5,8,95,4,91,0.042105263157894736,-0.6769473684210526,-64.31,0.010158534708326918,-63.27000000000002,0.0,-15.89,-0.29,95,65,32,19,3.1800000000000006,0.03347368421052632,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.5,10,95,3,92,0.031578947368421054,-0.6735789473684209,-63.989999999999995,0.008521846916640843,-62.95,0.0,-15.22,-0.29,95,68,34,20,3.500000000000001,0.036842105263157905,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.5,12,95,3,92,0.031578947368421054,-0.6731578947368421,-63.949999999999996,0.008527131782945735,-62.910000000000004,0.0,-15.22,-0.29,95,69,35,20,3.540000000000001,0.03726315789473685,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,2,95,9,86,0.09473684210526316,-0.6526315789473685,-62.0,0.05343511450381681,-60.960000000000015,0.0,-15.84,-0.29,95,37,20,12,5.49,0.05778947368421053,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,3,95,9,86,0.09473684210526316,-0.6513684210526316,-61.88,0.03987587276958883,-60.840000000000025,0.0,-15.719999999999999,-0.29,95,45,24,14,5.61,0.05905263157894737,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,4,95,8,87,0.08421052631578947,-0.6577894736842106,-62.49,0.03594569577290959,-61.450000000000024,0.0,-15.719999999999999,-0.29,95,46,24,15,5.0,0.05263157894736842,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,5,95,7,88,0.07368421052631578,-0.6593684210526316,-62.64,0.032287965394716525,-61.60000000000002,0.0,-15.73,-0.29,95,49,25,16,4.85,0.05105263157894736,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,6,95,6,89,0.06315789473684211,-0.6644210526315789,-63.12,0.023816888339004028,-62.08000000000002,0.0,-15.73,-0.29,95,53,27,17,4.369999999999999,0.04599999999999999,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,8,95,5,90,0.05263157894736842,-0.6469473684210526,-61.46,0.012214721954355513,-60.42000000000003,0.0,-14.96,-0.29,95,58,31,18,6.029999999999999,0.06347368421052631,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,10,95,4,91,0.042105263157894736,-0.6506315789473683,-61.809999999999995,0.010406660262568044,-60.770000000000024,0.0,-14.96,-0.29,95,60,32,19,5.68,0.059789473684210524,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.4,12,95,3,92,0.031578947368421054,-0.6552631578947369,-62.25,0.00875796178343949,-61.21000000000003,0.0,-14.96,-0.29,95,61,32,20,5.24,0.05515789473684211,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.6,-0.3,2,95,14,81,0.14736842105263157,-0.628421052631579,-59.7,0.12089530260639081,-60.69,0.1,-14.53,0.09,95,23,14,7,7.79,0.082,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.3,3,95,14,81,0.14736842105263157,-0.6229473684210527,-59.18000000000001,0.0753125,-58.17000000000001,0.1,-14.53,0.38,95,35,20,12,8.309999999999999,0.0874736842105263,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.3,4,95,14,81,0.14736842105263157,-0.6222105263157894,-59.11,0.07539496324104489,-58.10000000000001,0.1,-14.459999999999999,0.38,95,36,21,12,8.379999999999999,0.08821052631578946,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.3,5,95,12,83,0.12631578947368421,-0.623263157894737,-59.21000000000001,0.06829268292682926,-58.20000000000001,0.1,-14.469999999999999,0.38,95,40,22,14,8.28,0.0871578947368421,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.3,6,95,11,84,0.11578947368421053,-0.6285263157894738,-59.71000000000001,0.059685039370078734,-58.70000000000001,0.1,-14.469999999999999,0.38,95,42,23,15,7.78,0.08189473684210527,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.3,8,95,10,85,0.10526315789473684,-0.6321052631578948,-60.050000000000004,0.028002589834898024,-59.040000000000006,0.1,-14.879999999999999,0.38,95,47,26,17,7.44,0.07831578947368421,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.3,10,95,10,85,0.10526315789473684,-0.618421052631579,-58.75,0.029246530072703242,-57.740000000000016,0.1,-14.879999999999999,0.38,95,50,28,17,8.74,0.092,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.3,12,95,10,85,0.10526315789473684,-0.6090526315789474,-57.86000000000001,0.02968304544692269,-56.850000000000016,0.1,-14.879999999999999,0.38,95,53,30,17,9.629999999999999,0.10136842105263157,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,2,95,17,78,0.17894736842105263,-0.6629473684210526,-62.980000000000004,0.13334250722443927,-64.27999999999999,0.1,-14.22,0.09,95,17,10,5,4.510000000000001,0.04747368421052632,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,3,95,16,79,0.16842105263157894,-0.6626315789473685,-62.95,0.07603111698223985,-61.93999999999999,0.1,-14.22,0.38,95,28,14,11,4.54,0.04778947368421053,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,4,95,17,78,0.17894736842105263,-0.6489473684210527,-61.650000000000006,0.07487995198079234,-60.639999999999986,0.1,-14.15,0.38,95,33,18,12,5.840000000000001,0.061473684210526326,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,5,95,15,80,0.15789473684210525,-0.65,-61.75000000000001,0.06806519770600665,-60.739999999999995,0.1,-14.16,0.38,95,37,19,14,5.74,0.06042105263157895,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,6,95,15,80,0.15789473684210525,-0.626842105263158,-59.550000000000004,0.07040274742428972,-58.54,0.1,-14.16,0.38,95,39,21,14,7.94,0.08357894736842106,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,8,95,13,82,0.1368421052631579,-0.6570526315789474,-62.42000000000001,0.029539800995024873,-61.41,0.1,-15.44,0.38,95,42,21,17,5.070000000000001,0.05336842105263159,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,10,95,13,82,0.1368421052631579,-0.6531578947368423,-62.05000000000001,0.030317237068291925,-61.04,0.1,-15.44,0.38,95,44,22,17,5.44,0.05726315789473685,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.2,12,95,13,82,0.1368421052631579,-0.6462105263157896,-61.39000000000001,0.03063319122059056,-60.38,0.1,-14.78,0.38,95,45,23,17,6.1000000000000005,0.06421052631578948,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.1,2,95,19,76,0.2,-0.7090526315789473,-67.35999999999999,0.1443089430894309,-68.65999999999997,0.1,-14.07,0.09,95,7,3,4,0.13000000000000037,0.0013684210526315828,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.1,3,95,23,72,0.24210526315789474,-0.6565263157894737,-62.370000000000005,0.1215492957746479,-61.66999999999999,0.1,-13.89,0.38,95,19,9,8,5.120000000000001,0.05389473684210527,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.1,4,95,24,71,0.25263157894736843,-0.6490526315789474,-61.66000000000001,0.11382581201494688,-61.33999999999999,0.1,-13.89,0.38,95,25,12,10,5.83,0.06136842105263158,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,-0.1,5,95,25,70,0.2631578947368421,-0.6162105263157895,-58.540000000000006,0.13042186571598338,-58.21999999999999,0.2,-13.69,0.38,95,29,15,11,8.95,0.09421052631578947,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,-0.1,6,95,25,70,0.2631578947368421,-0.6023157894736842,-57.22,0.11478960396039606,-56.919999999999995,0.2,-13.69,0.38,95,33,17,12,10.27,0.10810526315789473,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,-0.1,8,95,24,71,0.25263157894736843,-0.6283157894736843,-59.690000000000005,0.07700633987938768,-59.39,0.2,-14.97,0.38,95,36,17,15,7.800000000000001,0.08210526315789475,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,-0.1,10,95,24,71,0.25263157894736843,-0.624421052631579,-59.32,0.07802300279763756,-59.02,0.2,-14.97,0.38,95,38,18,15,8.17,0.086,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,-0.1,12,95,25,70,0.2631578947368421,-0.5998947368421053,-56.99,0.08523274478330656,-56.98,0.2,-14.18,0.38,95,42,22,15,10.5,0.11052631578947368,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.0,2,95,20,75,0.21052631578947367,-0.7231578947368421,-68.7,0.14296407185628746,-69.99999999999997,0.1,-14.07,0.09,95,4,1,3,-1.2099999999999997,-0.012736842105263156,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
