_source_index,original_R,strategy_R,triggered,recovery_triggered,mae_trigger_bar,recovery_exit_bar,recovery_exit_R,exit_type,loss_rescued,winner_damaged,entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,trade_index,entry_price
95,-0.76,-0.76,True,False,1,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-02-06 10:10:00-05:00,2024-02-06 10:15:00-05:00,2024-02-05,1.0,0.5685283423211368,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,5,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,321,17611.75
96,-1.45,-1.45,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-02-06 10:25:00-05:00,2024-02-06 10:27:00-05:00,2024-02-05,0.9895065336103332,0.5641281245059636,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,2,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,322,17600.25
97,-1.36,-1.36,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-02-12 14:19:00-05:00,2024-02-12 14:22:00-05:00,2024-02-11,0.9175501255655608,0.4399427356883135,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,323,17944.5
98,-2.61,-2.61,True,False,5,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-02-27 09:41:00-05:00,2024-02-27 09:48:00-05:00,2024-02-26,0.9604610093213696,0.4020885664599765,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,326,17945.0
99,1.04,-0.04,True,True,3,7.0,-0.04,RECOVERY_EXIT,False,True,2024-03-05 09:36:00-05:00,2024-03-05 09:56:00-05:00,2024-03-04,0.98238240707076,0.4694180470410511,25.0,1.75,20,26.0,24.89,0.9956,timeout,20,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,328,18062.25
100,-1.52,-1.52,True,False,3,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-03-13 10:01:00-04:00,2024-03-13 10:05:00-04:00,2024-03-12,1.0,0.4541138962567408,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,330,18309.5
101,1.58,-0.06,True,True,1,2.0,-0.06,RECOVERY_EXIT,False,True,2024-03-15 09:31:00-04:00,2024-03-15 09:43:00-04:00,2024-03-14,1.0,0.5440460925011857,25.0,1.75,20,43.75,42.64,1.7056,target,12,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,333,18139.75
102,-1.31,-1.31,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-03-26 15:56:00-04:00,2024-03-26 16:00:00-04:00,2024-03-25,1.0,0.4352570746016968,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,335,18440.75
103,0.25,0.08,True,True,5,11.0,0.08,RECOVERY_EXIT,False,True,2024-04-01 10:39:00-04:00,2024-04-01 10:59:00-04:00,2024-03-31,1.0,0.5447223734827592,25.0,1.75,20,6.25,5.140000000000001,0.2056,timeout,20,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,337,18488.25
104,-0.64,-0.64,True,False,5,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-04-02 09:40:00-04:00,2024-04-02 09:59:00-04:00,2024-04-01,1.0,0.4463410564035904,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,19,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,338,18229.0
105,-1.46,-1.46,True,False,5,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-04-08 09:38:00-04:00,2024-04-08 09:44:00-04:00,2024-04-07,1.0,0.4758207591912733,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,6,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,342,18264.0
106,-0.63,0.71,True,True,8,13.0,0.71,RECOVERY_EXIT,True,False,2024-04-15 15:04:00-04:00,2024-04-15 15:24:00-04:00,2024-04-14,0.7590253392175194,0.4126148360238191,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,20,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,346,17863.0
