mae_trigger_bar,recovery_exit_bar,recovery_exit_R,original_R,strategy_R,loss_rescued,winner_damaged
1,2.0,-0.06,1.58,-0.06,False,True
1,2.0,0.66,3.2,0.66,False,True
1,3.0,0.25,-1.83,0.25,True,False
1,3.0,0.03,0.36,0.03,False,True
1,3.0,-0.03,3.94,-0.03,False,True
1,4.0,-0.05,-0.53,-0.05,True,False
1,4.0,-0.08,-0.33,-0.08,True,False
1,4.0,0.17,-0.46,0.17,True,False
1,9.0,-0.1,0.34,-0.1,False,True
1,12.0,0.14,-0.66,0.14,True,False
2,3.0,0.13,1.37,0.13,False,True
2,3.0,-0.05,-0.21,-0.05,True,False
2,3.0,0.08,-1.25,0.08,True,False
2,4.0,-0.06,-0.57,-0.06,True,False
2,4.0,-0.1,1.6,-0.1,False,True
2,4.0,0.04,-1.05,0.04,True,False
2,5.0,-0.09,1.46,-0.09,False,True
2,7.0,-0.07,-4.76,-0.07,True,False
2,8.0,0.43,0.85,0.43,False,True
2,9.0,-0.02,1.49,-0.02,False,True
2,12.0,-0.01,-0.42,-0.01,True,False
3,4.0,-0.09,1.72,-0.09,False,True
3,7.0,-0.04,1.04,-0.04,False,True
3,7.0,0.15,-0.86,0.15,True,False
3,9.0,0.28,-1.65,0.28,True,False
3,9.0,-0.08,-1.24,-0.08,True,False
3,11.0,0.05,-1.57,0.05,True,False
3,11.0,0.1,-1.62,0.1,True,False
3,12.0,-0.1,2.81,-0.1,False,True
4,4.0,-0.09,-1.73,-0.09,True,False
4,5.0,0.23,-1.29,0.23,True,False
4,5.0,0.17,2.48,0.17,False,True
4,5.0,0.41,0.87,0.41,False,True
4,5.0,0.22,-1.49,0.22,True,False
4,6.0,0.19,0.66,0.19,False,True
4,8.0,0.0,-0.77,0.0,True,False
4,9.0,-0.05,-0.7,-0.05,True,False
4,11.0,-0.06,-0.47,-0.06,True,False
5,5.0,0.0,0.36,0.0,False,True
5,9.0,0.0,0.39,0.0,False,True
5,11.0,0.08,0.25,0.08,False,True
6,7.0,0.03,0.82,0.03,False,True
6,11.0,0.05,1.38,0.05,False,True
7,8.0,0.01,-1.99,0.01,True,False
7,9.0,0.08,1.92,0.08,False,True
7,11.0,-0.04,-1.7,-0.04,True,False
7,11.0,0.27,-2.0,0.27,True,False
7,19.0,-0.02,0.34,-0.02,False,True
8,10.0,0.23,1.08,0.23,False,True
8,13.0,0.71,-0.63,0.71,True,False
