dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.6,1,-0.5,95,44,0.4631578947368421,0.3181818181818182,,,-0.3647727272727273,
DEVELOPMENT,0.6,1,-0.4,95,26,0.2736842105263158,0.3076923076923077,,,-0.43807692307692314,
DEVELOPMENT,0.6,1,-0.3,95,15,0.15789473684210525,0.3333333333333333,,,-0.4919999999999999,
DEVELOPMENT,0.6,1,-0.2,95,12,0.12631578947368421,0.3333333333333333,,,-0.3941666666666666,
DEVELOPMENT,0.6,1,-0.1,95,4,0.042105263157894736,0.5,,,0.03999999999999998,
DEVELOPMENT,0.6,1,0.0,95,3,0.031578947368421054,0.6666666666666666,,,0.5,
DEVELOPMENT,0.6,1,0.1,95,2,0.021052631578947368,0.5,,,-0.30000000000000004,
DEVELOPMENT,0.6,1,0.2,95,2,0.021052631578947368,0.5,,,-0.30000000000000004,
DEVELOPMENT,0.6,2,-0.5,95,51,0.5368421052631579,0.29411764705882354,,,-0.38039215686274513,
DEVELOPMENT,0.6,2,-0.4,95,37,0.3894736842105263,0.32432432432432434,,,-0.4148648648648649,
DEVELOPMENT,0.6,2,-0.3,95,23,0.24210526315789474,0.30434782608695654,,,-0.49391304347826087,
DEVELOPMENT,0.6,2,-0.2,95,17,0.17894736842105263,0.29411764705882354,,,-0.3647058823529412,
DEVELOPMENT,0.6,2,-0.1,95,7,0.07368421052631578,0.5714285714285714,,,0.03714285714285718,
DEVELOPMENT,0.6,2,0.0,95,4,0.042105263157894736,0.75,,,0.44000000000000006,
DEVELOPMENT,0.6,2,0.1,95,3,0.031578947368421054,0.6666666666666666,,,0.5,
DEVELOPMENT,0.6,2,0.2,95,3,0.031578947368421054,0.6666666666666666,,,0.5,
DEVELOPMENT,0.6,2,0.3,95,1,0.010526315789473684,0.0,,,-2.71,
DEVELOPMENT,0.6,2,0.4,95,1,0.010526315789473684,0.0,,,-2.71,
DEVELOPMENT,0.6,3,-0.5,95,57,0.6,0.2982456140350877,,,-0.3689473684210526,
DEVELOPMENT,0.6,3,-0.4,95,45,0.47368421052631576,0.3111111111111111,,,-0.37800000000000006,
DEVELOPMENT,0.6,3,-0.3,95,35,0.3684210526315789,0.37142857142857144,,,-0.34885714285714287,
DEVELOPMENT,0.6,3,-0.2,95,28,0.29473684210526313,0.42857142857142855,,,-0.21249999999999997,
DEVELOPMENT,0.6,3,-0.1,95,19,0.2,0.47368421052631576,,,-0.19631578947368425,
DEVELOPMENT,0.6,3,0.0,95,15,0.15789473684210525,0.6,,,-0.024666666666666646,
DEVELOPMENT,0.6,3,0.1,95,9,0.09473684210526316,0.5555555555555556,,,0.11666666666666664,
DEVELOPMENT,0.6,3,0.2,95,6,0.06315789473684211,0.6666666666666666,,,0.295,
DEVELOPMENT,0.6,3,0.3,95,3,0.031578947368421054,0.6666666666666666,,,-0.7866666666666666,
DEVELOPMENT,0.6,3,0.4,95,2,0.021052631578947368,0.5,,,-1.225,
DEVELOPMENT,0.6,4,-0.5,95,60,0.631578947368421,0.31666666666666665,,,-0.35266666666666674,
DEVELOPMENT,0.6,4,-0.4,95,46,0.4842105263157895,0.32608695652173914,,,-0.3645652173913043,
DEVELOPMENT,0.6,4,-0.3,95,36,0.37894736842105264,0.3611111111111111,,,-0.34500000000000003,
DEVELOPMENT,0.6,4,-0.2,95,33,0.3473684210526316,0.3939393939393939,,,-0.22303030303030305,
DEVELOPMENT,0.6,4,-0.1,95,25,0.2631578947368421,0.48,,,-0.13880000000000003,
