source_index,window,mae_threshold,crossing_bar,horizon,target_bar,crossing_mae_R,crossing_close_R,close_at_horizon_R,best_recovery_R,worst_post_close_R,improvement_R,final_R,outcome,reached_-0.50R,reached_-0.40R,reached_-0.30R,reached_-0.20R,reached_-0.10R,reached_+0.00R,reached_+0.10R,reached_+0.20R,reached_+0.30R,reached_+0.40R
0,1.0,0.6,2,1,3,0.96,-0.76,-0.54,-0.54,-0.54,0.21999999999999997,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,2,4,0.96,-0.76,-0.72,-0.54,-0.72,0.040000000000000036,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,3,5,0.96,-0.76,-0.79,-0.54,-0.79,-0.030000000000000027,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,4,6,0.96,-0.76,-0.79,-0.54,-0.79,-0.030000000000000027,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,5,7,0.96,-0.76,-1.04,-0.54,-1.04,-0.28,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,6,8,0.96,-0.76,-1.19,-0.54,-1.19,-0.42999999999999994,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,8,10,0.96,-0.76,-1.24,-0.54,-1.24,-0.48,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,10,12,0.96,-0.76,-1.05,-0.54,-1.24,-0.29000000000000004,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.6,2,12,14,0.96,-0.76,-0.92,-0.54,-1.24,-0.16000000000000003,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.7,2,1,3,0.96,-0.76,-0.54,-0.54,-0.54,0.21999999999999997,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.7,2,2,4,0.96,-0.76,-0.72,-0.54,-0.72,0.040000000000000036,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.7,2,3,5,0.96,-0.76,-0.79,-0.54,-0.79,-0.030000000000000027,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.7,2,4,6,0.96,-0.76,-0.79,-0.54,-0.79,-0.030000000000000027,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.7,2,5,7,0.96,-0.76,-1.04,-0.54,-1.04,-0.28,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
0,1.0,0.7,2,6,8,0.96,-0.76,-1.19,-0.54,-1.19,-0.42999999999999994,-1.04,LOSS,False,False,False,False,False,False,False,False,False,False
