mae_threshold,horizon,recovery_level,development_reached_trades,development_reached_pct,development_reached_WR,development_not_reached_trades,development_not_reached_WR,development_WR_difference,development_reached_mean_R,development_not_reached_mean_R,development_mean_R_difference,holdout_reached_trades,holdout_reached_pct,holdout_reached_WR,holdout_not_reached_trades,holdout_not_reached_WR,holdout_WR_difference,holdout_reached_mean_R,holdout_not_reached_mean_R,holdout_mean_R_difference
0.6,1.0,-0.5,32,0.3368421052631579,0.3125,63,0.15873015873015872,0.15376984126984128,-0.451875,-0.8417460317460318,0.38987103174603177,39,0.39,0.358974358974359,61,0.21311475409836064,0.14585960487599833,-0.18692307692307694,-0.9567213114754098,0.7697982345523329
0.6,1.0,-0.4,21,0.22105263157894736,0.23809523809523808,74,0.20270270270270271,0.03539253539253537,-0.5133333333333334,-0.7663513513513515,0.25301801801801804,22,0.22,0.5,78,0.20512820512820512,0.2948717948717949,0.26045454545454544,-0.9151282051282049,1.1755827505827503
0.6,1.0,-0.3,13,0.1368421052631579,0.3076923076923077,82,0.1951219512195122,0.11257035647279551,-0.5153846153846152,-0.7413414634146342,0.22595684803001903,16,0.16,0.5,84,0.2261904761904762,0.27380952380952384,0.34750000000000003,-0.847738095238095,1.195238095238095
0.6,1.0,-0.2,12,0.12631578947368421,0.3333333333333333,83,0.1927710843373494,0.1405622489959839,-0.3941666666666666,-0.7561445783132531,0.3619779116465865,11,0.11,0.6363636363636364,89,0.2247191011235955,0.41164453524004085,0.6172727272727272,-0.8139325842696629,1.43120531154239
0.6,1.0,-0.1,4,0.042105263157894736,0.5,91,0.1978021978021978,0.30219780219780223,0.03999999999999998,-0.7434065934065933,0.7834065934065932,11,0.11,0.6363636363636364,89,0.2247191011235955,0.41164453524004085,0.6172727272727272,-0.8139325842696629,1.43120531154239
0.6,1.0,0.0,3,0.031578947368421054,0.6666666666666666,92,0.1956521739130435,0.47101449275362317,0.5,-0.749891304347826,1.249891304347826,8,0.08,0.625,92,0.2391304347826087,0.3858695652173913,0.4625,-0.7538043478260869,1.2163043478260869
0.6,1.0,0.1,2,0.021052631578947368,0.5,93,0.20430107526881722,0.29569892473118276,-0.30000000000000004,-0.719247311827957,0.41924731182795694,6,0.06,0.6666666666666666,94,0.24468085106382978,0.4219858156028369,0.6883333333333334,-0.7423404255319147,1.430673758865248
0.6,1.0,0.2,2,0.021052631578947368,0.5,93,0.20430107526881722,0.29569892473118276,-0.30000000000000004,-0.719247311827957,0.41924731182795694,5,0.05,0.6,95,0.25263157894736843,0.34736842105263155,0.33,-0.7084210526315787,1.0384210526315787
0.6,1.0,0.3,0,0.0,,95,0.21052631578947367,,,-0.7104210526315788,,3,0.03,1.0,97,0.24742268041237114,0.7525773195876289,1.4766666666666666,-0.7224742268041237,2.19914089347079
0.6,1.0,0.4,0,0.0,,95,0.21052631578947367,,,-0.7104210526315788,,2,0.02,1.0,98,0.25510204081632654,0.7448979591836735,2.035,-0.7114285714285714,2.7464285714285714
0.6,2.0,-0.5,44,0.4631578947368421,0.29545454545454547,51,0.13725490196078433,0.15819964349376114,-0.38409090909090915,-0.9919607843137256,0.6078698752228164,51,0.51,0.35294117647058826,49,0.1836734693877551,0.16926770708283315,-0.28647058823529414,-1.0416326530612245,0.7551620648259304
0.6,2.0,-0.4,32,0.3368421052631579,0.28125,63,0.1746031746031746,0.1066468253968254,-0.460625,-0.8373015873015874,0.37667658730158743,41,0.41,0.4146341463414634,59,0.1694915254237288,0.2451426209177346,-0.21195121951219512,-0.9654237288135593,0.7534725093013642
0.6,2.0,-0.3,21,0.22105263157894736,0.2857142857142857,74,0.1891891891891892,0.0965250965250965,-0.5085714285714286,-0.7677027027027027,0.2591312741312741,33,0.33,0.36363636363636365,67,0.22388059701492538,0.13975576662143827,-0.33696969696969703,-0.8138805970149255,0.4769109000452285
0.6,2.0,-0.2,17,0.17894736842105263,0.29411764705882354,78,0.19230769230769232,0.10180995475113122,-0.3647058823529412,-0.7857692307692308,0.42106334841628956,27,0.27,0.4074074074074074,73,0.2191780821917808,0.18822932521562658,-0.10407407407407405,-0.8608219178082193,0.7567478437341452
0.6,2.0,-0.1,7,0.07368421052631578,0.5714285714285714,88,0.18181818181818182,0.3896103896103896,0.03714285714285718,-0.7698863636363636,0.8070292207792208,22,0.22,0.5,78,0.20512820512820512,0.2948717948717949,0.09545454545454547,-0.8685897435897436,0.9640442890442891
