window,trades,triggered_trades,recovered_trades,failed_recovery_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
12,19,19,2,17,-17.270000000000003,-14.090000000000002,3.1800000000000015,0.2631578947368421,0.10526315789473684,0.24814976055724858,0.09155383623468728,-16.51,-12.749999999999998
13,1,1,0,1,1.46,-0.61,-2.07,1.0,0.0,inf,0.0,0.0,0.0
14,20,20,3,17,-6.62,-9.709999999999999,-3.089999999999999,0.3,0.2,0.4380305602716469,0.2200803212851406,-7.8100000000000005,-8.78
15,3,3,0,3,-3.53,-1.12,2.4099999999999997,0.0,0.3333333333333333,0.0,0.1884057971014493,-2.8699999999999997,-0.8200000000000001
16,2,2,0,2,1.15,-0.24,-1.39,0.5,0.0,2.4935064935064934,0.0,-0.77,-0.21
18,9,9,2,7,-6.6899999999999995,-3.5100000000000002,3.1799999999999993,0.2222222222222222,0.3333333333333333,0.053748231966053744,0.23861171366594355,-4.489999999999999,-2.51
19,2,2,1,1,-0.41999999999999993,-0.62,-0.20000000000000007,0.5,0.5,0.8839779005524863,0.515625,0.0,0.0
20,33,33,4,29,-26.269999999999996,-18.33,7.939999999999998,0.2727272727272727,0.24242424242424243,0.3101365546218487,0.14823420074349444,-27.070000000000004,-17.659999999999997
21,1,1,1,0,3.94,0.94,-3.0,1.0,1.0,inf,inf,0.0,0.0
22,10,10,0,10,-11.400000000000002,-8.9,2.5000000000000018,0.1,0.0,0.03307888040712468,0.0,-8.63,-7.6000000000000005
