window,trades,recovered,failed,recovery_rate,recovered_WR,failed_WR,WR_separation,recovered_R,failed_R,total_R
12,19,1,15,0.0625,1.0,0.06666666666666667,0.9333333333333333,1.58,-21.930000000000003,-17.270000000000003
13,1,0,1,0.0,,1.0,,0.0,1.46,1.46
14,20,2,16,0.1111111111111111,0.5,0.1875,0.3125,-1.4700000000000002,-7.949999999999999,-6.62
15,3,1,2,0.3333333333333333,0.0,0.0,0.0,-1.7,-1.83,-3.53
16,2,2,0,1.0,0.5,,,1.15,0.0,1.15
18,9,2,6,0.25,0.5,0.16666666666666666,0.33333333333333337,-0.20999999999999996,-5.76,-6.6899999999999995
19,2,1,1,0.5,1.0,0.0,1.0,3.2,-3.62,-0.41999999999999993
20,33,7,24,0.22580645161290322,0.42857142857142855,0.20833333333333334,0.2202380952380952,1.6500000000000004,-28.259999999999998,-26.269999999999996
21,1,1,0,1.0,1.0,,,3.94,0.0,3.94
22,10,1,9,0.1,0.0,0.1111111111111111,-0.1111111111111111,-1.49,-9.91,-11.400000000000002
