mae_threshold,recovery_level,deadline,development_trades,development_mae_triggered,development_recovered,development_failed,development_no_mae,development_recovery_rate,development_recovered_win_rate,development_failed_win_rate,development_win_rate_separation,development_recovered_mean_R,development_failed_mean_R,development_mean_R_separation,development_recovered_total_R,development_failed_total_R,development_recovered_PF,development_failed_PF,_selection_score
0.9,0.1,5,95,74,8,66,21,0.10810810810810811,0.75,0.06060606060606061,0.6893939393939394,0.41374999999999995,-1.1266666666666665,1.5404166666666663,3.3099999999999996,-74.35999999999999,2.0474683544303796,0.016271993649953704,1.4596022727272726
0.9,0.2,5,95,74,8,66,21,0.10810810810810811,0.75,0.06060606060606061,0.6893939393939394,0.41374999999999995,-1.1266666666666665,1.5404166666666663,3.3099999999999996,-74.35999999999999,2.0474683544303796,0.016271993649953704,1.4596022727272726
0.9,0.0,8,95,74,14,60,21,0.1891891891891892,0.7142857142857143,0.0,0.7142857142857143,0.18357142857142852,-1.2269999999999999,1.4105714285714284,2.5699999999999994,-73.61999999999999,1.5009746588693957,0.0,1.4195714285714285
0.85,0.2,5,95,79,9,70,16,0.11392405063291139,0.7777777777777778,0.08571428571428572,0.692063492063492,0.3911111111111112,-1.0598571428571426,1.4509682539682538,3.5200000000000005,-74.18999999999998,2.113924050632911,0.03082952318745918,1.4175476190476188
0.85,-0.1,5,95,79,14,65,16,0.17721518987341772,0.7142857142857143,0.046153846153846156,0.6681318681318682,0.33428571428571424,-1.159230769230769,1.4935164835164834,4.68,-75.35,2.3887240356083086,0.012968299711815564,1.4148901098901099
0.85,0.0,12,95,79,19,60,16,0.24050632911392406,0.6842105263157895,0.0,0.6842105263157895,0.18421052631578946,-1.2361666666666666,1.420377192982456,3.5,-74.17,1.631768953068592,0.0,1.3943991228070174
0.85,0.1,12,95,79,19,60,16,0.24050632911392406,0.6842105263157895,0.0,0.6842105263157895,0.18421052631578946,-1.2361666666666666,1.420377192982456,3.5,-74.17,1.631768953068592,0.0,1.3943991228070174
0.9,0.1,8,95,74,13,61,21,0.17567567567567569,0.6923076923076923,0.01639344262295082,0.6759142496847415,0.18999999999999997,-1.205245901639344,1.395245901639344,2.4699999999999998,-73.51999999999998,1.4814814814814814,0.001358326541700625,1.3735372005044133
0.9,0.0,10,95,74,15,59,21,0.20270270270270271,0.6666666666666666,0.0,0.6666666666666666,0.158,-1.2444067796610168,1.4024067796610167,2.37,-73.41999999999999,1.4446529080675423,0.0,1.3678700564971749
0.9,0.0,12,95,74,15,59,21,0.20270270270270271,0.6666666666666666,0.0,0.6666666666666666,0.158,-1.2444067796610168,1.4024067796610167,2.37,-73.41999999999999,1.4446529080675423,0.0,1.3678700564971749
0.9,0.1,10,95,74,15,59,21,0.20270270270270271,0.6666666666666666,0.0,0.6666666666666666,0.158,-1.2444067796610168,1.4024067796610167,2.37,-73.41999999999999,1.4446529080675423,0.0,1.3678700564971749
0.9,0.1,12,95,74,15,59,21,0.20270270270270271,0.6666666666666666,0.0,0.6666666666666666,0.158,-1.2444067796610168,1.4024067796610167,2.37,-73.41999999999999,1.4446529080675423,0.0,1.3678700564971749
0.9,0.0,5,95,74,9,65,21,0.12162162162162163,0.6666666666666666,0.06153846153846154,0.6051282051282051,0.36777777777777776,-1.1439999999999997,1.5117777777777774,3.3099999999999996,-74.35999999999999,2.0474683544303796,0.016271993649953704,1.3610170940170938
