recovery_level,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,benchmark_total_R,benchmark_mean_R,benchmark_win_rate,delta_R,delta_mean_R,delta_win_rate,delta_max_DD,mae_triggered,recovery_exits,deadline_exits,recovery_exit_pct
-0.5,100,11,89,0.11,-0.5767,-57.67,0.04011318242343543,-57.25,-65.64999999999999,-0.6564999999999999,0.27,7.97999999999999,0.07979999999999987,-0.16000000000000003,7.639999999999972,100,65,35,0.65
-0.4,100,15,85,0.15,-0.5589000000000001,-55.89000000000001,0.049328117026705226,-54.550000000000004,-65.64999999999999,-0.6564999999999999,0.27,9.759999999999984,0.0975999999999998,-0.12000000000000002,10.339999999999968,100,53,47,0.53
-0.3,100,16,84,0.16,-0.5612,-56.120000000000005,0.05282700421940927,-54.78,-65.64999999999999,-0.6564999999999999,0.27,9.529999999999987,0.09529999999999983,-0.11000000000000001,10.109999999999971,100,49,51,0.49
-0.2,100,18,82,0.18,-0.5559000000000001,-55.59,0.056517311608961306,-54.25000000000001,-65.64999999999999,-0.6564999999999999,0.27,10.059999999999988,0.1005999999999998,-0.09000000000000002,10.639999999999965,100,43,57,0.43
-0.1,100,20,80,0.2,-0.5799,-57.99,0.06104274611398964,-56.650000000000006,-65.64999999999999,-0.6564999999999999,0.27,7.6599999999999895,0.07659999999999989,-0.07,8.239999999999966,100,37,63,0.37
0.0,100,28,72,0.28,-0.557,-55.7,0.1147488874761602,-54.360000000000014,-65.64999999999999,-0.6564999999999999,0.27,9.949999999999989,0.09949999999999981,0.010000000000000009,10.529999999999959,100,29,71,0.29
0.1,100,25,75,0.25,-0.561,-56.1,0.12275215011727911,-54.76000000000001,-65.64999999999999,-0.6564999999999999,0.27,9.54999999999999,0.09549999999999981,-0.020000000000000018,10.12999999999996,100,24,76,0.24
0.2,100,24,76,0.24,-0.5425,-54.25,0.1516810007818608,-52.91000000000001,-65.64999999999999,-0.6564999999999999,0.27,11.399999999999991,0.11399999999999988,-0.030000000000000027,11.979999999999961,100,20,80,0.2
0.3,100,20,80,0.2,-0.5701,-57.010000000000005,0.14270676691729325,-55.67000000000002,-65.64999999999999,-0.6564999999999999,0.27,8.639999999999986,0.08639999999999981,-0.07,9.21999999999995,100,14,86,0.14
0.4,100,20,80,0.2,-0.5619000000000001,-56.19000000000001,0.15503759398496245,-54.850000000000016,-65.64999999999999,-0.6564999999999999,0.27,9.45999999999998,0.0945999999999998,-0.07,10.039999999999957,100,13,87,0.13
