original_index,window,mae_threshold,recovery_level,deadline,benchmark_R,strategy_R,mae_bar,recovery_bar,exit_type
95,12,0.65,0.3,5,-0.76,-1.34,1,,DEADLINE_EXIT
96,12,0.65,0.3,5,-1.45,-1.21,1,,DEADLINE_EXIT
97,12,0.65,0.3,5,-1.36,-1.09,2,,DEADLINE_EXIT
98,12,0.65,0.3,5,-2.61,-0.76,5,,DEADLINE_EXIT
99,12,0.65,0.3,5,1.04,-0.13,3,,DEADLINE_EXIT
100,12,0.65,0.3,5,-1.52,-1.13,3,,DEADLINE_EXIT
101,12,0.65,0.3,5,1.58,0.9,1,6.0,RECOVERY_EXIT
102,12,0.65,0.3,5,-1.31,-1.02,4,,DEADLINE_EXIT
103,12,0.65,0.3,5,0.25,-0.51,3,,DEADLINE_EXIT
104,12,0.65,0.3,5,-0.64,-0.66,5,,DEADLINE_EXIT
105,12,0.65,0.3,5,-1.46,-0.77,4,,DEADLINE_EXIT
106,12,0.65,0.3,5,-0.63,0.71,8,13.0,RECOVERY_EXIT
107,12,0.65,0.3,5,1.46,-0.06,2,,DEADLINE_EXIT
108,12,0.65,0.3,5,-2.49,-1.45,1,,DEADLINE_EXIT
109,12,0.65,0.3,5,1.37,0.52,2,4.0,RECOVERY_EXIT
110,12,0.65,0.3,5,-1.29,-0.79,4,,DEADLINE_EXIT
111,12,0.65,0.3,5,-4.12,-2.34,2,,DEADLINE_EXIT
112,12,0.65,0.3,5,-1.57,-0.99,2,,DEADLINE_EXIT
113,12,0.65,0.3,5,-1.76,-1.27,4,,DEADLINE_EXIT
114,13,0.65,0.3,5,1.46,-0.61,4,,DEADLINE_EXIT
115,14,0.65,0.3,5,-0.77,-0.93,1,,DEADLINE_EXIT
116,14,0.65,0.3,5,0.17,-0.15,2,,DEADLINE_EXIT
117,14,0.65,0.3,5,-0.69,-0.92,3,,DEADLINE_EXIT
118,14,0.65,0.3,5,-0.71,-0.65,6,,DEADLINE_EXIT
119,14,0.65,0.3,5,-1.83,-0.58,1,,DEADLINE_EXIT
120,14,0.65,0.3,5,-0.21,-0.25,2,,DEADLINE_EXIT
121,14,0.65,0.3,5,-0.66,-0.55,1,,DEADLINE_EXIT
122,14,0.65,0.3,5,0.36,0.37,5,6.0,RECOVERY_EXIT
123,14,0.65,0.3,5,-0.7,-0.05,4,,DEADLINE_EXIT
124,14,0.65,0.3,5,-1.59,-1.51,2,,DEADLINE_EXIT
125,14,0.65,0.3,5,-0.86,0.12,3,,DEADLINE_EXIT
126,14,0.65,0.3,5,-0.92,-1.22,2,,DEADLINE_EXIT
127,14,0.65,0.3,5,1.08,0.6,7,11.0,RECOVERY_EXIT
128,14,0.65,0.3,5,-0.26,-1.37,2,,DEADLINE_EXIT
129,14,0.65,0.3,5,0.34,-1.47,7,,DEADLINE_EXIT
130,14,0.65,0.3,5,1.49,-0.61,2,,DEADLINE_EXIT
131,14,0.65,0.3,5,1.72,0.54,3,8.0,RECOVERY_EXIT
