original_index,window,rule,mae_threshold,recovery_level,deadline,benchmark_R,strategy_R,mae_bar,recovery_bar,exit_type
95,12,RULE_A,0.7,0.2,6,-0.76,-1.46,1.0,,DEADLINE_EXIT
96,12,RULE_A,0.7,0.2,6,-1.45,-1.5,2.0,,DEADLINE_EXIT
97,12,RULE_A,0.7,0.2,6,-1.36,-0.91,2.0,,DEADLINE_EXIT
98,12,RULE_A,0.7,0.2,6,-2.61,-0.9,5.0,,DEADLINE_EXIT
99,12,RULE_A,0.7,0.2,6,1.04,0.01,3.0,,DEADLINE_EXIT
100,12,RULE_A,0.7,0.2,6,-1.52,-0.45,3.0,,DEADLINE_EXIT
101,12,RULE_A,0.7,0.2,6,1.58,0.9,1.0,6.0,RECOVERY_EXIT
102,12,RULE_A,0.7,0.2,6,-1.31,-1.01,4.0,,DEADLINE_EXIT
103,12,RULE_A,0.7,0.2,6,0.25,0.08,5.0,,DEADLINE_EXIT
104,12,RULE_A,0.7,0.2,6,-0.64,-0.46,5.0,,DEADLINE_EXIT
105,12,RULE_A,0.7,0.2,6,-1.46,-1.05,5.0,,DEADLINE_EXIT
106,12,RULE_A,0.7,0.2,6,-0.63,0.71,8.0,13.0,RECOVERY_EXIT
107,12,RULE_A,0.7,0.2,6,1.46,-0.31,2.0,,DEADLINE_EXIT
108,12,RULE_A,0.7,0.2,6,-2.49,-1.17,1.0,,DEADLINE_EXIT
109,12,RULE_A,0.7,0.2,6,1.37,0.52,2.0,4.0,RECOVERY_EXIT
110,12,RULE_A,0.7,0.2,6,-1.29,0.23,4.0,5.0,RECOVERY_EXIT
111,12,RULE_A,0.7,0.2,6,-4.12,-2.89,2.0,,DEADLINE_EXIT
112,12,RULE_A,0.7,0.2,6,-1.57,-0.31,3.0,,DEADLINE_EXIT
113,12,RULE_A,0.7,0.2,6,-1.76,-1.27,4.0,,DEADLINE_EXIT
114,13,RULE_A,0.7,0.2,6,1.46,-0.19,4.0,,DEADLINE_EXIT
115,14,RULE_A,0.7,0.2,6,-0.77,-1.14,1.0,,DEADLINE_EXIT
116,14,RULE_A,0.7,0.2,6,0.17,-0.48,2.0,,DEADLINE_EXIT
117,14,RULE_A,0.7,0.2,6,-0.69,-0.76,3.0,,DEADLINE_EXIT
118,14,RULE_A,0.7,0.2,6,-0.71,-0.92,6.0,,DEADLINE_EXIT
119,14,RULE_A,0.7,0.2,6,-1.83,0.25,1.0,3.0,RECOVERY_EXIT
120,14,RULE_A,0.7,0.2,6,-0.21,-0.23,2.0,,DEADLINE_EXIT
121,14,RULE_A,0.7,0.2,6,-0.66,-0.5,1.0,,DEADLINE_EXIT
122,14,RULE_A,0.7,0.2,6,0.36,0.37,5.0,6.0,RECOVERY_EXIT
123,14,RULE_A,0.7,0.2,6,-0.7,-0.29,4.0,,DEADLINE_EXIT
124,14,RULE_A,0.7,0.2,6,-1.59,-1.43,2.0,,DEADLINE_EXIT
